index,aqi,city,co,max_aqi,min_aqi,no2,o3,pm10,pm2_5,quality,rank,so2,time_point
0,85,安阳,2.084,160,35,32,0,99,3,良,,31,2013-05
1,120,安阳,1.407,392,51,41,0,145,3,轻度污染,,40,2013-06
2,150,安阳,1.913,377,37,39,0,107,3,中度污染,,29,2013-07
3,177,安阳,2.145,300,70,38,223,101,0,中度污染,,57,2013-08
4,108,安阳,2.334,157,56,49,101,106,0,轻度污染,,73,2013-09
5,145,安阳,3.106,407,59,70,176,186,4,轻度污染,,100,2013-10
6,148,安阳,3.293,271,62,69,60,163,111,轻度污染,,103,2013-11
7,254,安阳,433.381,500,92,98,38,216,188,重度污染,33.0000,112,2013-12
8,209,安阳,4.565,357,54,86,37,213,166,重度污染,142.8000,91,2014-01
9,182,安阳,2.993,369,83,52,54,136,141,中度污染,158.6154,63,2014-02
10,154,安阳,2.135,412,85,56,91,180,108,中度污染,152.0645,77,2014-03
11,122,安阳,2.28,199,73,51,90,130,88,轻度污染,147.5667,47,2014-04
12,111,安阳,1.577,180,75,55,127,146,74,轻度污染,130.9677,49,2014-05
13,121,安阳,1.63,245,67,34,136,103,84,轻度污染,145.4667,35,2014-06
14,105,安阳,1.526,236,54,37,140,117,70,轻度污染,128.6452,29,2014-07
15,89,安阳,1.871,147,50,40,125,101,57,良,123.4839,39,2014-08
16,90,安阳,1.853,147,38,45,83,85,59,良,125.0000,31,2014-09
17,112,安阳,1.926,212,54,46,71,118,80,轻度污染,113.6774,51,2014-10
18,169,安阳,2.383,500,56,68,31,182,125,中度污染,147.3667,67,2014-11
19,135,安阳,2.716,311,45,72,23,146,99,轻度污染,138.5484,101,2014-12
20,197,安阳,3.145,454,60,81,24,220,156,中度污染,311.0323,117,2015-01
21,183,安阳,2.671,316,59,52,36,206,141,中度污染,310.2857,82,2015-02
22,125,安阳,1.597,224,61,49,43,153,83,轻度污染,293.2258,51,2015-03
23,96,安阳,1.293,164,47,43,59,125,62,良,251.3000,39,2015-04
24,102,安阳,1.39,152,45,36,106,127,69,轻度污染,269.3226,35,2015-05
25,107,安阳,1.223,188,49,33,153,114,65,轻度污染,303.6333,28,2015-06
26,94,安阳,1.471,147,56,33,130,101,62,良,272.1290,15,2015-07
27,85,安阳,1.587,140,53,34,116,98,58,良,256.1935,21,2015-08
28,89,安阳,1.837,153,40,47,80,112,63,良,268.6000,34,2015-09
29,104,安阳,1.865,221,52,56,61,135,71,轻度污染,261.4194,53,2015-10
30,122,安阳,2.583,302,43,57,37,137,91,轻度污染,273.4667,48,2015-11
31,214,安阳,5.1,500,53,83,35,295,176,重度污染,293.3871,107,2015-12
32,169,安阳,4.029,500,64,70,35,219,124,中度污染,290.1935,104,2016-01
33,120,安阳,3.169,223,54,54,54,161,80,轻度污染,274.8966,89,2016-02
34,150,安阳,1.865,299,64,59,70,223,96,中度污染,327.9355,80,2016-03
35,119,安阳,1.56,211,58,47,113,165,78,轻度污染,310.2000,48,2016-04
36,76,安阳,1.423,126,49,37,120,83,39,良,190.6129,31,2016-05
37,96,安阳,1.537,185,65,35,147,95,46,良,276.9333,26,2016-06
38,90,安阳,2.048,140,50,28,124,94,53,良,281.6452,11,2016-07
39,70,安阳,1.71,105,51,32,108,77,38,良,233.7419,23,2016-08
40,101,安阳,2.09,149,59,50,135,124,62,轻度污染,294.1333,50,2016-09
41,98,安阳,1.9,240,55,51,60,128,67,良,313.9355,40,2016-10
42,172,安阳,2.473,367,52,67,40,219,133,中度污染,329.5333,52,2016-11
43,246,安阳,3.474,500,92,78,33,279,215,重度污染,345.1935,70,2016-12
44,181,安阳,3.348,404,0,73,27,202,148,中度污染,332.0968,68,2017-01
45,149,安阳,2.232,414,0,59,59,161,117,轻度污染,289.0357,58,2017-02
46,100,安阳,1.452,224,0,50,80,106,71,轻度污染,242.4839,35,2017-03
47,86,安阳,1.727,153,0,50,115,109,55,良,274.2333,36,2017-04
48,81,安阳,1.555,204,0,40,203,63,24,良,272.0968,28,2017-05
49,113,安阳,1.577,210,0,39,207,86,43,轻度污染,291.4000,19,2017-06
50,100,安阳,1.448,195,43,29,149,92,51,良,267.7419,9,2017-07
51,98,安阳,1.655,156,52,36,141,91,51,良,281.9032,16,2017-08
52,90,安阳,1.577,138,0,51,131,119,52,良,288.0333,28,2017-09
53,74,安阳,1.503,129,0,47,66,98,48,良,214.5806,20,2017-10
54,83,安阳,1.813,243,0,61,55,104,59,良,260.0667,28,2017-11
55,138,安阳,2.142,354,0,63,48,151,105,轻度污染,247.1290,35,2017-12
56,164,安阳,2.129,412,56,58,51,172,129,中度污染,273.0323,36,2018-01
57,137,安阳,1.843,352,0,41,84,148,102,轻度污染,246.2500,33,2018-02
58,122,安阳,1.494,266,0,40,108,132,87,轻度污染,266.4839,21,2018-03
59,75,安阳,1.42,178,0,44,123,99,40,良,192.8667,23,2018-04
60,106,安阳,1.248,169,49,34,161,105,46,轻度污染,275.2258,19,2018-05
61,148,安阳,1.287,200,64,35,211,97,44,轻度污染,307.7000,17,2018-06
62,95,安阳,1.319,191,45,27,147,76,40,良,272.1935,8,2018-07
63,102,安阳,1.477,191,30,28,158,78,41,轻度污染,267.6774,15,2018-08
64,82,安阳,1.63,115,48,42,120,94,38,良,284.1667,22,2018-09
65,103,安阳,1.619,158,59,57,109,129,70,轻度污染,289.5806,24,2018-10
66,170,安阳,2.0,408,58,60,54,183,124,中度污染,340.4333,22,2018-11
67,146,安阳,2.103,314,53,64,41,173,109,轻度污染,315.9355,30,2018-12
68,251,安阳,3.25,318,195,88,45,252,201,重度污染,350.7500,48,2019-01
