index,aqi,city,co,max_aqi,min_aqi,no2,o3,pm10,pm2_5,quality,rank,so2,time_point
0,94,安顺,0.5,94,94,28,76,135,70,良,214.0000,151,2014-12
1,59,安顺,1.087,127,30,25,68,65,40,良,73.0968,81,2015-01
2,51,安顺,1.175,69,31,14,89,43,22,良,68.5714,64,2015-02
3,60,安顺,0.868,91,35,14,98,58,37,良,115.9677,39,2015-03
4,71,安顺,0.757,107,36,15,119,68,40,良,159.1333,46,2015-04
5,59,安顺,0.565,94,39,8,108,47,27,良,120.0000,28,2015-05
6,44,安顺,0.437,75,30,6,84,34,18,优,84.9333,19,2015-06
7,65,安顺,0.455,105,26,11,114,52,25,良,179.3871,22,2015-07
8,56,安顺,0.406,110,25,13,96,47,26,良,142.4516,29,2015-08
9,42,安顺,0.36,117,26,11,46,42,26,优,71.0333,22,2015-09
10,61,安顺,0.5,223,26,15,64,72,38,良,112.8710,25,2015-10
11,43,安顺,0.56,79,26,15,47,42,24,优,67.6667,20,2015-11
12,51,安顺,0.716,123,21,22,50,45,33,良,69.6452,42,2015-12
13,44,安顺,0.874,89,23,20,56,36,27,优,52.2581,36,2016-01
14,61,安顺,0.731,118,29,16,79,52,38,良,110.5517,45,2016-02
15,50,安顺,0.681,77,26,17,83,43,30,优,57.4194,24,2016-03
16,46,安顺,0.637,67,26,14,85,36,24,优,60.2667,14,2016-04
17,50,安顺,0.561,80,20,11,91,38,24,良,82.5161,11,2016-05
18,42,安顺,0.463,85,21,10,81,23,15,优,71.4000,11,2016-06
19,38,安顺,0.416,57,27,8,76,20,13,优,75.6129,7,2016-07
20,51,安顺,0.465,91,30,13,96,32,23,良,127.1935,17,2016-08
21,63,安顺,0.533,94,36,16,104,52,38,良,170.5333,18,2016-09
22,45,安顺,0.535,79,22,15,69,41,30,优,108.2581,17,2016-10
23,41,安顺,0.663,62,23,16,60,34,24,优,47.7000,29,2016-11
24,69,安顺,0.942,132,34,24,67,63,49,良,109.7742,50,2016-12
25,54,安顺,0.765,100,27,19,48,44,37,良,79.6452,32,2017-01
26,50,安顺,0.65,101,24,16,71,45,34,良,77.2143,33,2017-02
27,45,安顺,0.639,82,27,18,72,37,26,优,78.9677,30,2017-03
28,61,安顺,0.597,96,31,14,110,42,25,良,82.1333,17,2017-04
29,59,安顺,0.606,95,25,14,107,40,25,良,92.2903,12,2017-05
30,44,安顺,0.62,75,21,11,85,25,17,优,64.8000,11,2017-06
31,40,安顺,0.545,90,19,11,76,31,18,优,98.6774,11,2017-07
32,43,安顺,0.606,90,23,10,81,30,18,优,99.9677,10,2017-08
33,46,安顺,0.66,88,27,10,81,38,25,优,109.7333,10,2017-09
34,49,安顺,0.681,112,19,13,68,45,32,优,129.0000,14,2017-10
35,70,安顺,0.783,152,25,20,76,77,52,良,171.7667,27,2017-11
36,84,安顺,0.81,180,27,26,51,85,56,良,151.6452,46,2017-12
37,60,安顺,0.887,110,27,21,57,55,42,良,110.0323,35,2018-01
38,79,安顺,0.879,132,33,17,87,79,58,良,182.5714,33,2018-02
39,73,安顺,0.726,140,34,17,109,68,46,良,176.8065,19,2018-03
40,70,安顺,0.717,104,36,13,116,69,38,良,169.3667,12,2018-04
41,57,安顺,0.552,114,30,11,101,48,30,良,118.3226,9,2018-05
42,47,安顺,0.553,102,23,11,87,31,20,优,70.9000,9,2018-06
43,40,安顺,0.565,94,27,8,76,22,15,优,73.7419,6,2018-07
44,51,安顺,0.639,99,27,13,94,33,22,良,118.8387,13,2018-08
45,35,安顺,0.553,65,21,9,66,21,14,优,87.7000,10,2018-09
46,45,安顺,0.581,90,17,14,67,38,28,优,112.3871,16,2018-10
47,45,安顺,0.643,98,20,18,62,39,29,优,81.9333,24,2018-11
48,43,安顺,0.748,77,22,19,41,35,28,优,72.6129,28,2018-12
49,37,安顺,0.775,46,27,16,43,32,25,优,32.0000,31,2019-01
