index,aqi,city,co,max_aqi,min_aqi,no2,o3,pm10,pm2_5,quality,rank,so2,time_point
0,98,定西,2.2,98,98,37,73,146,64,良,228.0000,115,2014-12
1,95,定西,1.552,150,47,28,60,116,70,良,184.8065,72,2015-01
2,94,定西,1.336,159,58,24,77,122,62,良,212.5000,48,2015-02
3,95,定西,1.123,193,54,24,95,139,51,良,234.0645,31,2015-03
4,83,定西,0.907,171,53,21,120,105,41,良,221.1667,12,2015-04
5,97,定西,0.626,422,55,18,128,115,44,良,239.9355,10,2015-05
6,69,定西,0.493,102,38,19,117,57,24,良,211.4333,8,2015-06
7,67,定西,0.49,88,46,17,119,38,18,良,192.4516,6,2015-07
8,70,定西,0.439,91,55,19,123,55,26,良,214.6774,7,2015-08
9,49,定西,0.43,59,39,19,92,42,23,优,113.5000,5,2015-09
10,53,定西,0.626,85,35,26,86,53,24,良,108.1290,15,2015-10
11,67,定西,1.167,112,37,32,63,80,43,良,183.3667,33,2015-11
12,94,定西,1.39,119,40,40,57,111,68,良,210.2333,60,2015-12
13,68,定西,1.345,109,34,34,63,75,45,良,130.1935,56,2016-01
14,67,定西,1.266,132,36,27,73,75,36,良,137.5862,51,2016-02
15,72,定西,0.939,114,51,45,100,88,29,良,142.3548,36,2016-03
16,65,定西,0.65,80,44,42,113,57,23,良,157.9333,9,2016-04
17,83,定西,0.532,170,42,22,125,89,31,良,219.8387,6,2016-05
18,70,定西,0.563,89,50,21,120,54,20,良,206.1667,7,2016-06
19,67,定西,0.503,97,48,19,115,60,23,良,212.8387,7,2016-07
20,60,定西,0.545,89,37,18,107,53,21,良,182.6129,6,2016-08
21,56,定西,0.6,79,43,31,102,48,25,良,137.6000,8,2016-09
22,52,定西,0.745,90,32,27,80,52,33,良,151.7742,10,2016-10
23,107,定西,1.16,387,0,39,62,146,69,轻度污染,252.8000,47,2016-11
24,105,定西,1.568,135,66,42,52,130,77,轻度污染,217.8710,61,2016-12
25,109,定西,1.548,500,43,35,65,96,58,轻度污染,209.5484,58,2017-01
26,74,定西,1.054,128,43,29,73,82,47,良,167.8214,41,2017-02
27,65,定西,0.852,121,45,30,83,66,41,良,174.3548,30,2017-03
28,81,定西,0.543,460,34,22,103,51,28,良,135.2333,8,2017-04
29,113,定西,0.458,445,66,25,139,47,28,轻度污染,140.4839,7,2017-05
30,82,定西,0.43,111,60,25,138,49,22,良,157.3667,6,2017-06
31,76,定西,0.335,100,48,22,132,41,17,良,161.8710,5,2017-07
32,61,定西,0.352,90,35,22,112,42,16,良,175.8065,7,2017-08
33,58,定西,0.437,79,43,29,99,60,22,良,189.6000,7,2017-09
34,53,定西,0.558,76,22,28,78,56,28,良,132.7097,8,2017-10
35,76,定西,0.963,95,54,43,73,101,51,良,217.1333,37,2017-11
36,133,定西,1.548,650,61,41,34,95,56,轻度污染,237.0323,53,2017-12
37,99,定西,1.303,170,0,33,72,115,72,良,227.2903,45,2018-01
38,82,定西,1.064,147,0,32,93,106,57,良,208.2143,39,2018-02
39,51,定西,0.765,131,0,33,110,59,29,良,128.8065,24,2018-03
40,52,定西,0.47,94,0,29,118,60,23,良,134.4000,7,2018-04
41,50,定西,0.335,90,0,21,123,49,18,优,135.5806,6,2018-05
42,78,定西,0.427,102,43,18,133,44,25,良,185.8000,6,2018-06
43,60,定西,0.384,88,44,17,109,48,28,良,209.5806,4,2018-07
44,62,定西,0.435,80,41,21,109,62,25,良,233.4839,5,2018-08
45,48,定西,0.423,66,31,20,87,44,16,优,171.8333,5,2018-09
46,56,定西,0.519,107,29,28,85,64,25,良,159.4516,10,2018-10
47,88,定西,0.837,500,34,33,70,116,47,良,208.4333,24,2018-11
48,85,定西,0.835,215,55,31,63,113,51,良,230.3226,26,2018-12
49,81,定西,1.1,100,67,41,67,78,59,良,190.2500,28,2019-01
