index,aqi,city,co,max_aqi,min_aqi,no2,o3,pm10,pm2_5,quality,rank,so2,time_point
0,195,宝鸡,2.541,472,73,61,43,219,162,中度污染,72.3103,68,2013-12
1,173,宝鸡,2.7,491,58,56,53,190,137,中度污染,117.4839,79,2014-01
2,236,宝鸡,3.311,382,86,43,63,236,190,重度污染,176.5357,58,2014-02
3,115,宝鸡,2.739,199,61,44,88,158,70,轻度污染,119.6774,34,2014-03
4,94,宝鸡,1.51,170,51,36,74,132,61,良,105.0333,16,2014-04
5,90,宝鸡,1.59,239,57,29,91,126,50,良,94.7742,13,2014-05
6,64,宝鸡,1.51,111,46,24,87,72,37,良,69.3667,10,2014-06
7,81,宝鸡,1.197,129,38,25,132,68,32,良,102.2581,11,2014-07
8,64,宝鸡,1.165,111,34,27,88,72,41,良,80.1613,9,2014-08
9,55,宝鸡,1.363,95,23,30,60,63,33,良,62.8000,5,2014-09
10,101,宝鸡,1.542,250,28,39,53,124,67,轻度污染,94.6129,8,2014-10
11,98,宝鸡,1.553,201,49,34,35,119,68,良,103.9000,17,2014-11
12,82,宝鸡,1.687,153,56,27,28,103,54,良,80.8065,25,2014-12
13,112,宝鸡,2.232,250,55,42,33,130,81,轻度污染,187.1613,29,2015-01
14,95,宝鸡,2.475,185,56,33,48,114,64,良,202.9286,26,2015-02
15,92,宝鸡,1.665,169,55,37,69,113,62,良,230.1613,17,2015-03
16,71,宝鸡,1.047,140,38,34,84,89,39,良,157.2667,10,2015-04
17,68,宝鸡,1.116,102,47,29,100,79,36,良,159.8710,12,2015-05
18,65,宝鸡,0.977,95,30,27,99,66,32,良,187.9667,6,2015-06
19,75,宝鸡,0.929,125,49,24,121,78,37,良,224.6452,5,2015-07
20,80,宝鸡,0.852,167,34,28,113,83,36,良,236.4194,5,2015-08
21,65,宝鸡,0.833,97,36,31,86,74,37,良,197.1333,6,2015-09
22,86,宝鸡,1.032,180,42,41,80,115,53,良,219.1935,10,2015-10
23,95,宝鸡,1.6,235,42,43,25,122,68,良,251.0000,13,2015-11
24,167,宝鸡,1.829,362,63,54,36,209,128,中度污染,289.7097,27,2015-12
25,161,宝鸡,1.906,415,51,52,49,197,123,中度污染,268.1613,28,2016-01
26,122,宝鸡,1.452,401,59,40,76,165,71,轻度污染,276.4138,24,2016-02
27,108,宝鸡,1.245,187,53,47,89,159,66,轻度污染,250.7097,21,2016-03
28,79,宝鸡,0.803,119,53,39,108,97,39,良,222.2000,9,2016-04
29,85,宝鸡,0.719,135,39,32,132,81,36,良,222.9677,7,2016-05
30,83,宝鸡,0.65,128,41,27,135,55,27,良,240.9333,5,2016-06
31,75,宝鸡,0.635,120,37,27,123,51,26,良,223.9032,5,2016-07
32,83,宝鸡,0.806,138,36,25,137,61,36,良,271.0968,5,2016-08
33,67,宝鸡,0.81,100,39,35,95,61,32,良,187.5000,7,2016-09
34,64,宝鸡,1.058,124,30,37,57,73,40,良,192.0000,8,2016-10
35,127,宝鸡,1.503,275,47,51,46,170,92,轻度污染,286.0000,18,2016-11
36,156,宝鸡,1.777,381,69,60,46,173,119,中度污染,281.5161,24,2016-12
37,159,宝鸡,1.839,398,52,53,62,178,123,中度污染,266.1935,24,2017-01
38,142,宝鸡,1.604,293,58,51,90,154,108,轻度污染,299.8571,20,2017-02
39,87,宝鸡,1.084,147,38,46,82,99,60,良,248.8387,14,2017-03
40,84,宝鸡,0.863,194,37,43,105,95,45,良,235.6000,10,2017-04
41,97,宝鸡,0.723,291,48,35,131,76,32,良,197.0645,9,2017-05
42,88,宝鸡,0.703,130,49,30,141,63,28,良,203.6667,7,2017-06
43,88,宝鸡,0.723,156,50,28,145,60,26,良,232.2258,7,2017-07
44,77,宝鸡,0.842,153,32,28,124,52,26,良,176.5806,5,2017-08
45,67,宝鸡,0.957,106,41,37,89,76,36,良,220.8667,7,2017-09
46,65,宝鸡,0.99,113,24,35,41,74,43,良,201.6774,5,2017-10
47,112,宝鸡,1.33,250,62,52,49,137,82,轻度污染,260.9667,16,2017-11
48,133,宝鸡,1.474,325,62,59,30,145,88,轻度污染,270.1935,25,2017-12
49,139,宝鸡,1.5,245,57,52,60,146,106,轻度污染,267.2903,23,2018-01
50,99,宝鸡,1.089,212,0,42,96,118,70,良,237.9643,18,2018-02
51,95,宝鸡,0.994,186,0,48,100,115,64,良,232.1935,14,2018-03
52,72,宝鸡,0.717,152,0,41,105,98,39,良,175.0000,7,2018-04
53,83,宝鸡,0.635,126,0,38,114,98,36,良,220.6452,6,2018-05
54,81,宝鸡,0.643,136,43,32,130,63,29,良,183.0667,5,2018-06
55,68,宝鸡,0.652,108,31,27,114,55,27,良,209.2903,4,2018-07
56,88,宝鸡,0.71,129,45,26,144,62,32,良,229.5806,4,2018-08
57,51,宝鸡,0.643,70,30,30,80,44,21,良,179.3333,5,2018-09
58,69,宝鸡,0.681,119,45,44,73,78,39,良,219.3548,7,2018-10
59,93,宝鸡,0.9,206,38,48,44,121,62,良,244.8667,8,2018-11
60,126,宝鸡,1.032,500,41,48,42,148,80,轻度污染,278.9677,12,2018-12
61,256,宝鸡,1.95,318,211,63,45,231,206,重度污染,356.2500,11,2019-01
