index,aqi,city,co,max_aqi,min_aqi,no2,o3,pm10,pm2_5,quality,rank,so2,time_point
0,144,富阳,1.6,144,144,71,52,152,110,轻度污染,134.0000,34,2013-12
1,170,富阳,1.31,394,67,58,53,163,134,中度污染,120.1290,37,2014-01
2,92,富阳,1.007,207,25,38,56,72,68,良,91.2857,21,2014-02
3,77,富阳,0.977,137,33,41,62,95,52,良,66.6129,27,2014-03
4,72,富阳,0.96,129,36,40,64,92,47,良,63.9000,24,2014-04
5,83,富阳,0.939,163,43,34,72,96,57,良,83.1613,22,2014-05
6,79,富阳,0.937,190,27,30,81,83,58,良,85.5000,18,2014-06
7,66,富阳,0.916,144,24,28,72,68,46,良,73.7419,14,2014-07
8,63,富阳,1.026,115,23,25,59,70,44,良,81.3871,12,2014-08
9,70,富阳,0.903,144,22,26,60,77,49,良,96.4667,15,2014-09
10,89,富阳,0.939,140,52,38,109,110,63,良,100.5484,18,2014-10
11,96,富阳,1.25,192,35,44,70,126,69,良,105.3333,20,2014-11
12,97,富阳,1.21,148,62,53,72,139,67,良,117.4516,31,2014-12
13,112,富阳,1.3,228,33,48,61,157,80,轻度污染,208.4231,21,2015-01
14,85,富阳,0.932,179,33,32,65,103,61,良,167.4643,13,2015-02
15,73,富阳,0.906,132,37,37,63,88,49,良,163.4839,15,2015-03
16,73,富阳,0.903,119,30,36,77,90,50,良,168.0667,17,2015-04
17,92,富阳,0.9,264,36,31,91,96,65,良,207.5484,16,2015-05
18,84,富阳,0.857,179,32,28,72,74,58,良,222.2667,13,2015-06
19,64,富阳,0.777,126,39,25,80,63,39,良,170.9032,10,2015-07
20,62,富阳,0.858,109,29,25,79,68,40,良,161.2258,11,2015-08
21,64,富阳,0.937,97,40,29,81,76,40,良,193.2333,12,2015-09
22,76,富阳,0.91,119,36,36,75,101,46,良,195.4839,14,2015-10
23,69,富阳,1.18,139,30,44,47,80,39,良,185.4667,13,2015-11
24,95,富阳,1.181,202,56,49,44,131,63,良,198.7419,15,2015-12
25,83,富阳,1.042,169,48,48,49,108,53,良,173.5806,13,2016-01
26,77,富阳,0.821,173,32,30,63,99,47,良,169.5862,10,2016-02
27,90,富阳,0.906,192,36,42,70,116,59,良,187.7419,13,2016-03
28,65,富阳,0.877,107,42,38,77,77,41,良,145.0000,9,2016-04
29,66,富阳,0.881,127,38,34,81,72,44,良,149.2258,8,2016-05
30,58,富阳,0.823,107,31,28,87,59,31,良,148.5667,8,2016-06
31,48,富阳,0.774,75,30,25,74,50,26,优,119.0000,7,2016-07
32,50,富阳,0.642,88,25,16,92,40,25,优,115.0000,7,2016-08
33,54,富阳,0.71,94,23,20,90,47,33,良,114.5667,7,2016-09
34,53,富阳,0.761,77,31,36,59,53,30,良,154.1613,9,2016-10
35,74,富阳,0.883,129,30,47,51,80,50,良,168.4333,10,2016-11
36,97,富阳,1.052,175,33,44,40,107,72,良,179.8065,9,2016-12
37,60,富阳,0.606,185,0,25,22,62,44,良,102.2258,4,2017-01
38,85,富阳,0.85,148,28,26,65,83,63,良,187.5714,8,2017-02
39,74,富阳,0.694,142,26,22,71,76,51,良,178.7419,30,2017-03
40,67,富阳,0.763,149,29,23,84,72,46,良,127.9667,14,2017-04
41,67,富阳,0.729,95,40,26,92,66,46,良,120.9355,12,2017-05
42,48,富阳,0.693,98,24,21,74,43,32,优,92.0667,11,2017-06
43,43,富阳,0.639,99,27,21,79,38,26,优,82.9355,12,2017-07
44,40,富阳,0.739,66,27,17,75,33,24,优,80.7097,10,2017-08
45,58,富阳,0.813,137,25,22,79,53,37,良,144.2333,10,2017-09
46,55,富阳,0.79,98,27,25,70,54,36,良,145.2581,11,2017-10
47,70,富阳,0.93,122,30,40,73,85,40,良,164.2000,10,2017-11
48,85,富阳,1.029,121,54,48,50,117,42,良,182.3226,14,2017-12
49,81,富阳,1.032,153,40,44,79,94,52,良,164.7419,11,2018-01
50,71,富阳,1.107,159,36,27,94,78,47,良,144.3571,11,2018-02
51,69,富阳,0.774,107,38,32,105,85,37,良,146.2333,10,2018-03
52,83,富阳,0.93,118,42,33,117,103,42,良,196.0333,11,2018-04
53,65,富阳,0.945,98,37,34,103,60,35,良,126.5333,9,2018-05
54,60,富阳,0.853,108,35,27,106,49,29,良,123.1333,8,2018-06
55,47,富阳,0.69,87,27,18,89,35,20,优,122.9677,9,2018-07
56,51,富阳,0.794,94,29,19,95,35,20,良,116.8710,9,2018-08
57,59,富阳,0.973,119,28,26,99,52,30,良,190.8148,9,2018-09
58,66,富阳,0.9,99,49,37,94,72,37,良,193.6333,9,2018-10
59,64,富阳,1.02,160,33,40,58,73,40,良,165.5333,4,2018-11
60,72,富阳,1.21,162,23,21,23,86,49,良,161.2000,2,2018-12
61,86,富阳,1.2,112,70,25,19,92,64,良,207.0000,2,2019-01
