index,aqi,city,co,max_aqi,min_aqi,no2,o3,pm10,pm2_5,quality,rank,so2,time_point
0,100,崇左,1.0,100,100,52,160,109,70,良,237.0000,26,2014-12
1,105,崇左,1.081,221,21,31,89,94,79,轻度污染,186.8710,16,2015-01
2,99,崇左,1.071,204,20,22,81,56,73,良,193.8929,7,2015-02
3,58,崇左,0.981,115,17,18,68,50,41,良,120.8065,7,2015-03
4,75,崇左,0.81,118,26,16,122,63,45,良,177.1333,9,2015-04
5,63,崇左,0.848,100,30,13,113,46,30,良,142.9355,6,2015-05
6,54,崇左,0.68,74,32,15,103,37,19,良,144.7333,7,2015-06
7,59,崇左,0.745,106,21,14,105,40,23,良,149.4194,9,2015-07
8,51,崇左,0.797,116,19,16,92,48,25,良,120.7419,11,2015-08
9,47,崇左,0.897,83,26,13,82,46,24,优,103.8667,11,2015-09
10,65,崇左,0.797,104,24,19,109,70,39,良,142.5161,18,2015-10
11,49,崇左,0.91,82,27,16,65,49,28,优,96.6333,12,2015-11
12,52,崇左,0.903,109,19,20,60,52,35,良,73.1290,10,2015-12
13,57,崇左,1.177,109,29,22,54,53,40,良,91.9677,9,2016-01
14,73,崇左,0.876,129,26,20,89,69,53,良,169.9655,10,2016-02
15,76,崇左,0.987,114,35,25,75,73,54,良,164.1613,10,2016-03
16,70,崇左,0.9,112,44,15,107,64,42,良,171.2667,9,2016-04
17,59,崇左,0.803,86,38,15,105,53,30,良,115.7097,10,2016-05
18,53,崇左,0.713,77,24,14,99,34,17,良,126.6000,10,2016-06
19,40,崇左,0.629,70,20,13,76,33,17,优,79.3871,10,2016-07
20,46,崇左,0.655,95,23,9,87,30,18,优,92.9355,8,2016-08
21,55,崇左,0.647,96,24,16,98,48,32,良,138.8667,14,2016-09
22,58,崇左,0.813,112,24,18,97,51,32,良,178.0000,17,2016-10
23,45,崇左,0.87,70,20,20,66,46,27,优,58.1000,16,2016-11
24,70,崇左,0.955,134,37,30,94,72,50,良,101.9355,20,2016-12
25,76,崇左,1.242,144,25,22,84,68,54,良,132.1613,10,2017-01
26,71,崇左,1.071,118,35,23,90,68,51,良,151.2500,11,2017-02
27,50,崇左,1.084,104,27,19,62,46,32,优,110.9677,10,2017-03
28,55,崇左,0.95,82,34,17,96,51,31,良,107.8333,11,2017-04
29,60,崇左,0.929,116,30,17,108,42,26,良,101.5161,10,2017-05
30,48,崇左,0.883,97,25,16,89,36,18,优,94.7000,9,2017-06
31,45,崇左,0.758,142,19,14,82,32,19,优,115.8065,9,2017-07
32,43,崇左,0.648,75,23,13,80,32,18,优,110.2903,9,2017-08
33,47,崇左,0.867,69,31,13,90,36,22,优,123.1333,9,2017-09
34,57,崇左,0.871,125,19,14,102,43,30,良,138.3548,8,2017-10
35,60,崇左,0.93,139,23,20,91,53,38,良,141.6333,7,2017-11
36,71,崇左,1.113,127,23,25,61,63,49,良,129.1290,12,2017-12
37,75,崇左,1.181,158,28,27,77,70,52,良,137.3226,9,2018-01
38,75,崇左,0.896,135,23,19,95,60,53,良,163.4643,9,2018-02
39,79,崇左,0.787,110,41,24,114,64,51,良,209.8065,11,2018-03
40,66,崇左,0.823,100,42,20,107,61,38,良,146.9000,11,2018-04
41,56,崇左,0.658,85,32,14,103,38,22,良,117.2581,8,2018-05
42,51,崇左,0.587,85,20,15,94,38,21,良,80.0333,8,2018-06
43,43,崇左,0.61,92,23,14,80,33,15,优,114.0323,6,2018-07
44,43,崇左,0.748,65,22,11,82,35,16,优,111.0323,5,2018-08
45,41,崇左,0.633,71,19,13,72,41,19,优,156.0333,7,2018-09
46,52,崇左,0.748,104,20,19,80,55,26,良,146.2581,10,2018-10
47,53,崇左,0.797,78,26,22,66,62,30,良,124.6000,13,2018-11
48,45,崇左,0.961,74,20,18,44,48,24,优,91.0000,5,2018-12
49,30,崇左,1.05,34,25,13,41,26,18,优,20.0000,3,2019-01
