index,aqi,city,co,max_aqi,min_aqi,no2,o3,pm10,pm2_5,quality,rank,so2,time_point
0,143,巴中,1.5,143,143,41,38,169,109,轻度污染,329.0000,11,2014-12
1,114,巴中,1.542,220,28,32,34,130,86,轻度污染,195.7097,10,2015-01
2,79,巴中,1.229,140,26,25,58,87,57,良,153.3214,9,2015-02
3,62,巴中,1.116,98,32,30,78,70,39,良,128.1290,10,2015-03
4,59,巴中,1.02,107,36,26,103,54,27,良,95.9667,10,2015-04
5,60,巴中,0.816,125,31,23,97,62,32,良,130.6452,10,2015-05
6,46,巴中,0.8,89,18,17,84,35,18,优,94.7667,8,2015-06
7,72,巴中,0.787,119,35,20,121,41,25,良,203.9032,4,2015-07
8,61,巴中,0.823,106,38,24,111,31,19,良,161.0645,3,2015-08
9,47,巴中,0.933,90,32,27,83,32,21,优,101.0333,3,2015-09
10,51,巴中,0.797,83,27,31,62,51,31,良,78.3548,4,2015-10
11,45,巴中,1.027,61,33,33,24,43,23,优,69.4000,5,2015-11
12,78,巴中,1.071,150,40,39,31,82,55,良,146.4516,5,2015-12
13,104,巴中,1.552,209,46,42,27,110,76,轻度污染,222.8065,6,2016-01
14,81,巴中,1.472,163,36,35,46,89,56,良,183.8621,6,2016-02
15,66,巴中,1.0,103,36,43,62,78,44,良,116.7097,7,2016-03
16,47,巴中,0.86,71,30,33,65,48,25,优,55.8000,4,2016-04
17,50,巴中,0.755,102,27,26,72,53,28,良,75.1935,3,2016-05
18,45,巴中,0.78,70,23,25,82,34,20,优,85.9667,4,2016-06
19,34,巴中,0.723,46,20,21,66,23,13,优,54.2903,3,2016-07
20,36,巴中,0.781,54,24,22,68,27,19,优,46.5161,4,2016-08
21,49,巴中,0.91,77,33,29,59,49,33,优,98.4667,5,2016-09
22,41,巴中,1.074,82,24,24,35,36,23,优,78.1290,4,2016-10
23,60,巴中,1.11,105,25,29,23,62,42,良,114.7000,5,2016-11
24,113,巴中,1.545,201,57,40,19,113,85,轻度污染,230.6452,5,2016-12
25,98,巴中,1.332,178,36,38,36,101,71,良,192.7742,5,2017-01
26,72,巴中,1.229,130,28,33,51,73,50,良,134.2143,4,2017-02
27,55,巴中,1.065,80,32,32,70,57,31,良,107.9032,4,2017-03
28,57,巴中,0.933,90,33,29,94,50,25,良,95.0000,4,2017-04
29,63,巴中,0.868,108,32,26,100,63,33,良,175.4839,4,2017-05
30,56,巴中,0.81,83,26,21,99,38,22,良,122.7000,5,2017-06
31,57,巴中,0.684,88,26,17,107,28,16,良,87.3548,4,2017-07
32,48,巴中,0.758,83,20,16,92,25,14,优,58.3548,3,2017-08
33,35,巴中,0.787,54,20,21,55,30,16,优,64.5000,4,2017-09
34,33,巴中,0.797,57,21,21,34,28,16,优,40.4516,4,2017-10
35,50,巴中,0.867,76,26,28,40,53,32,优,80.1000,5,2017-11
36,91,巴中,1.116,205,35,36,22,98,67,良,178.6129,5,2017-12
37,76,巴中,1.094,147,30,37,48,84,55,良,154.7097,6,2018-01
38,77,巴中,1.0,165,30,32,60,87,53,良,168.3571,6,2018-02
39,52,巴中,0.832,85,25,32,80,55,30,良,76.1935,4,2018-03
40,54,巴中,0.627,104,26,28,83,59,26,良,93.9333,4,2018-04
41,54,巴中,0.69,98,0,23,99,53,26,良,119.5806,4,2018-05
42,54,巴中,0.73,112,26,21,97,35,19,良,98.2000,5,2018-06
43,47,巴中,0.729,86,23,17,88,33,18,优,110.2581,4,2018-07
44,56,巴中,0.694,82,28,20,105,39,23,良,146.6452,4,2018-08
45,37,巴中,0.687,65,23,20,63,30,16,优,110.6000,4,2018-09
46,54,巴中,0.684,98,25,26,51,57,34,良,167.4839,4,2018-10
47,52,巴中,0.817,90,20,25,30,56,33,良,112.7333,4,2018-11
48,77,巴中,0.932,189,35,26,25,75,54,良,201.9355,4,2018-12
49,73,巴中,1.0,77,68,30,30,77,53,良,172.5000,3,2019-01
