index,aqi,city,co,max_aqi,min_aqi,no2,o3,pm10,pm2_5,quality,rank,so2,time_point
0,47,巴彦淖尔,0.3,47,47,17,66,47,22,优,35.0000,24,2014-12
1,88,巴彦淖尔,1.355,198,52,33,60,113,58,良,148.6129,73,2015-01
2,88,巴彦淖尔,0.775,192,44,28,81,110,55,良,173.5357,56,2015-02
3,85,巴彦淖尔,0.594,246,46,21,102,112,42,良,184.8387,33,2015-03
4,77,巴彦淖尔,0.59,195,45,23,116,92,35,良,179.0000,18,2015-04
5,88,巴彦淖尔,0.513,133,64,20,129,104,38,良,243.5806,9,2015-05
6,88,巴彦淖尔,0.57,117,54,19,138,77,30,良,263.6000,9,2015-06
7,80,巴彦淖尔,0.384,126,52,21,132,72,31,良,244.9355,11,2015-07
8,75,巴彦淖尔,0.329,126,52,23,120,82,35,良,228.7742,16,2015-08
9,72,巴彦淖尔,0.393,135,50,23,109,82,44,良,227.0333,14,2015-09
10,75,巴彦淖尔,0.548,130,38,32,91,90,50,良,175.0968,27,2015-10
11,87,巴彦淖尔,0.917,204,35,31,46,102,64,良,214.3000,51,2015-11
12,103,巴彦淖尔,1.216,208,36,37,41,119,70,轻度污染,186.2258,67,2015-12
13,64,巴彦淖尔,0.874,159,34,29,56,69,40,良,119.2903,58,2016-01
14,76,巴彦淖尔,0.821,169,32,22,69,97,45,良,163.8966,49,2016-02
15,114,巴彦淖尔,0.671,400,47,26,99,150,61,轻度污染,206.3871,38,2016-03
16,86,巴彦淖尔,0.663,143,50,27,111,121,43,良,242.7333,22,2016-04
17,80,巴彦淖尔,0.413,159,48,24,118,94,41,良,197.8710,14,2016-05
18,68,巴彦淖尔,0.503,120,0,26,113,69,35,良,193.7667,11,2016-06
19,76,巴彦淖尔,0.484,115,51,22,127,64,33,良,240.9355,14,2016-07
20,63,巴彦淖尔,0.455,93,40,22,109,62,22,良,189.0645,13,2016-08
21,72,巴彦淖尔,0.48,98,55,29,108,89,32,良,215.2000,16,2016-09
22,79,巴彦淖尔,0.697,141,53,29,93,107,40,良,276.6774,24,2016-10
23,88,巴彦淖尔,0.857,195,32,36,70,121,42,良,204.8667,42,2016-11
24,95,巴彦淖尔,1.297,238,44,45,51,110,66,良,172.8387,62,2016-12
25,76,巴彦淖尔,1.513,169,40,43,67,95,46,良,139.3226,67,2017-01
26,82,巴彦淖尔,1.789,122,55,13,83,93,44,良,167.4643,58,2017-02
27,68,巴彦淖尔,0.865,138,40,28,94,76,40,良,158.0000,30,2017-03
28,77,巴彦淖尔,0.6,247,45,24,107,98,29,良,189.4333,15,2017-04
29,126,巴彦淖尔,0.4,500,56,17,122,124,32,轻度污染,229.9677,7,2017-05
30,84,巴彦淖尔,0.473,118,58,26,139,73,27,良,238.5667,12,2017-06
31,85,巴彦淖尔,0.494,139,49,17,140,72,34,良,239.0968,10,2017-07
32,71,巴彦淖尔,0.458,143,52,17,120,63,25,良,260.0645,9,2017-08
33,73,巴彦淖尔,0.503,164,45,24,113,71,21,良,221.6667,14,2017-09
34,71,巴彦淖尔,0.752,119,28,32,77,92,37,良,232.9032,16,2017-10
35,71,巴彦淖尔,0.693,164,39,30,63,89,32,良,179.5333,25,2017-11
36,64,巴彦淖尔,0.829,144,20,30,36,66,32,良,108.5161,29,2017-12
37,58,巴彦淖尔,0.661,119,0,23,65,68,30,良,105.2903,21,2018-01
38,59,巴彦淖尔,0.571,214,0,20,77,66,31,良,89.8929,21,2018-02
39,48,巴彦淖尔,0.616,100,0,26,101,56,23,优,119.1290,17,2018-03
40,53,巴彦淖尔,0.387,132,0,19,123,53,16,良,132.2333,11,2018-04
41,73,巴彦淖尔,0.365,153,0,19,137,66,20,良,191.8065,8,2018-05
42,95,巴彦淖尔,0.517,181,61,20,148,62,18,良,220.8333,9,2018-06
43,88,巴彦淖尔,0.548,132,55,16,142,71,30,良,271.3871,7,2018-07
44,73,巴彦淖尔,0.545,113,45,17,125,57,30,良,232.9355,9,2018-08
45,54,巴彦淖尔,0.55,93,30,18,90,54,21,良,200.3333,8,2018-09
46,66,巴彦淖尔,0.726,115,39,29,86,77,38,良,209.3548,12,2018-10
47,81,巴彦淖尔,0.803,482,27,26,67,102,38,良,179.0667,16,2018-11
48,71,巴彦淖尔,0.752,353,34,24,61,86,35,良,163.1613,22,2018-12
49,85,巴彦淖尔,1.0,133,53,36,45,95,62,良,172.7500,41,2019-01
