index,aqi,city,co,max_aqi,min_aqi,no2,o3,pm10,pm2_5,quality,rank,so2,time_point
0,201,常州,1.75,336,127,135,112,196,157,重度污染,,70,2013-01
1,160,常州,1.029,243,54,55,233,98,83,中度污染,,32,2013-02
2,176,常州,0.942,227,78,71,225,124,83,中度污染,,48,2013-03
3,104,常州,0.94,155,48,54,122,115,72,轻度污染,,45,2013-04
4,100,常州,0.987,223,40,49,123,95,68,轻度污染,,34,2013-05
5,85,常州,0.84,144,39,42,106,80,57,良,,27,2013-06
6,76,常州,0.79,159,39,33,124,59,34,良,,25,2013-07
7,80,常州,0.755,205,38,38,125,64,39,良,,29,2013-08
8,67,常州,0.87,127,31,36,89,63,43,良,,26,2013-09
9,75,常州,0.984,120,26,35,83,72,51,良,,27,2013-10
10,129,常州,1.197,221,58,49,48,145,95,轻度污染,,41,2013-11
11,202,常州,1.752,384,50,67,39,205,162,重度污染,81.4667,57,2013-12
12,142,常州,1.461,304,57,49,58,153,109,轻度污染,101.1290,46,2014-01
13,93,常州,1.1,252,28,33,69,92,68,良,85.0000,31,2014-02
14,97,常州,1.223,179,58,48,93,115,71,良,103.3548,44,2014-03
15,87,常州,0.897,158,53,43,102,95,63,良,97.3000,36,2014-04
16,114,常州,0.997,202,46,58,149,137,74,轻度污染,128.1613,39,2014-05
17,110,常州,1.043,204,37,46,159,97,65,轻度污染,131.1667,37,2014-06
18,94,常州,1.006,177,34,38,138,81,54,良,121.0968,24,2014-07
19,76,常州,0.961,170,26,37,107,72,48,良,97.0323,23,2014-08
20,71,常州,0.957,144,36,36,108,73,44,良,102.9000,28,2014-09
21,91,常州,0.994,169,62,45,120,105,60,良,103.7742,31,2014-10
22,93,常州,1.243,212,34,50,77,103,69,良,99.1333,38,2014-11
23,101,常州,1.277,181,49,52,49,120,74,轻度污染,116.7742,46,2014-12
24,142,常州,1.455,244,45,51,56,151,108,轻度污染,255.1290,41,2015-01
25,106,常州,1.132,247,36,37,79,114,79,轻度污染,215.2500,24,2015-02
26,92,常州,1.084,196,43,45,88,101,65,良,234.6452,33,2015-03
27,100,常州,1.137,202,46,51,135,106,61,轻度污染,269.4333,35,2015-04
28,92,常州,1.065,149,49,48,135,96,46,良,252.4194,32,2015-05
29,66,常州,1.06,103,21,40,71,85,41,良,193.1667,23,2015-06
30,67,常州,0.865,185,26,35,86,69,38,良,171.4516,19,2015-07
31,78,常州,0.816,125,31,34,121,71,35,良,218.0968,23,2015-08
32,80,常州,0.717,146,49,33,131,68,31,良,249.8333,24,2015-09
33,87,常州,0.994,139,53,52,117,118,50,良,241.9032,36,2015-10
34,79,常州,1.213,158,27,48,58,96,53,良,205.1333,26,2015-11
35,134,常州,1.394,256,63,56,47,148,100,轻度污染,261.8065,39,2015-12
36,112,常州,1.277,221,45,46,57,121,82,轻度污染,232.9355,35,2016-01
37,102,常州,1.197,199,38,41,80,116,74,轻度污染,248.8276,27,2016-02
38,107,常州,1.11,233,39,56,89,130,77,轻度污染,245.0000,32,2016-03
39,90,常州,1.01,148,47,47,126,103,50,良,241.5333,24,2016-04
40,93,常州,0.977,183,44,38,136,95,46,良,248.0645,20,2016-05
41,83,常州,0.847,143,41,34,129,67,38,良,232.3333,14,2016-06
42,80,常州,0.729,149,35,30,123,61,36,良,246.5484,12,2016-07
43,86,常州,0.652,151,42,28,139,55,29,良,260.7419,17,2016-08
44,82,常州,0.76,169,22,36,126,70,40,良,214.0667,18,2016-09
45,53,常州,0.735,82,31,36,66,52,30,良,153.3871,14,2016-10
46,80,常州,0.97,152,31,52,58,93,56,良,190.4333,20,2016-11
47,109,常州,1.174,203,42,57,56,118,80,轻度污染,197.4516,25,2016-12
48,89,常州,1.155,223,40,43,57,95,66,良,163.7419,19,2017-01
49,97,常州,1.093,171,40,47,85,100,73,良,200.8571,19,2017-02
50,77,常州,0.906,135,52,49,97,94,55,良,197.5806,18,2017-03
51,94,常州,0.993,128,49,46,138,92,49,良,205.5000,21,2017-04
52,109,常州,0.923,169,39,40,161,67,37,轻度污染,193.2258,20,2017-05
53,109,常州,0.897,200,43,36,163,60,40,轻度污染,203.1667,17,2017-06
54,82,常州,0.716,202,36,31,132,48,29,良,180.8065,15,2017-07
55,78,常州,0.823,159,32,29,130,43,28,良,177.3871,15,2017-08
56,76,常州,0.87,141,38,41,114,50,33,良,153.9333,15,2017-09
57,61,常州,0.803,125,33,41,100,56,32,良,148.3871,15,2017-10
58,83,常州,1.103,124,32,62,72,96,54,良,164.2333,19,2017-11
59,120,常州,1.426,317,53,72,33,108,71,轻度污染,208.3226,22,2017-12
60,116,常州,1.397,288,0,60,56,109,86,轻度污染,201.6452,19,2018-01
61,92,常州,1.129,239,42,47,80,94,67,良,196.1429,15,2018-02
62,89,常州,1.052,175,42,60,99,88,63,良,225.0645,17,2018-03
63,89,常州,0.943,175,0,59,145,88,52,良,228.5000,19,2018-04
64,88,常州,0.99,163,0,48,138,75,48,良,229.4839,15,2018-05
65,119,常州,0.897,202,47,40,174,64,44,轻度污染,88.1000,15,2018-06
66,89,常州,0.713,205,25,31,141,43,29,良,224.2258,11,2018-07
67,85,常州,0.603,181,30,27,138,39,25,良,141.7419,12,2018-08
68,78,常州,0.687,161,38,39,127,53,33,良,206.5000,13,2018-09
69,77,常州,0.684,170,43,48,116,68,43,良,202.8387,14,2018-10
70,93,常州,0.917,248,37,60,74,90,66,良,236.5667,12,2018-11
71,82,常州,0.865,173,30,51,46,81,56,良,185.7742,11,2018-12
72,98,常州,0.925,134,64,54,37,93,71,良,217.0000,13,2019-01
