index,aqi,city,co,max_aqi,min_aqi,no2,o3,pm10,pm2_5,quality,rank,so2,time_point
0,117,常德,2.1,117,117,45,59,134,88,轻度污染,77.0000,40,2013-12
1,224,常德,2.106,361,125,35,63,234,178,重度污染,158.0645,52,2014-01
2,124,常德,1.85,258,47,20,44,122,94,轻度污染,122.4643,28,2014-02
3,89,常德,1.184,125,57,26,68,96,65,良,93.1613,47,2014-03
4,72,常德,0.93,137,50,19,90,78,51,良,67.5667,44,2014-04
5,80,常德,1.232,146,28,22,70,87,58,良,81.0968,30,2014-05
6,90,常德,1.343,170,35,17,55,89,67,良,111.0667,24,2014-06
7,66,常德,1.123,127,29,14,57,68,46,良,76.0968,20,2014-07
8,61,常德,1.171,100,31,13,34,64,43,良,75.7097,14,2014-08
9,66,常德,1.437,142,20,16,31,71,45,良,84.9333,16,2014-09
10,95,常德,2.068,159,27,21,36,108,71,良,107.1290,23,2014-10
11,78,常德,1.55,210,31,22,25,83,56,良,68.5667,27,2014-11
12,72,常德,1.619,148,44,31,16,79,49,良,57.2903,36,2014-12
13,108,常德,1.584,157,26,33,22,111,81,轻度污染,203.6452,33,2015-01
14,108,常德,1.436,198,33,25,35,121,81,轻度污染,228.1071,21,2015-02
15,73,常德,1.41,131,44,24,41,91,49,良,171.0968,25,2015-03
16,63,常德,1.11,95,36,18,65,75,40,良,117.0333,20,2015-04
17,82,常德,1.229,198,32,17,59,94,57,良,192.4516,16,2015-05
18,62,常德,1.33,94,42,13,56,72,39,良,181.1667,15,2015-06
19,63,常德,1.203,102,36,14,109,58,35,良,167.9032,19,2015-07
20,70,常德,1.213,120,35,14,121,51,27,良,199.8710,18,2015-08
21,81,常德,1.223,123,42,16,132,71,34,良,249.7000,17,2015-09
22,78,常德,1.387,129,29,32,111,81,49,良,198.9032,30,2015-10
23,51,常德,1.36,77,24,26,36,50,31,良,97.0333,26,2015-11
24,95,常德,1.348,213,27,33,44,97,68,良,177.1290,26,2015-12
25,127,常德,1.326,279,64,33,46,124,95,轻度污染,267.2581,23,2016-01
26,104,常德,1.455,208,46,27,73,117,75,轻度污染,253.4828,20,2016-02
27,99,常德,1.232,192,52,26,86,112,73,良,230.0000,25,2016-03
28,74,常德,0.977,133,31,21,99,79,48,良,178.8333,21,2016-04
29,67,常德,0.91,100,36,14,105,67,39,良,158.8387,16,2016-05
30,55,常德,1.083,78,37,16,94,45,28,良,130.1333,16,2016-06
31,49,常德,1.106,89,29,16,82,44,30,优,123.7742,19,2016-07
32,62,常德,1.171,100,33,18,103,56,39,良,177.9677,16,2016-08
33,88,常德,1.087,131,42,22,136,83,58,良,261.5667,19,2016-09
34,63,常德,0.974,115,28,20,92,60,38,良,185.3871,15,2016-10
35,81,常德,1.287,166,32,28,66,88,59,良,176.6333,18,2016-11
36,115,常德,1.477,182,54,36,64,118,86,轻度污染,231.2258,18,2016-12
37,144,常德,1.448,417,43,31,66,153,110,轻度污染,268.5806,21,2017-01
38,83,常德,1.429,164,44,25,82,89,61,良,190.7857,13,2017-02
39,75,常德,1.419,178,39,25,87,80,52,良,193.3226,11,2017-03
40,76,常德,1.2,130,34,25,112,67,39,良,161.8000,12,2017-04
41,84,常德,1.055,140,50,15,132,56,36,良,188.7419,10,2017-05
42,63,常德,0.963,113,21,10,111,38,29,良,137.8667,7,2017-06
43,60,常德,1.016,105,32,10,109,36,27,良,148.6774,10,2017-07
44,60,常德,1.026,106,30,8,109,40,31,良,187.8710,10,2017-08
45,75,常德,1.127,144,35,12,120,61,45,良,221.7667,12,2017-09
46,66,常德,1.235,147,24,21,88,70,47,良,188.0968,12,2017-10
47,104,常德,1.6,218,44,40,91,111,78,轻度污染,249.8000,14,2017-11
48,113,常德,1.171,208,39,47,37,114,86,轻度污染,243.4194,15,2017-12
49,94,常德,1.239,168,50,33,65,77,70,良,212.6129,11,2018-01
50,100,常德,1.007,251,48,26,92,111,73,轻度污染,226.4286,12,2018-02
51,63,常德,0.974,120,25,25,94,59,39,良,129.8387,11,2018-03
52,61,常德,0.927,127,0,22,106,59,32,良,128.3667,12,2018-04
53,60,常德,1.019,98,0,16,109,52,31,良,136.9677,11,2018-05
54,78,常德,0.987,153,33,17,129,43,28,良,168.5667,11,2018-06
55,61,常德,0.813,102,32,16,109,41,26,良,178.4839,10,2018-07
56,70,常德,0.9,111,35,15,123,42,27,良,170.2581,9,2018-08
57,60,常德,0.89,105,34,21,106,42,28,良,200.2667,10,2018-09
58,70,常德,0.906,121,37,31,114,63,42,良,219.8387,12,2018-10
59,64,常德,0.98,196,24,31,77,59,44,良,152.0000,10,2018-11
60,97,常德,1.032,219,46,32,51,88,70,良,243.2903,9,2018-12
61,115,常德,1.0,134,97,30,47,57,87,轻度污染,232.2500,8,2019-01
