index,aqi,city,co,max_aqi,min_aqi,no2,o3,pm10,pm2_5,quality,rank,so2,time_point
0,97,常熟,0.6,97,97,101,118,87,73,良,50.0000,127,2013-12
1,105,常熟,0.79,211,46,86,85,92,77,轻度污染,60.6774,87,2014-01
2,82,常熟,0.693,169,41,56,105,65,54,良,80.3571,59,2014-02
3,91,常熟,0.81,177,42,64,119,81,62,良,93.8387,47,2014-03
4,76,常熟,0.547,130,48,47,112,65,48,良,73.0000,37,2014-04
5,109,常熟,0.677,207,39,46,159,94,61,轻度污染,119.8387,22,2014-05
6,68,常熟,0.64,148,30,40,95,62,48,良,64.5000,15,2014-06
7,62,常熟,0.713,152,28,35,88,56,39,良,62.8065,14,2014-07
8,58,常熟,0.732,91,16,32,67,56,40,良,67.7742,15,2014-08
9,81,常熟,0.704,137,46,33,131,52,35,良,127.5385,16,2014-09
10,88,常熟,0.568,137,52,41,127,78,46,良,103.5806,15,2014-10
11,81,常熟,0.521,177,43,46,78,87,59,良,78.2857,17,2014-11
12,101,常熟,0.919,181,44,54,52,119,74,轻度污染,117.2258,17,2014-12
13,120,常熟,0.877,208,37,54,59,127,89,轻度污染,213.8387,16,2015-01
14,95,常熟,0.632,227,39,40,75,105,68,良,182.9286,15,2015-02
15,81,常熟,0.487,155,41,43,94,86,55,良,191.1613,14,2015-03
16,91,常熟,0.647,162,48,51,131,93,56,良,248.3333,15,2015-04
17,69,常熟,0.403,125,39,35,99,71,41,良,161.7742,14,2015-05
18,73,常熟,0.657,141,32,27,109,70,43,良,202.9333,13,2015-06
19,63,常熟,0.794,129,22,20,90,58,38,良,153.0645,16,2015-07
20,59,常熟,0.768,127,24,24,79,57,38,良,145.6774,14,2015-08
21,55,常熟,0.64,110,33,27,58,57,36,良,140.5333,14,2015-09
22,80,常熟,0.652,160,44,41,53,95,56,良,207.4194,14,2015-10
23,88,常熟,0.84,169,31,44,27,96,63,良,221.0000,12,2015-11
24,125,常熟,1.194,246,61,53,33,136,94,轻度污染,243.7097,24,2015-12
25,99,常熟,0.981,188,43,42,65,99,71,良,204.5161,27,2016-01
26,87,常熟,0.886,168,42,31,82,87,63,良,207.4828,20,2016-02
27,87,常熟,0.816,144,42,42,97,93,62,良,195.6452,24,2016-03
28,83,常熟,0.823,140,49,47,108,85,54,良,225.0000,19,2016-04
29,82,常熟,0.813,145,44,38,119,74,44,良,205.6129,17,2016-05
30,62,常熟,0.957,104,28,29,100,46,36,良,162.6000,19,2016-06
31,74,常熟,0.913,146,23,27,112,58,38,良,218.6774,18,2016-07
32,74,常熟,0.655,132,32,24,126,44,24,良,219.7742,17,2016-08
33,70,常熟,0.777,161,25,30,110,52,36,良,162.0000,15,2016-09
34,49,常熟,0.739,65,30,32,77,43,29,优,129.6774,18,2016-10
35,80,常熟,0.917,143,35,48,57,81,57,良,191.2333,24,2016-11
36,101,常熟,1.048,227,39,52,57,98,74,轻度污染,180.6452,26,2016-12
37,78,常熟,0.913,160,32,39,63,83,56,良,140.8710,19,2017-01
38,86,常熟,0.907,163,40,43,84,88,62,良,186.9643,21,2017-02
39,70,常熟,0.745,97,40,40,97,82,49,良,173.2258,20,2017-03
40,92,常熟,0.823,142,54,43,127,85,52,良,255.4333,22,2017-04
41,86,常熟,0.8,183,44,37,130,72,40,良,176.7742,21,2017-05
42,84,常熟,0.767,167,40,35,132,55,39,良,208.4333,19,2017-06
43,95,常熟,0.61,191,40,33,148,50,36,良,246.5161,17,2017-07
44,90,常熟,0.81,196,38,28,143,44,32,良,251.5161,16,2017-08
45,71,常熟,0.737,196,43,34,111,48,33,良,190.1333,18,2017-09
46,57,常熟,0.758,102,38,31,94,52,33,良,166.9677,19,2017-10
47,77,常熟,0.85,130,33,53,68,80,49,良,189.6667,22,2017-11
48,97,常熟,1.065,261,49,60,32,96,68,良,191.8387,22,2017-12
49,101,常熟,1.052,273,35,50,57,95,73,轻度污染,191.0000,23,2018-01
50,81,常熟,0.9,202,34,37,83,84,57,良,178.2143,24,2018-02
51,72,常熟,0.829,116,38,45,97,71,44,良,164.2667,21,2018-03
52,86,常熟,0.817,158,41,44,127,87,46,良,189.9667,24,2018-04
53,83,常熟,0.903,145,36,38,120,72,45,良,202.9333,22,2018-05
54,85,常熟,0.723,162,39,32,137,53,38,良,197.9333,20,2018-06
55,57,常熟,0.632,146,20,26,98,39,24,良,161.0645,17,2018-07
56,54,常熟,0.703,105,21,23,95,33,19,良,121.6452,14,2018-08
57,70,常熟,0.753,151,34,32,114,47,27,良,227.8148,14,2018-09
58,76,常熟,0.726,252,46,39,117,57,38,良,217.5161,15,2018-10
59,85,常熟,0.863,207,38,49,84,75,58,良,208.3667,14,2018-11
60,77,常熟,0.977,166,34,48,52,72,49,良,198.6800,16,2018-12
61,94,常熟,0.9,128,59,45,48,76,62,良,214.3333,17,2019-01
