index,aqi,city,co,max_aqi,min_aqi,no2,o3,pm10,pm2_5,quality,rank,so2,time_point
0,163,平度,0.1,163,163,18,44,277,93,中度污染,157.0000,66,2013-12
1,130,平度,1.453,252,51,33,55,127,96,轻度污染,80.8824,45,2014-01
2,110,平度,1.211,391,38,25,88,104,75,轻度污染,92.8929,27,2014-02
3,120,平度,1.133,248,66,35,115,166,74,轻度污染,131.7083,27,2014-03
4,98,平度,0.759,193,49,34,134,100,60,良,111.9630,18,2014-04
5,109,平度,0.682,189,61,33,157,128,54,轻度污染,128.6071,17,2014-05
6,103,平度,0.844,162,51,25,158,71,51,轻度污染,130.2800,9,2014-06
7,98,平度,1.288,161,42,16,150,67,45,良,126.7500,15,2014-07
8,114,平度,0.64,207,36,26,174,66,50,轻度污染,146.2000,10,2014-08
9,68,平度,0.44,112,37,29,114,56,38,良,96.9000,13,2014-09
10,72,平度,0.547,125,38,32,103,74,47,良,61.3333,17,2014-10
11,101,平度,1.017,231,37,30,64,111,74,轻度污染,106.3000,32,2014-11
12,107,平度,1.081,294,42,27,42,112,78,轻度污染,104.7419,55,2014-12
13,97,平度,0.913,246,28,21,50,95,71,良,148.3871,43,2015-01
14,95,平度,0.939,182,38,21,62,103,67,良,192.3571,37,2015-02
15,89,平度,0.706,186,37,32,81,108,61,良,215.5484,30,2015-03
16,72,平度,0.543,115,41,24,112,80,44,良,166.2667,21,2015-04
17,72,平度,0.423,99,42,25,123,69,34,良,175.3226,20,2015-05
18,76,平度,0.4,115,34,18,127,64,36,良,226.5667,19,2015-06
19,99,平度,0.29,165,43,28,157,52,31,良,276.6667,12,2015-07
20,101,平度,0.568,207,34,28,159,57,36,轻度污染,278.7419,17,2015-08
21,79,平度,0.59,124,40,33,133,63,29,良,251.1667,14,2015-09
22,90,平度,0.732,139,54,43,111,121,57,良,241.5161,15,2015-10
23,81,平度,1.097,162,28,36,58,95,58,良,202.7333,17,2015-11
24,138,平度,1.694,328,42,58,40,166,104,轻度污染,244.2581,44,2015-12
25,113,平度,1.594,294,40,48,56,132,82,轻度污染,219.2581,47,2016-01
26,87,平度,1.338,180,38,41,85,100,60,良,199.6552,35,2016-02
27,89,平度,0.86,186,46,42,116,110,55,良,199.8333,22,2016-03
28,115,平度,0.79,342,53,36,144,142,56,轻度污染,281.4483,16,2016-04
29,106,平度,0.581,186,55,31,161,94,45,轻度污染,281.7097,15,2016-05
30,103,平度,0.43,167,52,23,162,66,35,轻度污染,296.4667,8,2016-06
31,78,平度,0.535,124,0,19,129,57,35,良,249.8710,6,2016-07
32,67,平度,0.503,142,30,23,114,52,26,良,199.3226,7,2016-08
33,86,平度,0.573,169,32,30,139,68,36,良,233.9333,11,2016-09
34,66,平度,0.606,108,40,33,98,70,38,良,219.6452,8,2016-10
35,89,平度,0.98,166,31,45,68,109,60,良,210.3333,20,2016-11
36,111,平度,1.332,304,33,47,56,119,82,轻度污染,182.5161,28,2016-12
37,105,平度,1.41,252,38,41,65,108,77,轻度污染,181.4194,29,2017-01
38,88,平度,0.989,234,0,33,82,87,62,良,181.3571,26,2017-02
39,75,平度,0.952,142,0,34,105,84,49,良,193.0645,19,2017-03
40,79,平度,0.72,119,50,25,126,94,41,良,202.5000,14,2017-04
41,118,平度,0.458,202,45,20,163,112,37,轻度污染,265.2258,10,2017-05
42,110,平度,0.363,206,50,20,170,68,32,轻度污染,280.8000,9,2017-06
43,108,平度,0.445,201,52,15,166,59,45,轻度污染,291.5161,6,2017-07
44,107,平度,0.548,500,36,17,134,773,27,轻度污染,246.9032,6,2017-08
45,101,平度,0.607,157,45,27,157,61,31,轻度污染,287.2000,9,2017-09
46,64,平度,0.642,139,34,28,108,65,33,良,189.3548,11,2017-10
47,74,平度,0.987,138,36,32,76,93,44,良,173.8000,17,2017-11
48,87,平度,1.397,212,26,45,34,105,59,良,173.3871,27,2017-12
49,95,平度,1.61,225,38,40,58,116,65,良,189.8387,25,2018-01
50,72,平度,1.186,127,45,29,82,86,46,良,151.5000,22,2018-02
51,76,平度,0.865,132,43,29,114,90,47,良,170.9000,14,2018-03
52,89,平度,0.703,151,37,25,132,100,35,良,206.9333,12,2018-04
53,90,平度,0.69,140,39,23,145,72,33,良,229.7333,8,2018-05
54,101,平度,0.543,167,45,18,159,54,32,轻度污染,236.8667,6,2018-06
55,63,平度,0.59,161,20,16,108,39,24,良,173.6452,5,2018-07
56,65,平度,0.577,99,28,15,113,37,20,良,173.9355,11,2018-08
57,88,平度,0.753,153,36,24,143,51,23,良,273.8148,7,2018-09
58,75,平度,0.681,124,40,35,121,72,32,良,227.4194,8,2018-10
59,106,平度,1.22,340,35,42,80,131,66,轻度污染,254.9333,11,2018-11
60,81,平度,1.319,183,35,43,55,95,53,良,190.9200,19,2018-12
61,160,平度,2.325,224,92,68,54,166,122,中度污染,275.6667,33,2019-01
