index,aqi,city,co,max_aqi,min_aqi,no2,o3,pm10,pm2_5,quality,rank,so2,time_point
0,96,平顶山,1.274,220,35,30,0,79,0,良,,12,2013-05
1,130,平顶山,21.257,500,54,42,0,124,0,轻度污染,,18,2013-06
2,104,平顶山,249.145,500,44,31,0,94,0,轻度污染,,9,2013-07
3,161,平顶山,0.861,266,68,33,196,74,0,中度污染,,20,2013-08
4,109,平顶山,1.121,237,48,40,110,108,0,轻度污染,,20,2013-09
5,138,平顶山,1.935,352,49,62,125,207,0,轻度污染,,45,2013-10
6,302,平顶山,1.54,500,47,56,1489,181,108,严重污染,,72,2013-11
7,261,平顶山,36.645,500,64,72,54,260,203,重度污染,25.0000,101,2013-12
8,224,平顶山,1.819,395,81,69,50,261,178,重度污染,149.0645,91,2014-01
9,177,平顶山,1.336,350,57,44,73,178,138,中度污染,155.9643,60,2014-02
10,136,平顶山,0.997,253,76,49,90,161,101,轻度污染,141.9677,47,2014-03
11,110,平顶山,1.07,222,54,44,103,119,78,轻度污染,132.4667,44,2014-04
12,99,平顶山,0.816,204,52,38,124,128,59,良,106.0968,43,2014-05
13,102,平顶山,1.037,190,50,37,126,110,71,轻度污染,129.0333,49,2014-06
14,87,平顶山,0.758,145,44,28,128,95,56,良,116.4516,33,2014-07
15,82,平顶山,0.916,145,50,33,116,90,49,良,117.5161,40,2014-08
16,74,平顶山,1.157,132,33,40,81,85,47,良,102.6667,42,2014-09
17,119,平顶山,1.226,205,57,52,88,135,87,轻度污染,129.3226,61,2014-10
18,140,平顶山,1.333,394,52,57,66,157,105,轻度污染,138.8333,75,2014-11
19,120,平顶山,1.074,226,65,53,67,157,85,轻度污染,132.3871,86,2014-12
20,166,平顶山,1.413,314,72,62,65,197,128,中度污染,294.8710,83,2015-01
21,147,平顶山,1.289,292,66,45,87,180,111,轻度污染,292.1429,63,2015-02
22,128,平顶山,1.029,222,72,47,87,156,93,轻度污染,311.8065,47,2015-03
23,106,平顶山,0.81,188,48,43,114,134,74,轻度污染,273.8000,44,2015-04
24,135,平顶山,0.806,276,65,37,142,164,99,轻度污染,327.0323,53,2015-05
25,141,平顶山,0.923,272,66,36,142,163,102,轻度污染,334.6667,55,2015-06
26,133,平顶山,0.777,218,53,34,150,139,94,轻度污染,323.0323,50,2015-07
27,98,平顶山,0.897,149,57,31,150,94,54,良,293.4194,34,2015-08
28,101,平顶山,1.02,190,52,38,132,113,67,轻度污染,302.2667,35,2015-09
29,106,平顶山,1.09,199,40,49,103,134,72,轻度污染,263.5161,46,2015-10
30,75,平顶山,1.34,135,38,47,49,74,48,良,184.6667,34,2015-11
31,155,平顶山,1.645,312,48,51,45,179,117,中度污染,271.5806,55,2015-12
32,176,平顶山,1.906,396,55,53,57,202,137,中度污染,301.9355,57,2016-01
33,121,平顶山,1.403,232,35,45,84,142,86,轻度污染,252.7586,48,2016-02
34,125,平顶山,1.31,350,59,44,107,165,82,轻度污染,270.5806,42,2016-03
35,100,平顶山,1.13,159,53,41,120,135,66,轻度污染,269.4667,33,2016-04
36,96,平顶山,0.958,181,46,32,147,87,42,良,261.8710,22,2016-05
37,102,平顶山,0.987,157,55,32,158,77,45,轻度污染,294.7000,16,2016-06
38,78,平顶山,0.803,119,52,30,115,72,41,良,254.7742,20,2016-07
39,87,平顶山,0.961,122,55,31,134,83,48,良,289.6774,12,2016-08
40,97,平顶山,1.18,151,53,46,139,108,57,良,286.7667,25,2016-09
41,68,平顶山,0.977,103,29,42,56,76,44,良,230.3226,22,2016-10
42,134,平顶山,1.713,276,48,52,42,158,101,轻度污染,287.3000,31,2016-11
43,181,平顶山,1.716,442,71,60,45,198,143,中度污染,308.6452,38,2016-12
44,125,平顶山,1.542,310,0,53,37,138,98,轻度污染,294.3548,37,2017-01
45,105,平顶山,1.325,302,0,45,63,120,79,轻度污染,260.9643,32,2017-02
46,84,平顶山,1.135,173,0,52,72,99,59,良,261.3871,47,2017-03
47,83,平顶山,1.34,156,0,38,110,95,53,良,246.3000,25,2017-04
48,78,平顶山,1.106,169,0,31,155,70,33,良,243.5484,19,2017-05
49,102,平顶山,1.143,180,0,32,174,86,49,轻度污染,268.0333,12,2017-06
50,92,平顶山,1.094,181,35,21,145,67,36,良,212.4839,9,2017-07
51,95,平顶山,1.01,167,38,24,149,72,40,良,256.0645,16,2017-08
52,84,平顶山,0.967,136,42,36,126,79,46,良,226.6000,19,2017-09
53,73,平顶山,1.032,145,24,41,78,81,53,良,213.0645,21,2017-10
54,73,平顶山,1.04,189,0,55,71,97,52,良,235.5000,28,2017-11
55,104,平顶山,1.245,254,0,49,65,121,73,轻度污染,215.6452,23,2017-12
56,146,平顶山,1.239,373,0,47,65,153,112,轻度污染,248.6774,21,2018-01
57,105,平顶山,1.05,237,0,37,83,115,78,轻度污染,213.7500,19,2018-02
58,95,平顶山,0.952,193,0,38,111,107,68,良,247.1935,15,2018-03
59,55,平顶山,0.787,115,0,32,124,57,30,良,148.0667,15,2018-04
60,87,平顶山,0.874,168,0,30,146,84,47,良,229.5484,14,2018-05
61,130,平顶山,0.827,195,52,28,192,67,39,轻度污染,282.8667,12,2018-06
62,84,平顶山,0.881,149,32,25,135,52,34,良,234.8710,10,2018-07
63,96,平顶山,1.045,150,38,27,152,62,38,良,229.6774,14,2018-08
64,80,平顶山,0.993,120,44,39,114,76,43,良,272.5000,19,2018-09
65,93,平顶山,0.906,172,54,56,115,110,61,良,250.4839,29,2018-10
66,128,平顶山,1.133,300,48,47,69,149,91,轻度污染,298.6333,22,2018-11
67,144,平顶山,1.381,333,62,52,41,171,108,轻度污染,310.7097,27,2018-12
68,213,平顶山,1.55,262,188,60,52,198,164,重度污染,327.7500,25,2019-01
