index,aqi,city,co,max_aqi,min_aqi,no2,o3,pm10,pm2_5,quality,rank,so2,time_point
0,81,广元,1.6,81,81,42,44,89,60,良,161.0000,32,2014-12
1,67,广元,1.348,132,33,36,58,79,41,良,91.0968,41,2015-01
2,60,广元,1.136,98,30,21,81,63,34,良,94.3929,19,2015-02
3,61,广元,0.8,133,30,29,95,57,23,良,118.8710,20,2015-03
4,68,广元,0.607,109,35,23,118,47,16,良,146.2333,18,2015-04
5,75,广元,0.461,115,52,19,130,48,18,良,196.6452,19,2015-05
6,56,广元,0.407,85,23,20,99,35,11,良,148.7333,19,2015-06
7,77,广元,0.368,131,27,26,127,47,18,良,226.7097,21,2015-07
8,65,广元,0.361,111,37,27,111,41,15,良,185.3226,19,2015-08
9,47,广元,0.49,70,32,31,78,36,10,优,97.3000,15,2015-09
10,66,广元,0.581,100,38,48,80,63,19,良,151.4194,17,2015-10
11,59,广元,1.027,79,32,46,35,53,19,良,147.5333,18,2015-11
12,76,广元,1.052,132,40,56,40,87,40,良,156.9355,23,2015-12
13,85,广元,1.21,150,47,48,56,101,59,良,181.8710,23,2016-01
14,86,广元,1.017,182,47,35,84,104,49,良,192.9310,23,2016-02
15,81,广元,0.877,192,51,40,103,97,37,良,172.7097,19,2016-03
16,62,广元,0.643,99,38,35,107,51,16,良,140.4667,17,2016-04
17,69,广元,0.548,110,46,30,115,60,26,良,169.6129,17,2016-05
18,77,广元,0.42,126,50,26,132,45,16,良,227.9000,19,2016-06
19,56,广元,0.671,95,31,28,100,31,8,良,154.5484,19,2016-07
20,51,广元,0.748,75,37,25,96,36,11,良,127.3226,17,2016-08
21,57,广元,0.647,94,39,33,92,46,15,良,135.9333,19,2016-09
22,52,广元,0.661,100,32,31,71,44,13,良,133.5484,16,2016-10
23,70,广元,1.133,113,39,41,41,91,28,良,159.2333,19,2016-11
24,93,广元,1.294,143,51,54,32,131,55,良,183.2903,23,2016-12
25,89,广元,1.397,174,31,47,44,106,46,良,179.1290,21,2017-01
26,73,广元,1.161,117,35,40,57,94,38,良,138.1071,19,2017-02
27,68,广元,1.01,134,34,44,64,78,26,良,136.3226,20,2017-03
28,65,广元,0.747,99,39,38,95,63,20,良,118.2667,19,2017-04
29,71,广元,0.823,120,38,39,107,63,24,良,161.9355,17,2017-05
30,61,广元,0.677,93,40,32,109,48,16,良,153.8667,22,2017-06
31,61,广元,0.758,109,41,31,110,33,11,良,98.2581,26,2017-07
32,53,广元,0.81,83,33,29,95,27,7,良,75.4839,22,2017-08
33,46,广元,0.88,61,31,35,63,30,11,优,70.2333,21,2017-09
34,38,广元,0.832,56,26,29,40,24,10,优,36.5484,19,2017-10
35,57,广元,0.947,91,35,40,40,61,26,良,99.7333,21,2017-11
36,100,广元,1.229,628,26,56,27,75,40,轻度污染,131.9677,26,2017-12
37,71,广元,1.071,115,29,47,58,83,39,良,149.5806,21,2018-01
38,70,广元,0.961,175,0,37,76,76,40,良,152.2143,21,2018-02
39,63,广元,0.8,94,33,43,94,64,27,良,130.4516,24,2018-03
40,67,广元,0.62,99,0,37,106,67,23,良,149.1667,21,2018-04
41,62,广元,0.626,118,0,33,108,52,24,良,141.9355,22,2018-05
42,61,广元,0.673,113,35,31,95,41,15,良,122.3000,24,2018-06
43,48,广元,0.697,85,34,29,84,30,13,优,134.3548,21,2018-07
44,62,广元,0.758,88,36,23,112,34,15,良,145.0968,27,2018-08
45,38,广元,0.61,49,26,24,63,25,13,优,95.8333,14,2018-09
46,47,广元,0.629,62,28,32,54,46,25,优,113.1613,14,2018-10
47,55,广元,0.723,95,26,32,42,60,35,良,126.8667,11,2018-11
48,80,广元,1.123,252,43,34,35,99,50,良,206.7419,10,2018-12
49,74,广元,1.35,84,57,39,30,78,54,良,154.2500,10,2019-01
