index,aqi,city,co,max_aqi,min_aqi,no2,o3,pm10,pm2_5,quality,rank,so2,time_point
0,153,广安,1.1,153,153,25,66,174,117,中度污染,338.0000,38,2014-12
1,151,广安,1.342,266,35,29,51,180,115,中度污染,257.7097,26,2015-01
2,107,广安,1.2,222,33,26,69,128,78,轻度污染,206.7857,21,2015-02
3,75,广安,0.881,107,39,22,99,81,42,良,183.2903,25,2015-03
4,83,广安,0.777,138,40,20,138,63,29,良,210.4000,25,2015-04
5,76,广安,0.739,125,48,19,129,66,29,良,200.1613,23,2015-05
6,66,广安,0.74,121,37,17,112,54,23,良,182.1667,17,2015-06
7,98,广安,0.665,162,47,18,155,67,29,良,276.8710,16,2015-07
8,84,广安,0.774,118,47,18,139,67,35,良,262.5161,15,2015-08
9,63,广安,0.86,108,36,19,104,61,35,良,177.1333,17,2015-09
10,69,广安,0.839,122,29,23,94,73,46,良,163.6129,18,2015-10
11,55,广安,1.09,109,28,23,39,58,35,良,115.6000,22,2015-11
12,81,广安,0.974,175,34,30,38,85,57,良,156.4194,26,2015-12
13,97,广安,1.142,175,39,29,45,100,71,良,207.8387,27,2016-01
14,112,广安,1.097,291,34,28,72,110,84,轻度污染,243.8966,16,2016-02
15,79,广安,0.913,133,37,30,102,82,56,良,167.5806,25,2016-03
16,65,广安,0.823,128,36,27,97,67,39,良,141.3667,19,2016-04
17,75,广安,0.755,132,37,22,119,74,38,良,187.8710,17,2016-05
18,76,广安,0.703,149,33,17,126,56,30,良,216.6333,12,2016-06
19,71,广安,0.645,117,35,15,123,46,24,良,218.8065,10,2016-07
20,71,广安,0.752,124,31,17,122,52,31,良,221.6452,12,2016-08
21,69,广安,0.927,159,36,23,95,70,43,良,177.0667,13,2016-09
22,52,广安,0.858,110,26,19,64,59,30,良,133.3548,17,2016-10
23,66,广安,1.083,110,24,27,38,84,37,良,140.2333,24,2016-11
24,99,广安,1.265,169,59,34,33,135,70,良,195.2903,26,2016-12
25,112,广安,1.416,202,30,36,40,153,80,轻度污染,221.0645,18,2017-01
26,81,广安,1.207,135,42,32,60,108,56,良,177.2500,16,2017-02
27,64,广安,0.939,113,32,33,74,72,30,良,141.7742,22,2017-03
28,64,广安,0.833,110,27,29,103,65,27,良,146.8333,17,2017-04
29,71,广安,0.826,119,26,29,115,66,30,良,181.6129,14,2017-05
30,60,广安,0.813,110,30,22,105,48,22,良,168.1333,16,2017-06
31,79,广安,0.69,128,26,21,133,45,20,良,179.1935,12,2017-07
32,74,广安,0.716,126,23,16,127,43,20,良,177.9032,7,2017-08
33,43,广安,0.837,88,21,18,71,40,20,优,102.0000,5,2017-09
34,39,广安,0.819,77,19,20,55,40,21,优,74.4194,6,2017-10
35,61,广安,0.977,106,28,31,49,73,36,良,129.8667,11,2017-11
36,103,广安,1.174,204,37,39,28,125,77,轻度污染,208.2581,13,2017-12
37,93,广安,1.165,222,28,40,43,105,68,良,183.7742,12,2018-01
38,94,广安,1.132,186,40,36,57,106,68,良,220.0714,11,2018-02
39,69,广安,0.952,114,28,36,78,78,46,良,154.7419,12,2018-03
40,72,广安,0.767,120,35,30,110,76,36,良,167.8333,11,2018-04
41,65,广安,0.674,131,0,24,103,70,36,良,152.1935,10,2018-05
42,66,广安,0.8,127,33,21,110,53,27,良,141.1000,9,2018-06
43,70,广安,0.732,126,38,17,120,44,21,良,196.6129,7,2018-07
44,85,广安,0.803,133,46,21,141,57,32,良,226.5806,8,2018-08
45,44,广安,0.68,98,25,15,76,37,19,优,149.0333,6,2018-09
46,55,广安,0.761,139,27,25,54,58,36,良,171.5484,6,2018-10
47,59,广安,0.803,103,18,29,38,62,40,良,144.1667,7,2018-11
48,77,广安,0.897,169,35,28,29,82,55,良,195.5161,9,2018-12
49,91,广安,0.95,97,83,33,28,96,68,良,197.2500,9,2019-01
