index,aqi,city,co,max_aqi,min_aqi,no2,o3,pm10,pm2_5,quality,rank,so2,time_point
0,109,广州,1.283,190,21,63,81,106,82,轻度污染,44.2000,27,2013-12
1,120,广州,1.371,207,59,74,91,117,90,轻度污染,89.3548,22,2014-01
2,63,广州,0.971,145,12,44,59,61,46,良,55.6071,12,2014-02
3,77,广州,1.129,172,28,57,62,79,55,良,69.0323,17,2014-03
4,69,广州,0.967,108,48,54,79,69,49,良,59.8667,19,2014-04
5,52,广州,0.961,102,33,43,66,49,33,良,31.3548,16,2014-05
6,71,广州,0.887,142,34,38,109,53,34,良,75.5667,15,2014-06
7,84,广州,0.755,191,29,35,133,55,35,良,98.4194,16,2014-07
8,76,广州,0.777,186,26,34,123,49,31,良,96.7742,15,2014-08
9,75,广州,0.843,148,23,35,124,56,36,良,106.6333,16,2014-09
10,96,广州,0.945,139,52,49,148,85,59,良,116.1290,17,2014-10
11,70,广州,1.08,125,15,48,83,67,50,良,65.2667,16,2014-11
12,76,广州,1.232,142,28,41,60,82,55,良,72.7742,19,2014-12
13,81,广州,1.261,176,22,65,70,85,60,良,134.9677,20,2015-01
14,75,广州,1.079,147,28,49,67,75,55,良,136.2143,12,2015-02
15,49,广州,1.023,90,17,45,39,49,33,优,68.6129,10,2015-03
16,71,广州,1.04,170,21,45,99,60,38,良,154.3000,14,2015-04
17,47,广州,0.845,99,28,42,72,42,27,优,71.1935,12,2015-05
18,52,广州,0.74,89,28,31,94,36,21,良,128.5333,11,2015-06
19,65,广州,0.81,159,38,32,104,45,28,良,159.5806,9,2015-07
20,89,广州,0.884,200,49,39,131,60,39,良,256.0968,13,2015-08
21,80,广州,0.9,157,45,44,117,65,42,良,238.8667,11,2015-09
22,71,广州,0.919,131,30,53,95,77,45,良,171.2581,12,2015-10
23,65,广州,1.013,95,33,50,66,67,38,良,169.6000,14,2015-11
24,69,广州,1.09,166,33,50,39,64,41,良,122.9355,12,2015-12
25,65,广州,1.097,153,29,49,37,54,35,良,117.6774,9,2016-01
26,58,广州,0.866,130,30,40,62,53,36,良,99.4828,9,2016-02
27,78,广州,1.068,175,30,61,65,71,47,良,163.0645,13,2016-03
28,66,广州,1.053,129,45,51,47,55,38,良,150.0000,13,2016-04
29,65,广州,0.926,147,33,38,96,51,31,良,138.4194,11,2016-05
30,60,广州,0.85,120,36,33,97,41,23,良,153.4000,9,2016-06
31,74,广州,0.877,202,28,33,113,45,27,良,199.1935,12,2016-07
32,82,广州,0.894,197,25,40,125,56,37,良,233.0000,14,2016-08
33,76,广州,0.903,201,38,41,107,57,36,良,193.8000,12,2016-09
34,51,广州,0.89,85,33,35,79,48,30,良,143.6129,11,2016-10
35,76,广州,1.017,166,33,62,78,69,41,良,176.5667,14,2016-11
36,86,广州,1.103,128,37,71,84,83,51,良,153.4516,14,2016-12
37,81,广州,1.229,205,40,65,79,76,54,良,143.8065,12,2017-01
38,74,广州,0.95,122,33,59,93,62,44,良,113.3214,13,2017-02
39,81,广州,1.003,109,48,66,59,66,41,良,150.8387,12,2017-03
40,83,广州,0.86,181,45,58,92,61,34,良,124.2333,12,2017-04
41,90,广州,0.897,201,43,52,129,56,34,良,139.9355,12,2017-05
42,56,广州,0.777,117,40,39,86,35,18,良,86.5333,10,2017-06
43,66,广州,0.823,151,33,42,96,36,21,良,111.6452,12,2017-07
44,73,广州,0.803,152,28,39,114,39,23,良,147.9032,11,2017-08
45,97,广州,0.97,204,36,51,141,55,34,良,162.6667,12,2017-09
46,66,广州,0.91,122,29,42,113,49,32,良,136.8387,11,2017-10
47,67,广州,1.0,108,36,51,70,59,39,良,128.9333,11,2017-11
48,81,广州,1.042,126,35,65,47,76,51,良,120.8710,16,2017-12
49,96,广州,1.132,196,38,75,67,80,62,良,195.0968,14,2018-01
50,71,广州,0.779,195,27,45,84,57,44,良,134.3929,10,2018-02
51,85,广州,0.835,150,38,61,106,64,43,良,215.6129,13,2018-03
52,80,广州,0.823,159,39,54,96,68,40,良,196.8667,12,2018-04
53,80,广州,0.697,170,43,40,125,42,24,良,190.0323,10,2018-05
54,74,广州,0.79,154,40,40,109,37,22,良,63.9000,8,2018-06
55,62,广州,0.716,135,35,36,97,36,19,良,166.3226,8,2018-07
56,74,广州,0.861,132,38,45,114,42,26,良,170.0323,8,2018-08
57,67,广州,0.683,134,28,39,112,42,27,良,164.4667,8,2018-09
58,79,广州,0.813,147,40,48,108,56,35,良,169.4516,10,2018-10
59,68,广州,0.907,99,37,51,78,63,39,良,196.1667,8,2018-11
60,58,广州,0.929,113,29,45,53,50,32,良,124.0323,7,2018-12
61,50,广州,0.925,70,38,37,21,43,32,优,81.0000,6,2019-01
