index,aqi,city,co,max_aqi,min_aqi,no2,o3,pm10,pm2_5,quality,rank,so2,time_point
0,134,库尔勒,1.8,134,134,40,34,140,102,轻度污染,108.0000,38,2013-12
1,131,库尔勒,1.416,173,100,35,66,186,89,轻度污染,102.8065,25,2014-01
2,126,库尔勒,0.689,228,52,25,87,200,67,轻度污染,131.3214,14,2014-02
3,234,库尔勒,0.611,446,85,30,106,348,91,重度污染,171.3704,18,2014-03
4,156,库尔勒,0.586,484,60,27,109,239,60,中度污染,153.0000,11,2014-04
5,186,库尔勒,0.619,421,52,23,107,280,69,中度污染,149.9231,21,2014-05
6,90,库尔勒,0.743,326,49,23,113,123,37,良,99.3000,25,2014-06
7,89,库尔勒,0.587,264,48,23,117,108,38,良,106.2903,22,2014-07
8,80,库尔勒,0.942,159,57,27,113,105,39,良,118.2258,9,2014-08
9,134,库尔勒,1.637,406,50,35,93,193,66,轻度污染,153.9333,10,2014-09
10,119,库尔勒,1.89,378,40,41,78,181,57,轻度污染,133.8966,10,2014-10
11,87,库尔勒,1.64,180,31,38,59,123,46,良,90.9667,8,2014-11
12,110,库尔勒,2.139,196,40,44,51,142,73,轻度污染,125.4194,12,2014-12
13,100,库尔勒,1.952,148,38,42,58,104,74,良,188.2581,13,2015-01
14,107,库尔勒,1.486,342,69,27,71,149,49,轻度污染,198.8571,10,2015-02
15,197,库尔勒,1.474,497,71,26,88,285,59,中度污染,309.7037,8,2015-03
16,123,库尔勒,1.231,369,59,25,105,177,43,轻度污染,266.9615,4,2015-04
17,87,库尔勒,0.729,172,48,19,106,122,39,良,227.5806,5,2015-05
18,70,库尔勒,1.14,123,48,19,108,79,29,良,204.5000,9,2015-06
19,77,库尔勒,1.171,125,50,22,121,74,27,良,222.0323,6,2015-07
20,90,库尔勒,1.306,343,47,25,103,117,39,良,228.2258,6,2015-08
21,68,库尔勒,0.883,203,42,24,90,83,27,良,179.9333,7,2015-09
22,138,库尔勒,1.148,500,48,34,74,194,58,轻度污染,254.2258,9,2015-10
23,85,库尔勒,1.56,134,50,38,57,115,50,良,238.1667,8,2015-11
24,73,库尔勒,1.2,127,28,32,44,69,53,良,137.3871,9,2015-12
25,103,库尔勒,1.4,193,59,36,53,128,64,轻度污染,237.5161,11,2016-01
26,308,库尔勒,1.759,500,86,30,62,456,89,严重污染,318.6552,17,2016-02
27,329,库尔勒,0.939,500,130,29,79,637,131,严重污染,356.9677,12,2016-03
28,120,库尔勒,0.683,322,54,24,97,180,46,轻度污染,278.4667,7,2016-04
29,185,库尔勒,0.881,500,44,21,91,311,66,中度污染,287.7419,8,2016-05
30,77,库尔勒,0.71,317,48,22,103,94,29,良,200.6333,8,2016-06
31,73,库尔勒,0.9,155,46,22,101,90,33,良,220.7419,4,2016-07
32,66,库尔勒,0.868,150,41,25,91,80,33,良,186.1290,4,2016-08
33,73,库尔勒,0.977,120,44,30,86,96,29,良,213.5333,7,2016-09
34,110,库尔勒,1.603,223,38,30,67,169,41,轻度污染,288.7742,7,2016-10
35,103,库尔勒,1.46,181,46,41,57,154,50,轻度污染,242.4333,8,2016-11
36,100,库尔勒,1.6,132,63,38,44,121,73,良,207.4839,9,2016-12
37,79,库尔勒,1.594,138,43,33,52,94,49,良,156.4839,11,2017-01
38,158,库尔勒,1.943,500,48,32,68,245,53,中度污染,250.6429,12,2017-02
39,159,库尔勒,1.665,500,53,32,83,267,68,中度污染,254.8065,9,2017-03
40,75,库尔勒,1.05,254,37,23,90,96,33,良,186.9667,6,2017-04
41,74,库尔勒,1.184,134,46,17,102,96,37,良,221.1613,9,2017-05
42,73,库尔勒,1.317,214,43,18,102,92,34,良,232.9333,6,2017-06
43,78,库尔勒,1.432,147,50,18,106,99,33,良,257.2581,7,2017-07
44,71,库尔勒,1.513,124,51,22,106,85,27,良,268.7419,5,2017-08
45,95,库尔勒,1.557,230,54,29,98,138,40,良,303.5667,5,2017-09
46,115,库尔勒,1.613,251,67,34,88,178,48,轻度污染,293.5484,7,2017-10
47,106,库尔勒,1.83,183,64,47,76,163,52,轻度污染,276.3667,11,2017-11
48,104,库尔勒,1.777,275,42,39,33,142,60,轻度污染,198.2903,9,2017-12
49,97,库尔勒,1.571,171,45,32,63,144,44,良,204.1935,9,2018-01
50,95,库尔勒,1.6,138,41,32,76,141,50,良,214.2857,7,2018-02
51,296,库尔勒,0.781,1069,72,24,94,362,78,重度污染,282.3871,8,2018-03
52,166,库尔勒,0.483,500,55,15,101,255,74,中度污染,476.9000,7,2018-04
53,211,库尔勒,0.365,500,55,13,103,303,82,重度污染,282.7000,6,2018-05
54,101,库尔勒,0.423,433,54,15,112,122,40,轻度污染,196.3667,6,2018-06
55,84,库尔勒,0.339,302,60,13,116,89,26,良,249.0000,5,2018-07
56,66,库尔勒,0.465,107,52,15,104,71,21,良,244.3548,6,2018-08
57,85,库尔勒,0.567,143,45,15,84,118,36,良,278.5000,7,2018-09
58,77,库尔勒,0.565,108,58,24,75,103,29,良,263.0000,6,2018-10
59,90,库尔勒,0.677,165,40,23,64,131,37,良,243.6667,6,2018-11
60,149,库尔勒,0.803,500,54,23,54,228,57,轻度污染,300.9259,6,2018-12
61,159,库尔勒,1.375,177,148,25,60,267,82,中度污染,294.2500,7,2019-01
