index,aqi,city,co,max_aqi,min_aqi,no2,o3,pm10,pm2_5,quality,rank,so2,time_point
0,179,廊坊,2.24,427,52,82,26,201,144,中度污染,63.2333,78,2013-12
1,190,廊坊,2.045,425,39,71,34,213,149,中度污染,124.5484,86,2014-01
2,197,廊坊,2.243,493,28,67,41,213,162,中度污染,144.1786,77,2014-02
3,147,廊坊,1.474,302,53,62,69,183,108,轻度污染,133.5161,45,2014-03
4,111,廊坊,0.957,208,65,42,102,152,75,轻度污染,137.9333,25,2014-04
5,109,廊坊,0.835,199,44,33,139,143,66,轻度污染,123.0645,22,2014-05
6,112,廊坊,0.737,225,63,25,154,106,66,轻度污染,140.9333,12,2014-06
7,118,廊坊,1.074,223,52,34,150,129,78,轻度污染,143.0000,14,2014-07
8,105,廊坊,1.019,176,54,33,145,104,64,轻度污染,149.4516,15,2014-08
9,91,廊坊,1.17,170,49,30,93,108,63,良,138.4333,19,2014-09
10,169,廊坊,1.445,342,29,59,66,195,131,中度污染,136.4194,28,2014-10
11,157,廊坊,1.873,455,40,72,38,183,122,中度污染,133.5667,40,2014-11
12,136,廊坊,1.926,368,43,54,29,152,99,轻度污染,112.9677,52,2014-12
13,138,廊坊,1.842,304,39,52,27,149,104,轻度污染,225.0323,49,2015-01
14,139,廊坊,1.586,273,40,42,44,148,100,轻度污染,247.8214,47,2015-02
15,128,廊坊,1.381,265,48,50,71,167,86,轻度污染,282.7742,31,2015-03
16,111,廊坊,1.147,223,40,36,112,139,75,轻度污染,274.3667,19,2015-04
17,96,廊坊,0.926,165,48,32,138,106,59,良,233.3226,17,2015-05
18,95,廊坊,0.903,185,45,32,136,105,59,良,262.4000,13,2015-06
19,100,廊坊,0.971,161,56,32,144,120,52,轻度污染,294.8065,9,2015-07
20,97,廊坊,1.016,150,57,42,144,103,53,良,282.4516,8,2015-08
21,88,廊坊,1.043,176,33,51,113,99,51,良,254.3000,10,2015-09
22,117,廊坊,1.21,357,34,53,76,130,80,轻度污染,214.7742,14,2015-10
23,165,廊坊,1.883,500,34,60,28,161,132,中度污染,295.5000,26,2015-11
24,205,廊坊,3.068,412,34,77,16,225,166,重度污染,285.3871,41,2015-12
25,122,廊坊,1.974,400,49,61,31,135,89,轻度污染,217.7742,41,2016-01
26,78,廊坊,1.214,267,33,40,65,79,51,良,137.5862,30,2016-02
27,115,廊坊,1.229,262,37,59,84,147,73,轻度污染,227.8065,30,2016-03
28,89,廊坊,0.83,172,43,45,117,111,46,良,234.0667,14,2016-04
29,94,廊坊,0.755,174,51,37,144,88,40,良,241.9032,13,2016-05
30,113,廊坊,0.903,157,60,39,168,85,49,轻度污染,303.8333,10,2016-06
31,107,廊坊,1.003,159,48,39,151,90,56,轻度污染,309.3548,7,2016-07
32,96,廊坊,0.903,176,53,45,140,79,43,良,292.0645,6,2016-08
33,82,廊坊,0.867,133,43,44,121,76,41,良,232.8000,6,2016-09
34,85,廊坊,1.252,199,38,57,53,95,55,良,269.9677,10,2016-10
35,120,廊坊,2.117,290,30,66,32,143,89,轻度污染,261.2333,22,2016-11
36,190,廊坊,3.29,429,55,85,26,209,152,中度污染,278.9677,28,2016-12
37,159,廊坊,2.942,402,35,70,43,174,126,中度污染,245.1290,27,2017-01
38,120,廊坊,1.868,309,41,64,76,126,87,轻度污染,193.0714,27,2017-02
39,94,廊坊,1.065,243,41,53,98,106,64,良,183.8065,17,2017-03
40,89,廊坊,0.96,182,47,48,115,110,51,良,222.0333,14,2017-04
41,144,廊坊,0.942,500,58,38,171,95,40,轻度污染,227.8387,12,2017-05
42,132,廊坊,0.95,206,51,39,193,82,45,轻度污染,250.6333,10,2017-06
43,121,廊坊,1.1,207,47,30,181,78,52,轻度污染,269.9032,6,2017-07
44,89,廊坊,0.816,144,39,34,144,55,33,良,219.4839,5,2017-08
45,105,廊坊,0.863,180,42,44,156,102,51,轻度污染,267.7000,11,2017-09
46,79,廊坊,0.974,197,32,48,60,92,52,良,221.9355,8,2017-10
47,81,廊坊,0.95,181,34,52,48,96,52,良,173.2667,11,2017-11
48,95,廊坊,1.21,280,20,57,23,101,58,良,131.5161,15,2017-12
49,78,廊坊,1.206,188,35,51,49,88,46,良,147.7419,15,2018-01
50,88,廊坊,1.025,190,35,40,75,100,58,良,168.5357,14,2018-02
51,108,廊坊,1.232,288,0,59,92,133,77,轻度污染,251.2581,14,2018-03
52,99,廊坊,1.033,244,38,41,127,123,52,良,227.4333,11,2018-04
53,87,廊坊,0.955,159,0,40,147,86,38,良,221.3548,10,2018-05
54,125,廊坊,1.027,202,55,34,185,84,41,轻度污染,101.4667,9,2018-06
55,94,廊坊,1.123,161,36,28,144,65,40,良,267.9677,6,2018-07
56,91,廊坊,1.119,167,37,34,144,59,32,良,227.6129,6,2018-08
57,66,廊坊,0.777,128,34,39,98,61,33,良,210.0667,6,2018-09
58,85,廊坊,0.977,199,32,55,71,90,51,良,203.1935,8,2018-10
59,114,廊坊,1.44,332,43,66,41,139,79,轻度污染,291.6667,14,2018-11
60,94,廊坊,1.265,237,43,55,36,115,60,良,229.1935,15,2018-12
61,108,廊坊,1.45,176,60,64,32,122,77,轻度污染,256.2500,19,2019-01
