index,aqi,city,co,max_aqi,min_aqi,no2,o3,pm10,pm2_5,quality,rank,so2,time_point
0,238,开封,5.594,433,81,21,0,206,193,重度污染,,38,2013-01
1,188,开封,4.557,357,93,15,0,145,145,中度污染,,26,2013-02
2,131,开封,5.7,309,86,12,4,118,85,轻度污染,,30,2013-03
3,113,开封,2.003,205,53,16,23,89,82,轻度污染,,33,2013-04
4,99,开封,0.597,158,38,19,125,61,42,良,,16,2013-05
5,158,开封,0.97,321,45,22,104,125,116,中度污染,,13,2013-06
6,113,开封,1.01,225,78,18,5,89,64,轻度污染,,12,2013-07
7,95,开封,0.981,219,59,17,120,83,57,良,,12,2013-08
8,156,开封,1.147,264,53,24,104,133,113,中度污染,,15,2013-09
9,245,开封,1.771,436,49,32,103,226,203,重度污染,,34,2013-10
10,147,开封,1.623,239,57,43,66,131,109,轻度污染,,47,2013-11
11,225,开封,2.761,450,80,67,47,198,182,重度污染,43.0000,86,2013-12
12,192,开封,2.926,348,59,61,43,161,151,中度污染,133.0645,73,2014-01
13,140,开封,2.271,262,45,36,63,116,106,轻度污染,132.7778,48,2014-02
14,129,开封,1.816,258,72,37,88,153,96,轻度污染,140.9677,34,2014-03
15,117,开封,2.16,227,66,26,70,119,83,轻度污染,142.1333,14,2014-04
16,102,开封,1.165,180,31,23,94,125,57,轻度污染,125.1290,23,2014-05
17,100,开封,1.22,214,46,26,119,63,68,轻度污染,126.1000,18,2014-06
18,81,开封,0.671,133,35,24,109,87,51,良,100.6774,18,2014-07
19,83,开封,0.984,166,33,27,94,94,60,良,118.1613,21,2014-08
20,85,开封,1.263,185,32,29,82,92,59,良,120.4667,21,2014-09
21,123,开封,1.306,320,48,41,54,140,90,轻度污染,122.2258,30,2014-10
22,129,开封,1.357,315,40,50,38,139,95,轻度污染,132.8333,31,2014-11
23,94,开封,1.539,228,39,51,39,106,62,良,94.5806,64,2014-12
24,168,开封,2.106,426,69,62,39,186,130,中度污染,288.1935,61,2015-01
25,121,开封,1.939,230,66,48,71,141,88,轻度污染,254.6786,44,2015-02
26,97,开封,1.584,175,55,38,84,130,61,良,247.4194,35,2015-03
27,97,开封,1.373,145,36,33,120,124,56,良,268.3333,31,2015-04
28,106,开封,1.503,183,75,29,137,139,70,轻度污染,299.4516,26,2015-05
29,87,开封,1.437,174,25,31,100,115,54,良,238.6000,18,2015-06
30,71,开封,1.19,101,49,20,65,86,47,良,207.0645,10,2015-07
31,69,开封,1.203,108,52,25,98,78,45,良,199.9355,15,2015-08
32,77,开封,1.373,172,38,36,80,95,51,良,228.9667,19,2015-09
33,93,开封,1.416,207,53,50,60,118,62,良,241.0000,29,2015-10
34,121,开封,1.553,375,30,47,39,130,91,轻度污染,272.4667,31,2015-11
35,178,开封,2.29,496,59,64,31,204,137,中度污染,281.2258,50,2015-12
36,179,开封,2.239,500,73,63,39,197,140,中度污染,310.4516,54,2016-01
37,111,开封,1.986,188,46,46,77,143,75,轻度污染,254.4828,49,2016-02
38,113,开封,1.713,229,58,48,117,162,71,轻度污染,260.9355,40,2016-03
39,116,开封,1.73,228,61,38,126,152,77,轻度污染,296.3667,26,2016-04
40,83,开封,1.132,158,55,28,126,97,43,良,227.1935,19,2016-05
41,87,开封,1.27,133,50,26,137,83,39,良,255.3333,11,2016-06
42,74,开封,0.955,124,50,20,121,69,38,良,237.9032,7,2016-07
43,73,开封,1.242,120,38,21,122,65,37,良,236.0323,11,2016-08
44,88,开封,1.283,125,54,37,125,108,57,良,266.1333,24,2016-09
45,65,开封,1.284,98,32,41,65,74,41,良,218.0323,19,2016-10
46,136,开封,1.76,262,44,49,50,154,100,轻度污染,290.0000,30,2016-11
47,179,开封,2.181,420,65,61,49,185,142,中度污染,293.9355,43,2016-12
48,124,开封,1.913,279,0,56,37,129,94,轻度污染,290.8710,36,2017-01
49,120,开封,1.414,294,0,46,67,119,91,轻度污染,271.1786,40,2017-02
50,84,开封,1.055,169,0,42,90,87,58,良,215.4516,30,2017-03
51,86,开封,1.067,144,0,36,128,91,49,良,218.8333,21,2017-04
52,70,开封,0.9,169,0,27,164,62,25,良,243.4194,17,2017-05
53,104,开封,0.91,186,0,26,172,83,40,轻度污染,255.4333,8,2017-06
54,77,开封,0.829,125,32,16,129,65,34,良,201.9355,3,2017-07
55,81,开封,0.881,150,33,21,133,70,37,良,235.0323,6,2017-08
56,88,开封,0.983,140,45,34,133,92,46,良,232.6667,14,2017-09
57,77,开封,1.094,134,27,44,73,82,53,良,199.6452,16,2017-10
58,68,开封,1.183,206,0,55,67,76,46,良,247.5333,24,2017-11
59,122,开封,1.416,280,0,59,51,131,89,轻度污染,204.6452,25,2017-12
60,144,开封,1.497,380,0,47,54,139,111,轻度污染,241.6774,22,2018-01
61,120,开封,1.132,270,0,36,82,121,87,轻度污染,246.2500,20,2018-02
62,96,开封,1.032,250,0,34,106,95,69,良,231.1935,15,2018-03
63,54,开封,0.963,112,0,28,121,61,27,良,142.0667,18,2018-04
64,83,开封,0.932,191,0,26,153,85,35,良,213.0323,15,2018-05
65,133,开封,0.953,198,49,25,195,92,36,轻度污染,285.8333,11,2018-06
66,84,开封,0.797,159,43,18,137,67,31,良,239.9032,8,2018-07
67,95,开封,1.065,150,23,19,150,67,33,良,223.4194,10,2018-08
68,83,开封,0.987,122,35,34,133,79,32,良,256.9000,18,2018-09
69,102,开封,0.968,165,63,55,127,122,67,轻度污染,287.1935,25,2018-10
70,153,开封,1.267,406,49,52,77,158,113,中度污染,326.3667,19,2018-11
71,148,开封,1.503,335,58,60,44,159,111,轻度污染,315.4194,22,2018-12
72,243,开封,2.0,326,203,76,56,207,193,重度污染,335.5000,27,2019-01
