index,aqi,city,co,max_aqi,min_aqi,no2,o3,pm10,pm2_5,quality,rank,so2,time_point
0,130,德宏州,1.4,130,130,51,64,210,67,轻度污染,313.0000,21,2014-12
1,70,德宏州,1.132,101,38,32,67,90,31,良,115.2903,20,2015-01
2,72,德宏州,0.989,123,54,27,109,88,44,良,143.7857,25,2015-02
3,87,德宏州,0.873,125,57,36,140,102,51,良,225.1667,23,2015-03
4,70,德宏州,0.513,99,47,19,120,71,35,良,164.3333,22,2015-04
5,76,德宏州,0.371,118,47,23,130,70,35,良,206.6774,20,2015-05
6,43,德宏州,0.657,83,24,13,80,38,20,优,82.8667,24,2015-06
7,38,德宏州,0.613,58,22,14,65,34,19,优,49.0645,19,2015-07
8,36,德宏州,0.532,50,22,10,57,34,21,优,46.4516,18,2015-08
9,38,德宏州,0.643,54,20,15,63,37,21,优,51.5333,15,2015-09
10,44,德宏州,0.703,72,21,17,77,42,22,优,64.9032,12,2015-10
11,54,德宏州,0.913,66,32,24,66,61,24,良,132.6000,12,2015-11
12,70,德宏州,1.235,95,53,28,59,76,45,良,150.8710,11,2015-12
13,69,德宏州,1.335,119,42,28,73,69,49,良,147.4516,8,2016-01
14,82,德宏州,1.345,124,46,24,93,72,59,良,205.2759,9,2016-02
15,81,德宏州,1.194,109,38,31,131,77,51,良,197.1290,8,2016-03
16,77,德宏州,1.07,113,48,27,128,63,37,良,209.2667,7,2016-04
17,60,德宏州,0.916,94,32,19,109,44,25,良,128.4516,7,2016-05
18,35,德宏州,0.753,61,20,12,69,26,15,优,43.4000,12,2016-06
19,31,德宏州,0.729,64,20,10,48,24,16,优,40.5161,16,2016-07
20,37,德宏州,0.71,60,0,10,67,25,19,优,64.8387,21,2016-08
21,42,德宏州,0.63,72,20,13,72,35,27,优,73.9333,16,2016-09
22,40,德宏州,1.052,60,25,15,73,35,21,优,75.2581,16,2016-10
23,46,德宏州,1.1,79,30,20,56,45,26,优,67.7333,15,2016-11
24,54,德宏州,1.052,63,0,23,66,58,33,良,67.2581,13,2016-12
25,58,德宏州,0.948,137,44,23,86,57,40,良,90.4194,10,2017-01
26,72,德宏州,1.029,96,53,29,117,60,47,良,145.8929,12,2017-02
27,77,德宏州,0.968,109,45,32,122,64,49,良,186.2581,13,2017-03
28,75,德宏州,0.94,140,42,27,118,60,48,良,175.5000,10,2017-04
29,69,德宏州,0.839,112,36,19,121,52,36,良,159.8710,13,2017-05
30,42,德宏州,0.77,80,22,12,81,27,16,优,76.1333,11,2017-06
31,34,德宏州,1.084,52,24,13,64,26,15,优,72.3226,11,2017-07
32,32,德宏州,0.723,48,16,11,62,22,13,优,71.5484,18,2017-08
33,36,德宏州,0.85,49,26,13,66,33,17,优,75.8333,16,2017-09
34,39,德宏州,0.632,54,24,14,73,36,20,优,96.5806,13,2017-10
35,49,德宏州,0.85,62,32,25,73,50,28,优,81.3000,15,2017-11
36,55,德宏州,0.803,67,35,36,41,60,34,良,77.4516,15,2017-12
37,53,德宏州,0.926,72,31,33,70,55,36,良,86.5806,13,2018-01
38,78,德宏州,0.95,119,55,30,103,90,52,良,190.3571,14,2018-02
39,96,德宏州,0.942,172,78,38,130,98,63,良,263.5161,17,2018-03
40,93,德宏州,0.963,140,0,32,133,94,68,良,243.3333,16,2018-04
41,63,德宏州,0.687,105,28,23,102,56,40,良,151.8065,13,2018-05
42,39,德宏州,0.57,69,21,17,63,33,20,优,52.4000,10,2018-06
43,34,德宏州,0.758,68,21,13,61,17,12,优,51.0645,14,2018-07
44,31,德宏州,0.581,51,21,12,59,24,16,优,76.8387,18,2018-08
45,33,德宏州,0.687,51,22,12,57,28,18,优,104.4000,16,2018-09
46,40,德宏州,0.597,83,23,15,56,34,26,优,79.7097,15,2018-10
47,52,德宏州,0.72,74,38,22,69,54,32,良,127.6333,18,2018-11
48,55,德宏州,0.739,80,40,22,62,60,28,良,135.4839,15,2018-12
49,59,德宏州,0.825,61,57,27,63,67,28,良,122.2500,9,2019-01
