index,aqi,city,co,max_aqi,min_aqi,no2,o3,pm10,pm2_5,quality,rank,so2,time_point
0,223,德州,2.004,421,74,81,27,229,181,重度污染,86.5000,117,2013-12
1,223,德州,1.668,402,72,73,40,242,178,重度污染,148.8065,108,2014-01
2,160,德州,1.711,341,49,50,50,155,124,中度污染,141.0000,82,2014-02
3,149,德州,1.41,238,70,50,77,181,111,轻度污染,150.0645,59,2014-03
4,124,德州,1.085,204,80,38,94,146,89,轻度污染,153.7407,38,2014-04
5,111,德州,1.59,185,47,33,103,140,81,轻度污染,128.7419,41,2014-05
6,109,德州,1.46,219,51,30,122,104,80,轻度污染,136.9000,36,2014-06
7,107,德州,1.371,187,49,32,143,116,78,轻度污染,139.1935,36,2014-07
8,102,德州,1.548,168,58,36,139,121,75,轻度污染,151.0968,32,2014-08
9,98,德州,1.863,215,38,41,98,111,71,良,138.6000,42,2014-09
10,142,德州,1.868,229,55,57,81,158,106,轻度污染,143.4516,55,2014-10
11,172,德州,1.997,397,50,62,48,180,134,中度污染,157.1333,57,2014-11
12,169,德州,2.197,296,63,68,34,188,129,中度污染,163.9355,93,2014-12
13,173,德州,2.242,352,48,67,43,193,135,中度污染,287.3871,87,2015-01
14,152,德州,3.029,292,55,48,71,182,115,中度污染,295.3929,69,2015-02
15,139,德州,1.635,421,61,41,94,191,90,轻度污染,311.1613,49,2015-03
16,110,德州,1.353,191,57,32,122,147,75,轻度污染,293.1000,33,2015-04
17,109,德州,1.513,154,62,30,155,137,71,轻度污染,295.2581,31,2015-05
18,127,德州,1.537,200,70,26,186,126,68,轻度污染,330.4667,28,2015-06
19,125,德州,1.606,172,65,25,178,123,76,轻度污染,332.1935,18,2015-07
20,112,德州,1.829,166,61,30,156,117,73,轻度污染,315.5484,21,2015-08
21,103,德州,1.747,214,43,39,140,110,68,轻度污染,294.9333,30,2015-09
22,134,德州,1.748,319,54,48,105,164,100,轻度污染,280.5484,38,2015-10
23,159,德州,2.133,500,32,49,43,170,124,中度污染,305.6333,45,2015-11
24,250,德州,3.077,500,52,72,36,311,209,重度污染,327.2581,73,2015-12
25,168,德州,2.142,352,62,58,44,203,130,中度污染,301.0323,67,2016-01
26,129,德州,2.007,280,40,38,70,158,95,轻度污染,275.1034,52,2016-02
27,144,德州,1.726,283,58,41,107,204,97,轻度污染,315.2903,45,2016-03
28,125,德州,1.527,220,61,34,139,182,77,轻度污染,322.3000,31,2016-04
29,111,德州,1.281,238,62,31,155,133,58,轻度污染,299.9355,30,2016-05
30,125,德州,1.127,182,93,26,185,102,50,轻度污染,337.4000,25,2016-06
31,110,德州,1.19,187,51,23,163,113,63,轻度污染,318.1613,18,2016-07
32,87,德州,1.319,137,44,25,129,90,42,良,284.5484,17,2016-08
33,117,德州,1.563,197,51,37,168,118,61,轻度污染,312.3333,30,2016-09
34,95,德州,1.516,234,51,42,83,118,66,良,291.0323,24,2016-10
35,134,德州,1.843,259,40,51,47,178,100,轻度污染,296.5000,33,2016-11
36,185,德州,2.355,367,56,58,37,221,145,中度污染,303.8065,42,2016-12
37,179,德州,2.277,343,44,55,43,212,140,中度污染,284.6452,45,2017-01
38,137,德州,1.464,318,56,48,84,156,104,轻度污染,252.0714,39,2017-02
39,100,德州,1.284,205,56,42,112,123,70,轻度污染,240.6452,27,2017-03
40,97,德州,1.39,180,72,39,130,129,59,良,253.5000,26,2017-04
41,159,德州,1.261,500,72,25,184,98,38,中度污染,263.6452,19,2017-05
42,143,德州,1.287,202,45,26,204,118,52,轻度污染,281.2333,16,2017-06
43,114,德州,1.287,182,56,20,162,94,56,轻度污染,251.8710,15,2017-07
44,99,德州,1.226,180,39,28,153,69,42,良,251.7097,13,2017-08
45,100,德州,1.26,149,44,32,156,89,45,良,246.0333,17,2017-09
46,87,德州,1.487,214,36,44,76,92,59,良,216.1935,13,2017-10
47,91,德州,1.393,192,49,52,61,118,58,良,207.4333,21,2017-11
48,120,德州,1.774,309,43,58,27,141,83,轻度污染,200.3226,23,2017-12
49,108,德州,1.79,284,45,54,53,129,77,轻度污染,209.1290,27,2018-01
50,114,德州,1.743,260,0,37,90,133,79,轻度污染,220.8214,26,2018-02
51,107,德州,1.274,186,53,34,125,124,69,轻度污染,273.6452,16,2018-03
52,100,德州,0.837,182,0,28,141,124,49,轻度污染,252.2333,14,2018-04
53,99,德州,0.787,166,0,24,158,92,42,良,259.2903,12,2018-05
54,143,德州,0.7,185,50,26,206,96,39,轻度污染,296.5667,11,2018-06
55,104,德州,0.765,197,40,14,161,64,37,轻度污染,277.4516,8,2018-07
56,102,德州,0.823,188,23,18,159,57,28,轻度污染,199.5484,8,2018-08
57,76,德州,0.647,122,49,31,119,73,31,良,258.7667,12,2018-09
58,83,德州,0.577,143,52,46,106,101,45,良,244.7742,15,2018-10
59,121,德州,1.0,244,55,51,67,154,86,轻度污染,308.2333,17,2018-11
60,107,德州,1.081,233,51,51,49,141,73,轻度污染,280.5484,23,2018-12
61,173,德州,1.725,229,129,73,44,191,133,中度污染,320.0000,41,2019-01
