index,aqi,city,co,max_aqi,min_aqi,no2,o3,pm10,pm2_5,quality,rank,so2,time_point
0,204,德阳,1.7,204,204,40,27,195,154,重度污染,182.0000,18,2013-12
1,183,德阳,1.832,337,73,64,69,187,142,中度污染,131.3548,27,2014-01
2,136,德阳,1.504,252,29,35,62,128,103,轻度污染,128.6429,18,2014-02
3,107,德阳,0.968,248,44,45,84,120,79,轻度污染,101.7742,27,2014-03
4,86,德阳,0.867,174,45,32,119,88,55,良,99.0333,23,2014-04
5,104,德阳,0.784,176,56,34,136,123,72,轻度污染,116.6129,26,2014-05
6,89,德阳,0.833,201,37,32,130,88,57,良,101.9000,26,2014-06
7,70,德阳,0.661,105,29,28,114,69,34,良,83.6452,22,2014-07
8,55,德阳,0.816,84,24,23,92,52,31,良,62.6452,22,2014-08
9,51,德阳,0.94,92,29,25,73,51,31,良,54.8667,21,2014-09
10,68,德阳,0.926,157,23,32,63,73,48,良,55.4194,17,2014-10
11,55,德阳,0.923,102,22,35,36,58,38,良,34.2333,11,2014-11
12,72,德阳,1.026,126,32,47,36,72,51,良,60.3226,18,2014-12
13,137,德阳,1.194,227,28,49,45,152,103,轻度污染,241.2903,16,2015-01
14,99,德阳,0.996,217,36,31,72,112,72,良,202.0714,14,2015-02
15,83,德阳,1.087,129,49,30,93,100,57,良,209.2903,16,2015-03
16,85,德阳,0.86,172,41,29,135,96,54,良,211.0000,19,2015-04
17,96,德阳,0.929,164,49,21,151,82,42,良,261.3548,14,2015-05
18,72,德阳,0.877,131,24,20,117,56,32,良,206.6333,11,2015-06
19,81,德阳,0.935,144,28,24,131,68,38,良,236.9032,16,2015-07
20,76,德阳,1.042,165,33,28,116,71,40,良,212.4839,17,2015-08
21,54,德阳,0.937,102,30,25,81,54,31,良,138.2667,9,2015-09
22,74,德阳,0.984,135,36,33,95,83,49,良,175.1613,14,2015-10
23,56,德阳,1.007,95,26,30,43,60,36,良,126.2333,9,2015-11
24,112,德阳,1.261,281,49,39,50,127,84,轻度污染,222.3871,12,2015-12
25,115,德阳,1.319,211,55,38,59,129,85,轻度污染,246.7742,11,2016-01
26,98,德阳,1.0,186,56,31,89,119,68,良,252.9310,10,2016-02
27,86,德阳,1.1,176,38,34,94,111,59,良,191.2581,16,2016-03
28,73,德阳,0.97,119,45,27,101,85,45,良,187.2667,14,2016-04
29,80,德阳,0.771,146,40,17,133,70,37,良,204.9032,12,2016-05
30,97,德阳,0.997,174,54,19,155,70,34,良,278.1000,14,2016-06
31,67,德阳,1.016,139,32,17,114,44,23,良,178.0645,15,2016-07
32,74,德阳,0.819,166,39,15,127,52,27,良,222.4839,14,2016-08
33,69,德阳,0.83,134,40,22,106,63,33,良,182.6667,9,2016-09
34,60,德阳,0.723,126,21,19,73,61,37,良,173.1613,9,2016-10
35,107,德阳,0.823,185,30,29,52,123,77,轻度污染,254.5667,10,2016-11
36,141,德阳,1.142,228,41,45,44,164,107,轻度污染,274.5161,12,2016-12
37,144,德阳,1.177,268,49,41,63,164,110,轻度污染,266.9355,11,2017-01
38,106,德阳,0.968,191,32,34,74,120,79,轻度污染,223.8929,10,2017-02
39,74,德阳,0.842,139,35,32,86,83,50,良,187.2258,9,2017-03
40,80,德阳,0.7,151,40,30,122,78,43,良,170.7000,12,2017-04
41,98,德阳,0.732,188,40,31,150,84,43,良,199.9355,12,2017-05
42,92,德阳,0.747,161,40,26,142,78,41,良,216.2667,10,2017-06
43,92,德阳,0.71,200,34,19,150,52,30,良,183.1613,11,2017-07
44,65,德阳,0.723,149,24,16,114,35,21,良,148.4839,7,2017-08
45,58,德阳,0.82,139,26,23,92,43,24,良,126.6333,7,2017-09
46,50,德阳,0.816,91,23,26,63,49,27,优,117.6129,6,2017-10
47,83,德阳,0.953,145,42,37,64,96,59,良,187.0333,8,2017-11
48,138,德阳,1.139,282,60,52,41,122,84,轻度污染,259.1290,9,2017-12
49,97,德阳,1.074,234,0,47,65,110,71,良,198.0645,8,2018-01
50,67,德阳,0.907,178,0,33,85,75,47,良,168.0714,8,2018-02
51,85,德阳,0.835,193,31,39,105,101,57,良,201.9677,9,2018-03
52,90,德阳,0.65,163,37,36,135,103,43,良,232.1000,9,2018-04
53,82,德阳,0.594,164,0,28,135,72,32,良,211.7419,9,2018-05
54,69,德阳,0.667,156,29,26,116,50,22,良,145.6667,9,2018-06
55,54,德阳,0.729,89,20,19,99,37,16,良,145.2903,8,2018-07
56,84,德阳,0.823,162,34,24,138,57,28,良,222.3548,11,2018-08
57,46,德阳,0.62,85,26,21,78,36,15,优,146.4333,8,2018-09
58,55,德阳,0.661,107,22,33,64,61,31,良,148.2581,7,2018-10
59,72,德阳,0.7,132,23,37,52,82,50,良,197.7667,6,2018-11
60,84,德阳,0.797,193,22,36,40,94,57,良,211.8387,6,2018-12
61,71,德阳,1.05,84,52,37,37,68,52,良,139.7500,6,2019-01
