index,aqi,city,co,max_aqi,min_aqi,no2,o3,pm10,pm2_5,quality,rank,so2,time_point
0,113,怀化,0.6,113,113,24,88,151,85,轻度污染,276.0000,50,2014-12
1,136,怀化,1.003,304,34,31,58,164,101,轻度污染,250.6129,63,2015-01
2,93,怀化,1.318,212,20,20,63,110,68,良,180.3214,27,2015-02
3,79,怀化,1.029,135,44,19,61,97,54,良,188.3871,23,2015-03
4,74,怀化,1.04,120,36,19,96,88,51,良,172.3667,23,2015-04
5,78,怀化,1.242,145,42,15,96,94,55,良,200.9032,18,2015-05
6,53,怀化,1.22,84,37,9,91,52,27,良,135.6000,13,2015-06
7,60,怀化,1.216,90,32,11,100,63,33,良,158.0323,16,2015-07
8,60,怀化,1.135,94,38,13,91,68,32,良,159.7419,14,2015-08
9,74,怀化,1.24,128,35,14,95,92,48,良,226.2667,16,2015-09
10,87,怀化,1.158,132,34,24,107,118,58,良,231.4194,23,2015-10
11,57,怀化,1.01,102,25,15,50,66,33,良,128.0333,22,2015-11
12,81,怀化,1.042,155,26,22,49,97,54,良,165.1935,34,2015-12
13,84,怀化,1.048,160,30,17,57,96,60,良,181.0000,31,2016-01
14,82,怀化,0.855,173,37,15,81,97,56,良,194.3448,24,2016-02
15,83,怀化,0.968,138,33,23,81,102,59,良,188.4194,25,2016-03
16,58,怀化,1.12,100,34,17,71,65,34,良,108.3333,21,2016-04
17,60,怀化,1.206,95,35,15,87,67,31,良,121.4194,17,2016-05
18,51,怀化,1.267,76,34,12,82,53,22,良,111.5000,11,2016-06
19,48,怀化,1.297,72,27,11,76,50,21,优,122.1613,7,2016-07
20,59,怀化,1.381,89,33,13,96,65,29,良,164.2581,14,2016-08
21,76,怀化,1.2,111,34,19,121,94,46,良,231.0333,19,2016-09
22,59,怀化,1.135,88,28,14,91,67,31,良,180.7419,12,2016-10
23,66,怀化,1.187,132,30,19,58,79,42,良,136.5333,17,2016-11
24,94,怀化,1.148,168,25,28,59,125,67,良,178.5484,32,2016-12
25,107,怀化,1.181,204,41,19,59,134,79,轻度污染,211.2581,20,2017-01
26,75,怀化,1.025,171,36,20,69,93,50,良,150.8214,16,2017-02
27,60,怀化,0.842,96,33,17,73,71,33,良,139.4839,14,2017-03
28,64,怀化,0.95,84,29,20,98,78,32,良,181.8000,14,2017-04
29,71,怀化,0.929,134,37,19,108,80,28,良,201.3548,8,2017-05
30,53,怀化,1.123,76,29,13,88,54,20,良,192.5333,5,2017-06
31,54,怀化,1.281,81,34,13,94,58,17,良,217.3871,6,2017-07
32,56,怀化,1.306,84,36,10,94,59,19,良,228.5484,5,2017-08
33,62,怀化,1.367,91,38,14,92,71,29,良,216.7000,7,2017-09
34,55,怀化,1.074,117,24,15,80,64,29,良,166.0645,7,2017-10
35,81,怀化,1.027,133,29,27,72,101,54,良,198.6667,13,2017-11
36,104,怀化,1.248,169,40,34,44,131,77,轻度污染,207.1613,19,2017-12
37,80,怀化,1.039,153,28,21,61,89,58,良,159.9032,10,2018-01
38,92,怀化,1.086,137,40,21,81,120,65,良,224.6786,10,2018-02
39,65,怀化,1.052,104,23,25,83,77,38,良,145.0645,8,2018-03
40,70,怀化,1.11,101,38,24,101,88,34,良,160.7667,9,2018-04
41,59,怀化,1.213,88,0,14,101,63,24,良,141.9355,7,2018-05
42,63,怀化,1.233,130,39,13,108,60,22,良,134.3667,7,2018-06
43,54,怀化,1.294,89,38,14,94,57,19,良,188.9677,8,2018-07
44,60,怀化,1.342,109,37,15,107,57,22,良,217.2581,10,2018-08
45,52,怀化,1.063,90,30,14,89,51,21,良,192.1000,8,2018-09
46,61,怀化,0.961,102,26,21,95,65,29,良,189.7742,11,2018-10
47,54,怀化,1.1,122,23,19,66,62,33,良,118.1000,10,2018-11
48,73,怀化,1.126,183,26,18,50,84,50,良,175.1613,8,2018-12
49,83,怀化,0.95,117,29,13,53,72,62,良,211.5000,8,2019-01
