index,aqi,city,co,max_aqi,min_aqi,no2,o3,pm10,pm2_5,quality,rank,so2,time_point
0,98,怒江州,0.7,98,98,18,67,96,73,良,230.0000,10,2014-12
1,57,怒江州,0.929,207,23,10,72,44,29,良,72.3871,5,2015-01
2,55,怒江州,0.618,107,39,7,91,45,32,良,76.7857,4,2015-02
3,61,怒江州,0.793,157,38,6,88,64,39,良,114.5333,10,2015-03
4,45,怒江州,0.85,65,26,6,84,34,20,优,45.7667,7,2015-04
5,51,怒江州,0.716,74,28,5,93,49,21,良,83.5161,3,2015-05
6,37,怒江州,0.52,52,28,5,72,31,15,优,50.6000,5,2015-06
7,34,怒江州,0.713,59,20,6,66,26,13,优,34.8065,5,2015-07
8,30,怒江州,0.597,42,21,8,55,26,13,优,21.1613,8,2015-08
9,32,怒江州,0.641,65,24,10,61,27,13,优,28.1034,8,2015-09
10,36,怒江州,0.739,54,19,8,61,34,17,优,33.0968,5,2015-10
11,42,怒江州,0.757,57,23,8,64,41,20,优,65.4333,8,2015-11
12,50,怒江州,0.829,64,28,13,57,54,28,良,72.0968,8,2015-12
13,48,怒江州,0.794,68,30,15,65,51,24,优,68.0645,7,2016-01
14,59,怒江州,0.741,172,29,9,79,54,37,良,106.4138,8,2016-02
15,54,怒江州,0.774,94,32,10,98,50,26,良,80.1935,8,2016-03
16,44,怒江州,0.373,57,27,9,81,36,19,优,38.3667,10,2016-04
17,46,怒江州,0.516,69,24,10,77,45,23,优,61.5161,13,2016-05
18,34,怒江州,0.55,49,22,10,66,28,13,优,34.6000,8,2016-06
19,24,怒江州,0.81,32,19,10,38,23,12,优,13.9355,7,2016-07
20,33,怒江州,0.874,59,0,7,61,28,14,优,35.6129,11,2016-08
21,31,怒江州,0.933,48,23,9,51,30,18,优,28.1667,8,2016-09
22,35,怒江州,0.968,55,23,13,56,31,19,优,47.8710,13,2016-10
23,34,怒江州,0.867,52,18,20,55,33,17,优,31.7667,9,2016-11
24,47,怒江州,1.306,65,32,26,47,46,24,优,40.3871,15,2016-12
25,47,怒江州,1.29,86,32,22,67,45,25,优,55.0323,13,2017-01
26,54,怒江州,1.221,86,33,29,89,55,30,良,93.5000,11,2017-02
27,49,怒江州,0.823,69,23,19,89,45,20,优,83.8387,10,2017-03
28,55,怒江州,0.973,101,31,18,89,51,27,良,121.0667,11,2017-04
29,49,怒江州,1.161,68,27,18,87,46,23,优,115.6774,12,2017-05
30,43,怒江州,1.03,74,30,12,76,31,12,优,131.2000,11,2017-06
31,35,怒江州,1.181,46,22,9,63,31,12,优,105.7097,12,2017-07
32,37,怒江州,1.061,54,22,10,64,33,12,优,131.4839,13,2017-08
33,33,怒江州,1.027,44,20,13,57,31,13,优,96.5333,13,2017-09
34,35,怒江州,0.974,53,23,15,55,33,16,优,87.9677,13,2017-10
35,45,怒江州,0.837,55,30,20,64,45,21,优,70.1333,7,2017-11
36,57,怒江州,1.0,71,31,27,32,65,27,良,91.9677,10,2017-12
37,55,怒江州,1.058,69,32,27,57,61,27,良,89.6129,10,2018-01
38,56,怒江州,1.071,85,0,19,89,61,35,良,108.2857,11,2018-02
39,52,怒江州,0.839,69,0,17,94,51,30,良,88.6452,10,2018-03
40,59,怒江州,0.987,85,0,18,94,67,33,良,121.8000,11,2018-04
41,50,怒江州,0.974,66,0,14,84,55,21,优,98.8387,11,2018-05
42,47,怒江州,1.1,85,29,15,73,49,17,优,80.5000,11,2018-06
43,38,怒江州,1.065,54,25,13,61,34,11,优,96.8387,9,2018-07
44,46,怒江州,1.035,64,28,12,76,44,14,优,191.9677,11,2018-08
45,41,怒江州,1.15,90,20,13,58,37,17,优,165.8000,7,2018-09
46,48,怒江州,0.758,75,15,17,54,52,21,优,143.8710,12,2018-10
47,63,怒江州,0.77,72,51,20,58,76,34,良,187.9333,12,2018-11
48,60,怒江州,1.094,80,26,22,54,69,31,良,163.1613,11,2018-12
49,63,怒江州,1.075,67,57,28,49,75,34,良,145.7500,6,2019-01
