index,aqi,city,co,max_aqi,min_aqi,no2,o3,pm10,pm2_5,quality,rank,so2,time_point
0,101,惠州,1.183,162,19,42,101,103,75,轻度污染,38.9000,27,2013-12
1,96,惠州,0.971,170,49,40,126,101,68,良,61.2581,24,2014-01
2,54,惠州,0.743,88,24,25,83,50,35,良,41.8929,18,2014-02
3,60,惠州,0.803,95,26,33,83,62,38,良,36.5161,17,2014-03
4,62,惠州,0.797,119,37,29,107,53,32,良,46.1667,19,2014-04
5,48,惠州,0.606,135,28,27,80,39,21,优,28.1613,13,2014-05
6,49,惠州,0.517,105,26,23,88,42,23,优,33.8667,11,2014-06
7,63,惠州,0.542,176,23,24,107,44,24,良,66.1613,11,2014-07
8,56,惠州,0.49,170,20,25,95,39,20,良,55.2581,10,2014-08
9,54,惠州,0.553,131,20,22,96,44,25,良,56.5667,10,2014-09
10,84,惠州,0.723,126,55,26,140,75,44,良,95.5806,13,2014-10
11,64,惠州,0.643,102,29,26,95,67,42,良,54.7667,12,2014-11
12,69,惠州,0.955,109,31,32,80,78,49,良,59.0323,16,2014-12
13,63,惠州,1.026,94,26,31,99,74,39,良,82.8065,13,2015-01
14,61,惠州,0.929,99,31,21,97,67,37,良,96.7143,10,2015-02
15,44,惠州,0.868,63,21,20,72,44,23,优,46.9032,8,2015-03
16,62,惠州,0.783,149,15,24,101,53,26,良,118.4667,9,2015-04
17,42,惠州,0.755,63,27,18,78,36,18,优,45.7097,7,2015-05
18,43,惠州,0.71,80,25,17,81,32,13,优,84.5667,10,2015-06
19,47,惠州,0.687,100,27,16,85,40,21,优,93.7097,9,2015-07
20,61,惠州,0.752,130,25,20,104,48,25,良,152.6129,11,2015-08
21,70,惠州,0.757,114,22,21,119,51,30,良,206.0000,11,2015-09
22,58,惠州,0.803,100,22,21,102,58,35,良,110.0323,11,2015-10
23,52,惠州,0.903,84,30,22,85,54,31,良,106.0000,11,2015-11
24,47,惠州,0.829,75,23,24,62,46,29,优,60.2903,9,2015-12
25,46,惠州,0.961,87,25,25,57,42,27,优,47.1290,7,2016-01
26,49,惠州,0.762,119,21,18,75,46,30,优,62.6897,7,2016-02
27,56,惠州,0.835,134,27,31,83,54,34,良,75.9355,8,2016-03
28,50,惠州,0.737,89,31,26,79,43,25,优,65.3333,7,2016-04
29,55,惠州,0.7,100,30,18,99,41,22,良,92.7742,8,2016-05
30,46,惠州,0.627,90,21,20,84,34,14,优,96.3667,8,2016-06
31,63,惠州,0.603,146,25,22,105,41,20,良,162.3871,10,2016-07
32,60,惠州,0.703,163,23,23,102,43,25,良,139.1935,8,2016-08
33,53,惠州,0.717,120,26,20,93,44,26,良,117.2000,8,2016-09
34,42,惠州,0.784,57,26,18,72,41,24,优,90.6452,7,2016-10
35,51,惠州,0.897,90,20,26,81,53,31,良,80.4000,8,2016-11
36,66,惠州,1.061,88,34,36,92,74,45,良,93.6129,11,2016-12
37,61,惠州,1.013,116,26,28,88,62,41,良,95.7419,7,2017-01
38,58,惠州,0.893,96,25,24,103,52,33,良,78.3929,8,2017-02
39,55,惠州,0.9,101,33,29,86,57,30,良,99.0000,8,2017-03
40,65,惠州,0.863,152,29,27,100,56,30,良,93.7333,9,2017-04
41,64,惠州,0.832,110,30,23,109,50,27,良,94.6452,8,2017-05
42,37,惠州,0.627,75,21,19,65,31,14,优,73.7000,6,2017-06
43,38,惠州,0.629,133,16,17,66,31,15,优,54.3226,7,2017-07
44,59,惠州,0.7,195,19,24,103,41,20,良,122.0645,8,2017-08
45,64,惠州,0.747,149,27,26,109,47,25,良,117.8000,9,2017-09
46,59,惠州,0.855,108,22,21,105,52,30,良,131.0323,9,2017-10
47,59,惠州,0.97,100,26,30,81,59,39,良,116.8667,10,2017-11
48,70,惠州,1.074,135,25,36,58,75,50,良,118.6129,13,2017-12
49,62,惠州,1.077,107,23,36,79,59,41,良,107.2581,9,2018-01
50,61,惠州,0.689,195,21,25,87,55,41,良,94.8214,9,2018-02
51,65,惠州,0.61,100,26,27,110,50,30,良,138.8710,8,2018-03
52,64,惠州,0.57,112,28,25,103,60,32,良,126.2667,8,2018-04
53,66,惠州,0.548,158,0,24,114,42,22,良,146.3548,8,2018-05
54,56,惠州,0.62,133,21,20,97,33,18,良,47.6667,7,2018-06
55,45,惠州,0.597,140,24,19,81,33,17,优,93.5161,8,2018-07
56,56,惠州,0.752,142,20,21,101,35,21,良,103.3548,8,2018-08
57,59,惠州,0.667,122,21,18,104,40,22,良,143.0667,8,2018-09
58,69,惠州,0.661,107,25,21,118,52,29,良,130.1935,9,2018-10
59,53,惠州,0.74,73,32,25,89,50,29,良,131.7333,9,2018-11
60,43,惠州,0.771,63,17,23,56,45,26,优,74.8387,9,2018-12
61,41,惠州,1.0,59,33,26,28,43,29,优,49.5000,8,2019-01
