index,aqi,city,co,max_aqi,min_aqi,no2,o3,pm10,pm2_5,quality,rank,so2,time_point
0,175,成都,1.607,285,72,76,46,209,136,中度污染,76.9667,32,2013-12
1,222,成都,1.587,462,74,73,50,256,179,重度污染,148.5484,32,2014-01
2,149,成都,1.421,234,43,49,54,150,113,轻度污染,142.7143,25,2014-02
3,114,成都,1.297,211,40,64,77,137,84,轻度污染,115.1613,24,2014-03
4,90,成都,1.037,160,43,51,110,100,60,良,105.5667,16,2014-04
5,110,成都,0.819,185,60,52,136,131,76,轻度污染,127.9355,15,2014-05
6,74,成都,0.863,166,36,46,110,72,44,良,82.6667,13,2014-06
7,75,成都,0.868,122,27,47,122,71,40,良,95.7097,13,2014-07
8,69,成都,0.916,108,28,44,110,64,38,良,95.0323,12,2014-08
9,62,成都,0.96,114,31,46,74,68,40,良,80.9667,14,2014-09
10,88,成都,1.11,219,37,52,66,104,64,良,85.7097,16,2014-10
11,76,成都,1.067,132,41,49,41,96,53,良,77.7000,15,2014-11
12,117,成都,1.21,230,55,57,40,156,84,轻度污染,133.1290,23,2014-12
13,165,成都,1.584,259,43,61,34,195,126,中度污染,280.0968,20,2015-01
14,115,成都,1.346,221,43,45,67,126,86,轻度污染,233.4286,15,2015-02
15,94,成都,1.126,146,58,51,93,114,68,良,241.6452,15,2015-03
16,88,成都,0.887,148,43,49,135,101,54,良,221.5333,15,2015-04
17,107,成都,0.81,176,60,44,163,98,49,轻度污染,286.4516,13,2015-05
18,87,成都,0.823,170,36,38,133,70,38,良,250.8000,14,2015-06
19,106,成都,0.939,153,37,48,161,82,45,轻度污染,295.5161,15,2015-07
20,85,成都,1.032,159,39,52,125,78,44,良,247.4839,14,2015-08
21,64,成都,1.03,120,38,47,77,60,35,良,189.4000,13,2015-09
22,91,成都,1.052,168,40,59,83,109,63,良,235.1613,17,2015-10
23,74,成都,1.117,123,40,48,32,84,50,良,210.3667,16,2015-11
24,120,成都,1.423,304,48,65,32,143,90,轻度污染,234.4194,18,2015-12
25,110,成都,1.355,214,50,57,49,127,81,轻度污染,229.4194,17,2016-01
26,97,成都,1.362,188,52,53,84,111,67,良,248.1379,14,2016-02
27,105,成都,1.432,176,45,67,87,131,75,轻度污染,248.9032,18,2016-03
28,94,成都,1.027,209,49,57,103,104,65,良,238.8000,14,2016-04
29,92,成都,0.955,189,40,49,134,97,57,良,244.4194,13,2016-05
30,95,成都,0.94,150,51,45,147,76,44,良,278.6333,12,2016-06
31,85,成都,0.89,202,44,40,133,51,30,良,247.5161,13,2016-07
32,105,成都,1.01,206,50,47,161,68,41,轻度污染,300.5161,14,2016-08
33,80,成都,1.02,120,47,49,106,69,45,良,232.4333,13,2016-09
34,75,成都,1.068,126,40,48,65,81,47,良,234.0000,13,2016-10
35,117,成都,1.32,244,48,62,45,150,86,轻度污染,267.0667,16,2016-11
36,154,成都,1.581,252,53,69,32,193,117,中度污染,292.8710,18,2016-12
37,173,成都,1.613,375,42,69,43,204,136,中度污染,289.1613,17,2017-01
38,110,成都,1.164,213,38,56,58,119,82,轻度污染,217.6429,14,2017-02
39,77,成都,0.945,122,47,58,75,81,49,良,178.4516,12,2017-03
40,80,成都,0.85,133,38,55,115,67,33,良,127.0000,14,2017-04
41,97,成都,0.742,145,41,51,146,73,43,良,166.7097,10,2017-05
42,82,成都,0.853,130,41,48,125,71,43,良,221.2333,10,2017-06
43,119,成都,0.835,206,40,44,179,53,28,轻度污染,166.9032,8,2017-07
44,81,成都,0.816,142,28,34,133,37,20,良,123.1613,8,2017-08
45,67,成都,0.84,138,40,42,96,52,30,良,128.2333,10,2017-09
46,63,成都,0.823,108,28,46,54,60,37,良,150.2581,9,2017-10
47,95,成都,0.99,170,45,57,52,102,69,良,192.9333,11,2017-11
48,144,成都,1.39,242,68,71,30,130,93,轻度污染,250.1613,12,2017-12
49,115,成都,1.21,267,37,62,54,126,86,轻度污染,231.0968,11,2018-01
50,94,成都,1.021,221,0,47,84,97,69,良,213.1786,9,2018-02
51,94,成都,1.032,166,40,61,104,105,65,良,239.4194,12,2018-03
52,93,成都,0.867,146,40,55,138,100,50,良,234.4667,11,2018-04
53,91,成都,0.765,201,0,47,141,70,38,良,225.5806,10,2018-05
54,77,成都,0.813,166,36,38,124,46,29,良,58.4667,10,2018-06
55,73,成都,0.861,171,31,34,122,39,24,良,206.6452,8,2018-07
56,97,成都,0.948,158,35,43,151,61,37,良,227.5806,9,2018-08
57,54,成都,0.793,127,27,32,82,37,22,良,159.7000,8,2018-09
58,65,成都,0.813,142,35,45,56,64,42,良,178.9355,8,2018-10
59,81,成都,0.897,143,32,49,44,86,57,良,232.5000,8,2018-11
60,90,成都,0.997,205,32,48,27,102,62,良,229.3226,7,2018-12
61,85,成都,1.05,99,77,47,32,86,62,良,196.2500,7,2019-01
