index,aqi,city,co,max_aqi,min_aqi,no2,o3,pm10,pm2_5,quality,rank,so2,time_point
0,76,承德,1.257,141,35,39,40,101,47,良,20.0333,48,2013-12
1,90,承德,1.477,212,37,47,46,117,62,良,51.9032,60,2014-01
2,142,承德,1.629,321,40,47,57,165,109,轻度污染,118.1786,55,2014-02
3,91,承德,0.958,206,43,40,92,121,58,良,82.3548,51,2014-03
4,92,承德,0.697,170,48,37,133,120,42,良,103.1667,30,2014-04
5,97,承德,0.69,203,53,28,149,91,35,良,104.9677,23,2014-05
6,81,承德,0.573,135,48,25,133,65,35,良,96.3667,24,2014-06
7,108,承德,0.858,191,48,26,149,101,60,轻度污染,134.3871,21,2014-07
8,85,承德,0.687,157,34,29,138,74,36,良,114.8065,25,2014-08
9,70,承德,0.757,126,33,29,96,77,35,良,101.5000,25,2014-09
10,114,承德,1.09,270,35,43,66,157,76,轻度污染,99.7742,31,2014-10
11,93,承德,1.223,212,40,44,40,132,57,良,98.9000,35,2014-11
12,68,承德,1.126,165,30,36,49,86,41,良,48.7419,32,2014-12
13,78,承德,1.684,157,38,45,51,100,52,良,116.0968,47,2015-01
14,78,承德,1.254,202,39,34,75,97,51,良,144.3571,37,2015-02
15,94,承德,1.077,248,42,33,107,131,50,良,214.0323,29,2015-03
16,80,承德,0.703,151,43,28,124,87,35,良,191.4667,24,2015-04
17,103,承德,0.648,201,40,21,154,91,34,轻度污染,239.0968,20,2015-05
18,88,承德,0.653,199,29,17,136,75,38,良,224.4667,12,2015-06
19,110,承德,0.835,185,42,25,168,72,34,轻度污染,292.9355,11,2015-07
20,80,承德,0.71,157,33,29,134,59,26,良,223.6452,10,2015-08
21,63,承德,0.657,128,32,31,105,57,25,良,164.5333,9,2015-09
22,67,承德,0.816,159,34,41,81,79,34,良,134.1935,11,2015-10
23,72,承德,1.263,145,30,43,48,81,50,良,170.1667,19,2015-11
24,99,承德,1.845,247,30,50,37,114,73,良,180.4516,27,2015-12
25,67,承德,1.413,199,31,40,59,72,45,良,108.0645,22,2016-01
26,65,承德,0.972,214,42,30,82,62,40,良,102.1724,18,2016-02
27,87,承德,0.971,233,44,40,102,102,53,良,157.3548,20,2016-03
28,93,承德,0.687,230,50,30,135,103,38,良,240.6000,15,2016-04
29,105,承德,0.558,184,49,28,162,80,30,轻度污染,273.0645,15,2016-05
30,105,承德,0.6,194,48,26,162,62,28,轻度污染,273.7333,15,2016-06
31,98,承德,0.732,166,40,26,155,67,37,良,281.5806,14,2016-07
32,73,承德,0.681,114,37,25,121,56,25,良,225.9032,10,2016-08
33,59,承德,0.637,117,25,31,92,62,28,良,141.4333,12,2016-09
34,73,承德,0.855,144,34,43,66,90,42,良,227.1935,14,2016-10
35,82,承德,1.433,183,37,49,43,110,51,良,190.1333,21,2016-11
36,87,承德,1.81,166,52,55,38,121,57,良,159.9032,30,2016-12
37,85,承德,1.594,254,40,48,52,108,59,良,148.6452,32,2017-01
38,71,承德,1.229,208,45,42,78,85,43,良,133.2500,27,2017-02
39,69,承德,0.913,119,48,41,102,83,38,良,159.1935,21,2017-03
40,76,承德,0.657,119,47,32,119,98,29,良,198.0333,16,2017-04
41,121,承德,0.619,500,49,26,154,87,24,轻度污染,186.4516,12,2017-05
42,96,承德,0.677,178,40,26,154,61,24,良,173.1333,14,2017-06
43,90,承德,0.839,162,34,24,144,68,31,良,198.2581,9,2017-07
44,64,承德,0.729,110,35,25,112,51,21,良,171.8065,8,2017-08
45,72,承德,0.79,140,37,35,113,79,29,良,205.5000,10,2017-09
46,62,承德,0.923,122,27,35,54,75,34,良,169.6452,11,2017-10
47,71,承德,1.11,151,36,39,51,92,38,良,139.3333,18,2017-11
48,71,承德,1.61,158,27,43,24,89,41,良,106.5806,26,2017-12
49,62,承德,1.087,95,31,34,60,75,30,良,112.6129,19,2018-01
50,73,承德,1.118,192,39,33,83,88,42,良,134.1786,19,2018-02
51,85,承德,1.177,207,0,45,101,113,53,良,198.2903,17,2018-03
52,80,承德,0.747,184,0,29,136,91,31,良,182.9667,13,2018-04
53,83,承德,0.742,171,0,27,146,76,24,良,201.8387,14,2018-05
54,108,承德,0.69,203,50,28,166,62,24,轻度污染,85.3000,12,2018-06
55,88,承德,0.9,135,22,24,141,58,29,良,244.3548,8,2018-07
56,67,承德,0.774,142,34,25,116,50,19,良,182.0645,6,2018-08
57,51,承德,0.687,100,27,28,89,42,16,良,144.9000,9,2018-09
58,56,承德,0.865,100,26,39,63,62,25,良,125.8387,11,2018-10
59,81,承德,1.327,178,44,47,35,108,44,良,230.4333,15,2018-11
60,69,承德,1.19,126,34,37,42,89,37,良,169.8065,15,2018-12
61,70,承德,1.475,95,57,43,42,89,46,良,184.5000,19,2019-01
