index,aqi,city,co,max_aqi,min_aqi,no2,o3,pm10,pm2_5,quality,rank,so2,time_point
0,74,抚州,0.9,74,74,31,97,99,49,良,140.0000,25,2014-12
1,80,抚州,1.235,168,19,37,71,83,59,良,130.5161,30,2015-01
2,85,抚州,1.5,156,26,23,80,86,63,良,161.1786,16,2015-02
3,49,抚州,1.123,71,30,18,74,44,31,优,69.9355,14,2015-03
4,70,抚州,0.943,135,33,16,112,61,41,良,151.3333,20,2015-04
5,65,抚州,0.981,154,35,14,104,60,42,良,132.7419,19,2015-05
6,48,抚州,0.793,77,29,10,79,47,31,优,106.5333,15,2015-06
7,55,抚州,0.916,162,33,11,88,55,35,良,117.4194,13,2015-07
8,59,抚州,0.787,100,28,12,99,57,36,良,146.4516,16,2015-08
9,67,抚州,0.983,118,26,14,107,61,41,良,192.6333,19,2015-09
10,67,抚州,1.187,109,36,20,108,61,44,良,151.8387,21,2015-10
11,45,抚州,1.483,61,26,23,42,40,23,优,63.3333,16,2015-11
12,59,抚州,1.2,92,30,30,43,68,37,良,94.8710,16,2015-12
13,61,抚州,1.413,102,30,29,45,71,38,良,103.7742,16,2016-01
14,67,抚州,1.766,176,42,20,78,82,40,良,139.2069,17,2016-02
15,68,抚州,1.239,119,29,28,81,68,46,良,117.6774,22,2016-03
16,51,抚州,1.513,78,35,18,80,46,29,良,67.6000,16,2016-04
17,55,抚州,1.365,90,36,15,88,49,33,良,96.4516,11,2016-05
18,48,抚州,1.123,76,26,13,86,43,29,优,99.3000,9,2016-06
19,45,抚州,1.194,70,26,13,74,44,28,优,100.4194,9,2016-07
20,59,抚州,1.194,106,30,12,101,54,35,良,161.3226,12,2016-08
21,68,抚州,1.297,100,30,15,100,65,45,良,188.2667,14,2016-09
22,59,抚州,1.294,92,30,16,68,58,41,良,189.7419,12,2016-10
23,71,抚州,1.063,148,23,25,50,74,51,良,154.3333,15,2016-11
24,107,抚州,1.2,211,35,32,69,111,80,轻度污染,206.3871,20,2016-12
25,116,抚州,1.174,427,33,25,71,90,71,轻度污染,218.7419,20,2017-01
26,86,抚州,1.046,135,35,22,88,82,64,良,206.1071,15,2017-02
27,62,抚州,0.877,133,30,23,79,61,43,良,143.8710,12,2017-03
28,68,抚州,0.797,117,35,19,110,63,40,良,165.7667,14,2017-04
29,82,抚州,0.823,139,38,17,130,64,42,良,171.0323,16,2017-05
30,41,抚州,0.797,67,25,10,71,33,23,优,98.1000,11,2017-06
31,43,抚州,0.729,80,22,10,71,43,27,优,174.4839,9,2017-07
32,42,抚州,0.687,69,28,8,79,38,26,优,148.2903,9,2017-08
33,59,抚州,0.827,95,29,10,101,46,36,良,170.1333,13,2017-09
34,64,抚州,0.939,109,23,15,91,59,45,良,200.2903,12,2017-10
35,91,抚州,1.017,193,40,33,69,89,67,良,192.7333,23,2017-11
36,97,抚州,0.929,165,18,35,39,98,72,良,186.6774,23,2017-12
37,81,抚州,0.955,165,25,31,52,79,59,良,159.9677,16,2018-01
38,82,抚州,0.975,169,32,22,75,86,60,良,170.2857,13,2018-02
39,59,抚州,0.784,93,26,24,82,62,40,良,105.3226,14,2018-03
40,68,抚州,0.773,107,30,19,104,73,41,良,145.5667,15,2018-04
41,62,抚州,0.781,115,34,12,111,48,30,良,136.1290,14,2018-05
42,57,抚州,0.903,133,25,11,100,43,27,良,102.0000,14,2018-06
43,46,抚州,0.774,78,27,9,83,42,21,优,112.1935,11,2018-07
44,61,抚州,0.99,126,20,8,110,43,22,良,172.5161,12,2018-08
45,64,抚州,0.82,103,28,11,111,47,26,良,175.5667,13,2018-09
46,74,抚州,0.787,133,29,18,114,61,36,良,173.6129,17,2018-10
47,53,抚州,0.807,85,22,22,61,58,35,良,121.1667,12,2018-11
48,54,抚州,0.935,118,18,22,39,56,37,良,102.8889,9,2018-12
49,47,抚州,0.775,58,37,22,22,43,30,优,100.0000,6,2019-01
