index,aqi,city,co,max_aqi,min_aqi,no2,o3,pm10,pm2_5,quality,rank,so2,time_point
0,150,抚顺,1.4,150,150,36,36,250,35,轻度污染,142.0000,66,2013-12
1,101,抚顺,1.51,203,46,41,45,113,72,轻度污染,65.1613,57,2014-01
2,97,抚顺,1.546,234,47,38,62,112,70,良,95.7857,50,2014-02
3,84,抚顺,1.5,229,40,39,93,107,57,良,77.7419,36,2014-03
4,81,抚顺,1.01,135,49,36,107,110,48,良,87.5000,26,2014-04
5,84,抚顺,0.987,202,41,35,132,84,40,良,78.8710,23,2014-05
6,90,抚顺,1.027,190,41,31,145,71,40,良,109.9333,18,2014-06
7,100,抚顺,1.035,166,45,26,154,79,50,良,135.9677,19,2014-07
8,97,抚顺,1.139,150,50,29,154,77,43,良,141.2258,24,2014-08
9,68,抚顺,1.0,121,38,31,108,68,29,良,98.4000,29,2014-09
10,114,抚顺,1.477,474,52,42,97,148,81,轻度污染,113.0645,32,2014-10
11,115,抚顺,1.7,493,55,49,51,146,81,轻度污染,117.0333,61,2014-11
12,100,抚顺,1.823,176,57,48,34,121,69,轻度污染,115.1613,76,2014-12
13,116,抚顺,2.135,206,56,49,39,137,87,轻度污染,217.6452,77,2015-01
14,115,抚顺,1.929,317,46,44,51,142,81,轻度污染,229.3571,66,2015-02
15,83,抚顺,1.397,136,37,35,77,108,53,良,205.4516,37,2015-03
16,83,抚顺,1.192,122,53,36,106,104,48,良,208.6667,24,2015-04
17,78,抚顺,0.871,173,36,33,118,80,33,良,178.2258,18,2015-05
18,72,抚顺,0.857,122,44,27,125,46,25,良,206.2667,9,2015-06
19,73,抚顺,0.839,148,36,19,126,36,19,良,205.6774,7,2015-07
20,71,抚顺,1.01,150,32,17,122,43,24,良,204.3226,8,2015-08
21,69,抚顺,0.96,121,42,30,114,59,27,良,208.8333,14,2015-09
22,82,抚顺,1.203,192,36,37,90,93,53,良,191.1290,21,2015-10
23,122,抚顺,1.363,420,41,38,59,129,94,轻度污染,271.0000,31,2015-11
24,116,抚顺,1.803,297,46,47,47,125,87,轻度污染,212.8387,57,2015-12
25,88,抚顺,2.087,185,46,42,51,101,64,良,205.2903,54,2016-01
26,73,抚顺,1.452,158,40,36,67,83,48,良,168.3103,49,2016-02
27,89,抚顺,1.513,273,39,35,103,116,48,良,188.9032,33,2016-03
28,78,抚顺,1.237,152,52,28,118,87,32,良,204.8333,17,2016-04
29,91,抚顺,0.974,140,48,28,144,70,29,良,238.9032,17,2016-05
30,92,抚顺,0.807,154,48,27,149,50,30,良,267.4667,15,2016-06
31,84,抚顺,0.861,137,31,25,136,53,32,良,250.7742,11,2016-07
32,69,抚顺,0.829,139,21,23,118,47,22,良,198.3871,10,2016-08
33,59,抚顺,0.943,90,28,27,103,53,30,良,143.1000,16,2016-09
34,70,抚顺,0.99,175,30,38,67,75,48,良,209.0000,18,2016-10
35,84,抚顺,1.173,186,39,40,54,97,59,良,193.0000,35,2016-11
36,108,抚顺,1.394,212,44,50,42,122,79,轻度污染,198.9355,47,2016-12
37,111,抚顺,1.494,274,45,50,50,121,80,轻度污染,217.1935,52,2017-01
38,86,抚顺,1.154,144,39,42,69,93,62,良,200.5000,38,2017-02
39,97,抚顺,0.945,198,37,43,98,116,72,良,257.4516,32,2017-03
40,78,抚顺,0.823,129,40,30,106,95,44,良,221.5333,18,2017-04
41,95,抚顺,0.655,254,47,25,134,63,28,良,160.0645,12,2017-05
42,86,抚顺,0.753,174,39,27,140,51,29,良,168.6667,14,2017-06
43,84,抚顺,0.861,163,31,21,139,48,28,良,165.7419,12,2017-07
44,55,抚顺,0.848,119,27,23,98,41,22,良,136.5161,14,2017-08
45,55,抚顺,0.893,80,30,27,95,52,25,良,154.3000,17,2017-09
46,81,抚顺,1.035,168,27,39,78,93,56,良,239.4839,19,2017-10
47,68,抚顺,0.837,157,41,33,60,75,41,良,187.1667,25,2017-11
48,103,抚顺,1.294,201,50,45,28,107,71,轻度污染,213.0968,34,2017-12
49,99,抚顺,1.229,175,51,49,55,103,73,良,212.5484,33,2018-01
50,87,抚顺,1.011,129,50,36,82,95,62,良,209.6071,28,2018-02
51,82,抚顺,0.923,168,0,35,116,83,56,良,205.9355,25,2018-03
52,80,抚顺,0.73,126,0,29,128,88,39,良,199.1000,20,2018-04
53,79,抚顺,0.694,156,0,26,131,66,32,良,187.9677,19,2018-05
54,96,抚顺,0.877,204,40,25,153,50,29,良,201.3667,19,2018-06
55,69,抚顺,0.7,178,26,18,114,38,22,良,144.7742,11,2018-07
56,63,抚顺,0.787,172,22,22,107,38,19,良,122.1290,13,2018-08
57,47,抚顺,0.757,80,32,27,80,43,21,优,188.1333,15,2018-09
58,69,抚顺,0.9,155,24,34,70,76,46,良,223.1935,18,2018-10
59,76,抚顺,0.977,125,31,39,49,88,52,良,221.7667,22,2018-11
60,86,抚顺,1.087,159,40,37,50,98,58,良,234.4194,24,2018-12
61,110,抚顺,1.625,137,72,47,44,125,82,轻度污染,251.0000,31,2019-01
