index,aqi,city,co,max_aqi,min_aqi,no2,o3,pm10,pm2_5,quality,rank,so2,time_point
0,78,拉萨,1.457,346,45,25,85,94,35,良,18.6000,11,2013-12
1,51,拉萨,1.503,74,33,19,84,53,24,良,10.1290,11,2014-01
2,63,拉萨,1.086,172,41,15,93,76,23,良,57.5714,9,2014-02
3,57,拉萨,0.977,76,42,13,103,52,21,良,31.5484,9,2014-03
4,75,拉萨,1.177,92,63,15,127,77,29,良,78.3000,12,2014-04
5,80,拉萨,1.152,115,48,15,135,61,25,良,85.9677,13,2014-05
6,71,拉萨,0.733,106,43,16,124,50,21,良,81.1667,11,2014-06
7,50,拉萨,0.642,84,30,16,95,32,14,良,41.7742,9,2014-07
8,54,拉萨,0.665,83,35,19,100,37,15,良,61.6129,8,2014-08
9,49,拉萨,0.687,77,32,19,93,38,16,优,49.4667,9,2014-09
10,60,拉萨,0.894,75,51,28,108,55,23,良,37.6129,9,2014-10
11,62,拉萨,0.9,75,53,33,90,74,32,良,51.9333,10,2014-11
12,64,拉萨,1.516,95,47,35,84,77,38,良,48.9677,12,2014-12
13,53,拉萨,1.039,69,43,22,85,53,24,良,54.5484,10,2015-01
14,45,拉萨,0.686,63,36,20,78,42,22,优,45.1071,9,2015-02
15,57,拉萨,0.584,85,37,14,104,49,18,良,104.5806,11,2015-03
16,76,拉萨,0.573,96,53,16,131,50,22,良,190.6333,10,2015-04
17,80,拉萨,0.561,102,58,17,134,59,24,良,218.7419,10,2015-05
18,67,拉萨,0.5,108,37,14,118,45,19,良,193.5667,9,2015-06
19,80,拉萨,0.468,128,45,20,133,55,24,良,235.6452,9,2015-07
20,58,拉萨,0.532,85,37,21,108,45,20,良,157.3226,8,2015-08
21,53,拉萨,0.627,71,43,18,94,46,18,良,131.8333,11,2015-09
22,62,拉萨,0.587,78,48,25,99,72,29,良,145.1613,10,2015-10
23,67,拉萨,0.793,82,48,29,86,83,36,良,188.8333,10,2015-11
24,72,拉萨,0.742,134,50,26,85,90,40,良,142.1290,9,2015-12
25,57,拉萨,0.629,104,41,21,88,61,28,良,101.4516,8,2016-01
26,60,拉萨,0.486,108,44,14,93,65,21,良,110.6897,7,2016-02
27,65,拉萨,0.532,98,47,20,106,75,25,良,127.7097,10,2016-03
28,85,拉萨,0.473,140,51,23,134,95,32,良,238.2333,9,2016-04
29,97,拉萨,0.477,120,82,18,155,67,26,良,283.7419,9,2016-05
30,84,拉萨,0.483,122,51,18,140,46,19,良,251.8000,9,2016-06
31,53,拉萨,0.429,100,31,18,95,45,16,良,143.4839,8,2016-07
32,61,拉萨,0.439,76,46,21,102,63,19,良,191.5806,6,2016-08
33,54,拉萨,0.43,72,43,21,99,48,17,良,126.7000,5,2016-09
34,65,拉萨,0.397,102,40,27,89,80,23,良,221.7419,5,2016-10
35,97,拉萨,0.827,122,73,44,74,144,48,良,250.9333,8,2016-11
36,104,拉萨,0.965,154,52,45,65,157,56,轻度污染,211.5161,8,2016-12
37,57,拉萨,0.713,91,42,25,80,70,28,良,98.3226,7,2017-01
38,63,拉萨,0.779,167,40,19,93,68,24,良,146.5000,7,2017-02
39,61,拉萨,0.768,96,49,19,100,68,21,良,150.9355,7,2017-03
40,76,拉萨,0.607,109,54,21,123,82,22,良,178.9667,7,2017-04
41,72,拉萨,0.561,87,51,18,127,55,19,良,131.0645,9,2017-05
42,68,拉萨,0.577,92,39,16,122,39,13,良,154.8000,8,2017-06
43,47,拉萨,0.548,76,29,17,91,28,10,优,96.3226,8,2017-07
44,46,拉萨,0.558,85,32,18,91,26,10,优,134.1290,9,2017-08
45,45,拉萨,0.627,75,30,21,87,36,12,优,123.6000,9,2017-09
46,48,拉萨,0.713,61,36,24,92,41,14,优,145.2581,8,2017-10
47,53,拉萨,0.833,67,42,34,89,55,25,良,118.8667,7,2017-11
48,70,拉萨,1.294,155,38,39,53,84,41,良,170.3226,8,2017-12
49,64,拉萨,0.861,98,0,29,96,77,31,良,140.4839,7,2018-01
50,59,拉萨,0.664,85,46,12,102,54,19,良,108.6429,6,2018-02
51,61,拉萨,0.597,85,45,16,111,47,16,良,130.9677,6,2018-03
52,77,拉萨,0.577,100,61,20,131,62,20,良,196.8333,8,2018-04
53,81,拉萨,0.445,123,0,18,135,61,21,良,221.4839,9,2018-05
54,77,拉萨,0.5,115,41,18,132,47,15,良,62.0000,9,2018-06
55,50,拉萨,0.403,75,33,17,95,33,12,良,151.1290,7,2018-07
56,43,拉萨,0.461,58,30,18,83,33,11,优,140.7097,7,2018-08
57,43,拉萨,0.4,54,30,19,86,28,9,优,142.5333,7,2018-09
58,49,拉萨,0.416,57,38,20,96,31,11,优,101.2581,5,2018-10
59,49,拉萨,0.6,59,40,28,77,49,18,优,109.2333,5,2018-11
60,48,拉萨,0.768,58,37,30,79,45,21,优,109.2258,6,2018-12
61,44,拉萨,0.7,51,36,28,80,37,18,优,76.2500,6,2019-01
