index,aqi,city,co,max_aqi,min_aqi,no2,o3,pm10,pm2_5,quality,rank,so2,time_point
0,156,揭阳,1.8,156,156,63,146,164,119,中度污染,150.0000,43,2013-12
1,132,揭阳,1.768,233,62,37,139,126,100,轻度污染,101.0645,31,2014-01
2,76,揭阳,2.179,147,22,23,95,63,54,良,71.2500,19,2014-02
3,98,揭阳,1.432,196,55,28,94,89,71,良,104.4516,28,2014-03
4,95,揭阳,1.653,132,63,21,130,79,62,良,120.4333,28,2014-04
5,68,揭阳,1.239,115,38,26,104,60,44,良,62.8065,26,2014-05
6,61,揭阳,1.06,138,35,19,103,50,32,良,58.4667,21,2014-06
7,52,揭阳,1.006,93,30,15,93,47,29,良,50.7742,19,2014-07
8,56,揭阳,1.032,98,35,13,98,49,30,良,63.6452,21,2014-08
9,64,揭阳,0.943,104,32,11,112,52,34,良,85.9333,20,2014-09
10,100,揭阳,1.003,133,60,17,156,82,57,轻度污染,124.0968,26,2014-10
11,68,揭阳,1.167,115,24,24,112,55,42,良,58.3667,23,2014-11
12,66,揭阳,1.139,106,24,38,93,58,47,良,52.1935,29,2014-12
13,79,揭阳,1.329,131,27,41,97,76,57,良,128.9355,26,2015-01
14,77,揭阳,1.196,134,37,21,98,75,56,良,153.5357,13,2015-02
15,61,揭阳,1.071,90,31,24,93,62,39,良,122.4839,16,2015-03
16,64,揭阳,1.013,110,27,19,95,58,39,良,118.4167,18,2015-04
17,52,揭阳,1.113,104,25,19,83,44,31,良,83.9677,15,2015-05
18,41,揭阳,0.95,55,25,15,69,39,23,优,67.7667,14,2015-06
19,51,揭阳,1.094,83,26,15,83,46,29,良,118.2903,15,2015-07
20,58,揭阳,1.087,118,33,18,96,53,34,良,153.7097,18,2015-08
21,71,揭阳,1.1,125,35,16,120,55,37,良,210.3333,16,2015-09
22,75,揭阳,0.929,140,38,20,116,72,48,良,179.1613,20,2015-10
23,66,揭阳,0.943,114,39,23,104,68,44,良,176.9000,18,2015-11
24,51,揭阳,0.968,84,27,25,64,51,34,良,72.9032,17,2015-12
25,65,揭阳,0.971,120,22,30,59,62,45,良,113.3226,14,2016-01
26,61,揭阳,0.866,119,23,18,72,62,44,良,117.4138,6,2016-02
27,79,揭阳,1.116,155,28,36,83,81,57,良,161.2581,16,2016-03
28,66,揭阳,1.057,118,43,26,80,68,44,良,149.8667,12,2016-04
29,58,揭阳,0.787,97,26,16,92,52,32,良,109.0645,11,2016-05
30,44,揭阳,0.75,75,22,19,70,41,24,优,80.6333,15,2016-06
31,56,揭阳,0.755,115,36,18,83,50,30,良,152.6774,19,2016-07
32,56,揭阳,0.813,113,25,19,88,52,33,良,147.0968,16,2016-08
33,59,揭阳,0.907,103,34,22,95,53,33,良,151.2333,15,2016-09
34,54,揭阳,1.097,87,20,23,76,57,34,良,167.4516,18,2016-10
35,66,揭阳,1.21,122,28,32,79,73,45,良,140.8667,21,2016-11
36,73,揭阳,1.194,133,36,39,92,85,51,良,115.7419,17,2016-12
37,65,揭阳,1.129,95,30,27,94,69,46,良,113.8065,11,2017-01
38,65,揭阳,1.029,101,31,26,100,63,44,良,107.7857,12,2017-02
39,71,揭阳,1.255,95,37,39,93,75,46,良,168.7419,15,2017-03
40,67,揭阳,1.087,128,27,30,107,56,35,良,107.9000,16,2017-04
41,65,揭阳,1.045,144,35,22,111,48,29,良,93.2258,14,2017-05
42,38,揭阳,0.963,64,23,17,68,33,18,优,88.1333,11,2017-06
43,43,揭阳,0.894,108,18,17,80,32,17,优,86.0000,14,2017-07
44,57,揭阳,0.874,154,22,16,102,37,20,良,136.1290,13,2017-08
45,72,揭阳,0.95,141,33,18,124,49,27,良,137.4333,15,2017-09
46,73,揭阳,0.942,137,25,21,120,56,33,良,154.4839,16,2017-10
47,68,揭阳,1.003,121,34,29,104,61,41,良,110.1667,17,2017-11
48,76,揭阳,1.048,142,32,37,62,80,53,良,122.4194,21,2017-12
49,68,揭阳,0.955,117,28,35,90,61,46,良,127.6129,16,2018-01
50,74,揭阳,1.014,107,33,20,102,65,51,良,170.1786,11,2018-02
51,88,揭阳,1.026,180,22,30,126,70,50,良,227.7419,14,2018-03
52,81,揭阳,0.903,133,25,24,124,75,45,良,205.4667,13,2018-04
53,75,揭阳,0.874,153,28,17,125,52,28,良,180.1935,11,2018-05
54,59,揭阳,0.947,124,29,17,100,39,22,良,107.3333,9,2018-06
55,52,揭阳,0.923,92,30,18,89,41,20,良,162.7742,9,2018-07
56,56,揭阳,1.042,117,29,19,98,37,21,良,133.7419,9,2018-08
57,54,揭阳,0.947,107,27,17,95,42,24,良,163.2667,9,2018-09
58,77,揭阳,0.968,117,30,24,128,58,35,良,156.7742,13,2018-10
59,57,揭阳,0.983,84,29,26,90,55,35,良,153.3667,13,2018-11
60,58,揭阳,1.081,99,26,29,69,61,40,良,132.3226,13,2018-12
61,56,揭阳,1.15,73,46,31,33,53,38,良,116.0000,12,2019-01
