index,aqi,city,co,max_aqi,min_aqi,no2,o3,pm10,pm2_5,quality,rank,so2,time_point
0,92,攀枝花,3.1,92,92,52,46,133,64,良,37.0000,49,2013-12
1,101,攀枝花,3.29,131,72,45,50,144,74,轻度污染,72.4839,61,2014-01
2,70,攀枝花,2.679,104,53,34,61,88,41,良,72.1786,49,2014-02
3,75,攀枝花,1.606,104,48,37,77,100,46,良,71.4194,44,2014-03
4,78,攀枝花,1.52,126,47,32,96,99,52,良,81.1667,35,2014-04
5,60,攀枝花,1.477,81,48,23,90,71,34,良,48.4194,35,2014-05
6,57,攀枝花,1.313,81,36,26,79,65,29,良,52.5333,53,2014-06
7,62,攀枝花,1.548,79,36,26,89,74,33,良,69.0968,62,2014-07
8,60,攀枝花,1.484,96,34,26,71,72,32,良,73.7419,58,2014-08
9,47,攀枝花,1.073,57,22,25,64,48,20,优,44.8000,33,2014-09
10,48,攀枝花,1.406,64,36,29,71,50,24,优,13.6129,30,2014-10
11,55,攀枝花,1.663,68,27,36,59,62,31,良,35.3333,34,2014-11
12,77,攀枝花,1.681,97,55,44,50,104,49,良,75.3871,69,2014-12
13,73,攀枝花,2.242,98,39,43,44,93,47,良,123.6129,49,2015-01
14,62,攀枝花,1.9,101,42,39,82,72,37,良,106.4286,39,2015-02
15,62,攀枝花,1.697,100,45,34,107,70,36,良,131.3548,34,2015-03
16,57,攀枝花,1.427,78,41,28,104,52,26,良,94.3667,38,2015-04
17,65,攀枝花,1.577,86,45,28,117,57,27,良,153.8387,32,2015-05
18,49,攀枝花,1.363,66,27,20,92,41,17,优,112.2333,22,2015-06
19,59,攀枝花,1.397,113,32,26,101,53,27,良,142.1935,25,2015-07
20,47,攀枝花,1.445,66,32,27,74,48,24,优,95.5806,27,2015-08
21,51,攀枝花,1.35,64,28,25,64,54,25,良,124.5667,35,2015-09
22,58,攀枝花,1.716,85,33,32,72,66,33,良,121.3548,31,2015-10
23,66,攀枝花,2.113,97,44,38,49,80,37,良,187.3000,34,2015-11
24,67,攀枝花,1.91,101,38,39,44,83,41,良,126.5806,32,2015-12
25,70,攀枝花,1.981,88,49,42,55,88,44,良,154.5806,38,2016-01
26,58,攀枝花,1.479,95,41,29,79,65,34,良,106.2759,33,2016-02
27,61,攀枝花,1.277,97,41,31,101,69,34,良,103.3548,31,2016-03
28,60,攀枝花,1.363,71,45,29,100,68,30,良,124.6333,35,2016-04
29,56,攀枝花,1.497,82,38,28,97,54,27,良,103.0323,31,2016-05
30,46,攀枝花,1.407,69,30,27,72,38,18,优,92.2333,31,2016-06
31,52,攀枝花,1.335,71,34,28,73,46,21,良,143.8065,42,2016-07
32,62,攀枝花,1.442,93,37,33,105,55,27,良,190.2258,45,2016-08
33,56,攀枝花,1.527,76,35,33,59,62,30,良,139.8333,40,2016-09
34,64,攀枝花,1.594,86,50,37,69,77,35,良,222.9677,47,2016-10
35,65,攀枝花,1.563,80,41,45,58,79,36,良,148.6333,47,2016-11
36,67,攀枝花,1.69,77,52,48,46,81,39,良,108.1290,39,2016-12
37,70,攀枝花,2.116,96,45,47,60,85,47,良,139.3226,55,2017-01
38,69,攀枝花,1.636,83,55,41,76,89,43,良,149.3929,47,2017-02
39,59,攀枝花,1.219,78,35,32,96,66,36,良,116.3548,29,2017-03
40,64,攀枝花,1.45,113,33,31,104,69,37,良,139.9333,32,2017-04
41,66,攀枝花,1.494,91,41,26,114,66,32,良,152.4516,30,2017-05
42,56,攀枝花,1.38,93,39,23,98,45,22,良,149.8000,26,2017-06
43,57,攀枝花,1.542,90,33,28,90,53,28,良,176.4839,31,2017-07
44,51,攀枝花,1.345,91,32,27,90,43,21,良,178.3548,18,2017-08
45,48,攀枝花,1.59,69,30,30,73,48,24,优,150.8667,28,2017-09
46,54,攀枝花,1.665,75,39,35,60,56,29,良,163.1290,44,2017-10
47,68,攀枝花,2.157,92,40,51,60,83,43,良,151.1333,47,2017-11
48,78,攀枝花,2.316,117,53,55,38,97,49,良,138.5484,41,2017-12
49,75,攀枝花,2.413,113,44,51,65,93,49,良,164.3226,55,2018-01
50,62,攀枝花,1.829,80,49,37,90,67,40,良,121.8214,39,2018-02
51,73,攀枝花,1.652,96,54,40,127,72,43,良,190.6774,38,2018-03
52,80,攀枝花,1.347,111,46,36,134,66,37,良,204.0333,33,2018-04
53,69,攀枝花,1.119,95,42,31,116,52,29,良,178.8387,30,2018-05
54,57,攀枝花,1.247,97,35,33,90,54,27,良,118.7000,43,2018-06
55,59,攀枝花,1.41,115,39,29,97,54,30,良,203.0000,42,2018-07
56,71,攀枝花,1.41,118,34,33,120,61,36,良,254.7097,41,2018-08
57,49,攀枝花,1.287,73,33,29,69,44,27,优,199.1000,37,2018-09
58,51,攀枝花,1.458,72,33,34,60,51,28,良,136.9032,43,2018-10
59,59,攀枝花,1.687,69,45,47,68,58,33,良,169.0667,31,2018-11
60,61,攀枝花,1.858,84,46,48,59,54,29,良,157.7097,34,2018-12
61,62,攀枝花,1.8,63,59,49,58,59,38,良,111.5000,36,2019-01
