index,aqi,city,co,max_aqi,min_aqi,no2,o3,pm10,pm2_5,quality,rank,so2,time_point
0,96,昆山,1.7,96,96,79,72,139,71,良,47.0000,54,2013-12
1,119,昆山,1.168,229,48,51,70,125,88,轻度污染,79.2581,43,2014-01
2,101,昆山,1.214,312,32,35,73,78,75,轻度污染,88.2857,33,2014-02
3,86,昆山,1.048,175,44,46,101,97,60,良,80.6129,47,2014-03
4,76,昆山,0.707,127,39,44,110,83,49,良,72.4000,36,2014-04
5,98,昆山,1.019,178,44,45,141,114,59,良,104.9355,37,2014-05
6,74,昆山,1.233,183,29,35,116,73,43,良,73.2000,28,2014-06
7,74,昆山,1.413,143,40,31,113,66,38,良,83.5484,23,2014-07
8,65,昆山,1.065,137,27,32,107,57,33,良,80.7097,30,2014-08
9,65,昆山,0.85,142,31,37,109,56,31,良,85.1667,22,2014-09
10,78,昆山,0.987,158,52,49,116,77,40,良,78.5806,28,2014-10
11,74,昆山,1.52,159,38,52,79,84,51,良,69.0333,35,2014-11
12,98,昆山,1.758,166,48,61,47,121,71,良,111.7097,47,2014-12
13,107,昆山,1.868,220,32,54,54,115,79,轻度污染,183.1290,40,2015-01
14,88,昆山,1.575,211,30,34,76,105,63,良,164.7857,31,2015-02
15,76,昆山,1.106,140,45,39,91,86,49,良,177.2258,27,2015-03
16,86,昆山,1.353,144,43,37,123,86,51,良,219.9667,29,2015-04
17,80,昆山,0.935,147,50,36,128,72,40,良,204.5161,25,2015-05
18,85,昆山,0.87,200,41,42,132,75,39,良,243.6000,23,2015-06
19,81,昆山,0.684,201,26,35,126,58,35,良,203.7097,21,2015-07
20,94,昆山,0.748,169,30,31,144,64,39,良,240.2581,23,2015-08
21,93,昆山,0.797,186,38,35,146,55,30,良,266.4000,25,2015-09
22,84,昆山,1.032,150,45,57,124,93,47,良,226.4516,25,2015-10
23,81,昆山,1.183,166,30,52,45,77,56,良,200.0333,22,2015-11
24,115,昆山,1.226,244,59,63,38,124,82,轻度污染,228.5161,31,2015-12
25,100,昆山,1.139,206,35,59,54,107,70,轻度污染,203.1613,26,2016-01
26,83,昆山,0.907,183,39,42,82,92,57,良,197.1724,22,2016-02
27,84,昆山,0.855,166,38,47,92,97,58,良,181.6129,22,2016-03
28,86,昆山,0.883,150,48,49,121,90,53,良,234.8667,19,2016-04
29,78,昆山,0.8,155,42,35,115,83,44,良,194.6897,17,2016-05
30,67,昆山,0.747,117,35,35,106,55,32,良,184.4333,13,2016-06
31,75,昆山,0.732,144,0,33,114,57,33,良,223.4194,12,2016-07
32,65,昆山,0.648,124,23,21,112,41,23,良,175.9355,14,2016-08
33,67,昆山,0.81,149,17,33,103,56,36,良,155.9667,16,2016-09
34,46,昆山,0.765,82,24,29,60,40,24,优,109.3871,15,2016-10
35,74,昆山,0.863,117,0,54,47,76,44,良,172.8000,17,2016-11
36,93,昆山,0.923,178,36,57,54,98,64,良,164.4194,20,2016-12
37,73,昆山,0.9,159,33,42,58,75,49,良,123.3226,13,2017-01
38,78,昆山,0.879,155,32,46,85,84,52,良,161.9286,13,2017-02
39,73,昆山,0.806,109,45,51,106,77,42,良,192.6129,15,2017-03
40,91,昆山,0.82,130,52,54,125,90,46,良,258.8000,17,2017-04
41,99,昆山,0.606,177,40,38,151,65,33,良,220.4516,15,2017-05
42,90,昆山,0.723,196,39,35,139,53,33,良,222.1667,14,2017-06
43,108,昆山,0.69,204,34,31,165,60,31,轻度污染,271.6774,13,2017-07
44,90,昆山,0.748,171,30,28,143,50,27,良,251.0645,13,2017-08
45,73,昆山,0.82,199,36,32,109,54,30,良,201.3667,12,2017-09
46,56,昆山,0.694,102,36,31,88,50,26,良,157.7742,11,2017-10
47,82,昆山,0.917,132,33,61,66,84,45,良,208.3333,13,2017-11
48,107,昆山,1.226,334,48,71,29,118,68,轻度污染,210.5806,15,2017-12
49,110,昆山,1.11,334,32,53,68,104,77,轻度污染,195.0000,13,2018-01
50,75,昆山,0.996,182,42,37,90,79,47,良,154.5000,10,2018-02
51,72,昆山,0.784,136,38,44,105,65,38,良,159.3000,12,2018-03
52,97,昆山,0.783,175,43,43,143,88,39,良,219.8000,14,2018-04
53,92,昆山,0.768,165,37,31,143,65,36,良,225.9667,12,2018-05
54,90,昆山,0.727,165,36,32,143,48,28,良,211.3333,12,2018-06
55,70,昆山,0.635,202,20,26,111,39,20,良,176.6452,11,2018-07
56,66,昆山,0.6,154,28,19,112,35,17,良,163.4194,12,2018-08
57,76,昆山,0.757,175,35,27,124,45,25,良,239.1111,13,2018-09
58,76,昆山,0.71,132,45,40,122,52,31,良,243.5667,13,2018-10
59,78,昆山,0.97,206,33,51,78,68,49,良,193.5667,12,2018-11
60,65,昆山,0.958,119,28,47,49,69,38,良,155.2400,12,2018-12
61,74,昆山,0.925,87,45,49,45,64,43,良,147.3333,13,2019-01
