index,aqi,city,co,max_aqi,min_aqi,no2,o3,pm10,pm2_5,quality,rank,so2,time_point
0,75,昆明,1.363,115,24,45,52,94,51,良,21.9333,26,2013-12
1,66,昆明,1.294,110,42,41,61,76,44,良,28.3871,27,2014-01
2,50,昆明,1.046,71,29,28,78,53,28,优,33.7143,22,2014-02
3,72,昆明,1.106,102,45,40,98,92,46,良,61.3548,28,2014-03
4,77,昆明,1.323,104,58,39,124,97,51,良,83.2333,22,2014-04
5,58,昆明,1.071,83,46,30,103,61,29,良,43.0645,16,2014-05
6,44,昆明,1.02,59,27,28,76,42,22,优,27.2333,14,2014-06
7,45,昆明,0.865,79,17,29,72,45,22,优,35.5484,14,2014-07
8,44,昆明,0.726,78,24,29,66,44,22,优,36.2258,18,2014-08
9,46,昆明,0.8,64,22,30,63,47,22,优,45.3000,19,2014-09
10,61,昆明,1.119,85,35,34,70,71,36,良,42.0645,21,2014-10
11,55,昆明,1.09,74,27,32,52,61,27,良,36.9333,16,2014-11
12,63,昆明,1.323,101,51,37,52,73,40,良,45.8387,20,2014-12
13,55,昆明,1.323,82,23,37,57,60,34,良,74.6129,21,2015-01
14,51,昆明,1.032,69,37,27,79,53,31,良,67.7500,19,2015-02
15,61,昆明,1.09,126,43,31,98,67,38,良,120.3226,21,2015-03
16,57,昆明,0.99,89,37,28,95,62,33,良,100.2667,18,2015-04
17,60,昆明,0.81,88,30,24,108,59,30,良,130.4839,18,2015-05
18,40,昆明,0.74,65,25,19,78,36,19,优,70.2000,12,2015-06
19,66,昆明,0.7,125,31,28,111,55,30,良,169.0968,16,2015-07
20,46,昆明,0.794,106,27,26,71,43,22,优,94.6774,15,2015-08
21,45,昆明,0.827,62,32,27,63,46,23,优,91.3000,13,2015-09
22,55,昆明,0.816,82,29,31,80,60,29,良,102.1290,19,2015-10
23,53,昆明,0.983,87,32,32,63,58,26,良,126.0333,20,2015-11
24,55,昆明,1.365,90,32,33,60,61,33,良,92.1935,16,2015-12
25,54,昆明,0.971,86,36,33,76,59,31,良,96.5161,18,2016-01
26,61,昆明,1.248,89,42,22,82,60,39,良,133.1034,15,2016-02
27,64,昆明,1.442,92,42,25,112,68,37,良,119.3226,17,2016-03
28,65,昆明,1.22,83,50,24,116,63,32,良,150.4333,19,2016-04
29,59,昆明,0.877,92,28,23,105,51,26,良,118.3548,15,2016-05
30,44,昆明,0.857,100,23,21,75,34,15,优,79.0333,15,2016-06
31,38,昆明,0.771,66,22,21,63,38,17,优,76.5161,18,2016-07
32,50,昆明,0.716,92,28,27,94,45,23,优,123.2258,18,2016-08
33,51,昆明,0.777,70,28,28,80,52,28,良,109.0667,16,2016-09
34,54,昆明,0.897,83,33,32,64,60,27,良,158.9677,15,2016-10
35,58,昆明,0.95,86,36,37,62,67,26,良,120.0333,16,2016-11
36,66,昆明,1.097,112,45,40,62,82,36,良,106.1290,18,2016-12
37,55,昆明,0.99,80,41,33,75,58,26,良,85.5161,15,2017-01
38,59,昆明,0.936,77,47,33,87,68,35,良,119.5357,15,2017-02
39,67,昆明,1.074,86,36,39,105,83,39,良,163.3226,18,2017-03
40,63,昆明,1.067,94,38,31,105,68,32,良,151.8333,13,2017-04
41,70,昆明,0.987,112,41,29,121,65,28,良,166.9032,14,2017-05
42,49,昆明,0.823,94,27,24,84,39,17,优,144.0667,12,2017-06
43,46,昆明,0.768,89,26,29,75,40,21,优,141.1935,16,2017-07
44,42,昆明,0.784,75,23,28,69,40,20,优,150.0645,16,2017-08
45,43,昆明,0.853,70,28,27,66,42,20,优,144.7333,14,2017-09
46,44,昆明,0.958,73,25,31,61,45,22,优,136.3548,12,2017-10
47,61,昆明,1.143,98,36,40,63,73,38,良,157.6333,19,2017-11
48,74,昆明,1.206,133,45,42,41,78,44,良,141.5484,17,2017-12
49,57,昆明,1.006,83,39,37,68,62,33,良,111.5806,16,2018-01
50,66,昆明,0.975,90,48,33,97,63,40,良,142.0000,13,2018-02
51,78,昆明,0.977,110,54,41,130,80,46,良,204.1613,15,2018-03
52,74,昆明,0.897,100,43,36,126,74,39,良,185.7000,14,2018-04
53,54,昆明,0.697,76,0,30,97,55,27,良,118.4194,12,2018-05
54,48,昆明,0.737,109,24,29,72,39,19,优,19.2333,8,2018-06
55,41,昆明,0.581,63,27,28,72,37,19,优,125.2581,11,2018-07
56,58,昆明,0.755,102,29,34,94,46,28,良,182.7097,14,2018-08
57,38,昆明,0.73,51,28,28,59,31,17,优,143.8667,10,2018-09
58,42,昆明,0.871,59,29,30,57,39,21,优,101.6452,11,2018-10
59,51,昆明,0.947,74,39,39,71,52,26,良,111.5667,15,2018-11
60,45,昆明,0.981,60,33,35,58,41,21,优,90.6129,14,2018-12
61,37,昆明,1.0,40,35,30,53,28,15,优,40.5000,11,2019-01
