index,aqi,city,co,max_aqi,min_aqi,no2,o3,pm10,pm2_5,quality,rank,so2,time_point
0,251,昌吉州,4.4,251,251,90,52,334,201,重度污染,364.0000,132,2014-12
1,144,昌吉州,2.339,261,55,59,56,172,109,轻度污染,255.0000,25,2015-01
2,121,昌吉州,1.193,319,41,41,90,146,88,轻度污染,220.6786,17,2015-02
3,66,昌吉州,0.813,105,47,27,110,67,29,良,148.6000,12,2015-03
4,63,昌吉州,0.727,174,40,30,95,69,25,良,122.3000,12,2015-04
5,68,昌吉州,0.571,153,52,26,101,79,20,良,155.6774,13,2015-05
6,57,昌吉州,0.37,94,40,22,102,52,16,良,152.7333,7,2015-06
7,69,昌吉州,0.545,191,43,25,104,80,24,良,187.8387,8,2015-07
8,69,昌吉州,1.19,119,44,30,92,87,25,良,197.0645,8,2015-08
9,55,昌吉州,0.727,95,28,31,76,61,18,良,146.5667,11,2015-09
10,66,昌吉州,1.213,116,29,38,65,83,28,良,166.6129,17,2015-10
11,72,昌吉州,1.303,114,33,41,29,94,46,良,200.4000,16,2015-11
12,163,昌吉州,1.99,358,37,65,24,211,123,中度污染,264.5806,20,2015-12
13,183,昌吉州,2.465,373,98,68,38,231,140,中度污染,325.5484,36,2016-01
14,188,昌吉州,2.507,308,46,62,63,264,145,中度污染,327.5172,57,2016-02
15,86,昌吉州,1.697,236,51,40,47,114,55,良,177.4516,24,2016-03
16,54,昌吉州,1.13,98,32,39,44,57,15,良,94.1333,6,2016-04
17,49,昌吉州,1.303,103,30,31,59,53,13,优,80.6129,10,2016-05
18,46,昌吉州,1.223,73,28,29,63,44,16,优,89.6333,10,2016-06
19,52,昌吉州,1.258,88,34,35,82,43,16,良,141.3871,10,2016-07
20,54,昌吉州,1.368,90,34,41,76,42,16,良,141.8387,13,2016-08
21,64,昌吉州,1.567,97,38,39,92,55,19,良,175.2000,10,2016-09
22,64,昌吉州,1.387,123,33,35,50,63,38,良,207.9677,16,2016-10
23,102,昌吉州,1.403,186,32,52,30,110,71,轻度污染,233.7333,18,2016-11
24,160,昌吉州,2.058,286,69,65,24,165,123,中度污染,271.4194,18,2016-12
25,255,昌吉州,3.084,343,157,76,33,269,209,重度污染,344.1935,53,2017-01
26,198,昌吉州,2.079,340,47,67,80,200,158,中度污染,286.4286,36,2017-02
27,110,昌吉州,1.642,307,58,38,85,108,83,轻度污染,228.1935,20,2017-03
28,54,昌吉州,0.757,105,31,30,91,48,27,良,135.4333,15,2017-04
29,67,昌吉州,0.681,102,33,33,113,51,26,良,125.2903,13,2017-05
30,61,昌吉州,0.653,95,37,36,109,39,22,良,167.2000,7,2017-06
31,70,昌吉州,0.929,107,50,38,123,49,27,良,212.6452,7,2017-07
32,64,昌吉州,1.068,82,42,37,113,46,22,良,193.7742,7,2017-08
33,69,昌吉州,1.167,102,33,44,115,55,26,良,203.3000,8,2017-09
34,68,昌吉州,1.303,109,31,51,83,72,45,良,211.6452,15,2017-10
35,93,昌吉州,1.467,212,31,49,44,98,69,良,194.0000,18,2017-11
36,126,昌吉州,1.716,274,50,44,21,130,94,轻度污染,228.6452,16,2017-12
37,221,昌吉州,2.471,415,87,62,35,238,176,重度污染,318.7419,27,2018-01
38,184,昌吉州,2.118,302,65,62,71,187,144,中度污染,301.0714,25,2018-02
39,66,昌吉州,1.139,210,0,41,74,69,41,良,146.9677,12,2018-03
40,65,昌吉州,0.823,115,26,32,98,67,30,良,148.9333,10,2018-04
41,67,昌吉州,0.803,212,0,28,100,52,26,良,145.1613,10,2018-05
42,73,昌吉州,0.717,119,43,29,121,45,24,良,136.6333,12,2018-06
43,77,昌吉州,0.619,124,51,32,131,46,24,良,274.6452,11,2018-07
44,75,昌吉州,0.584,148,43,39,124,65,23,良,274.2258,11,2018-08
45,59,昌吉州,0.717,100,33,41,88,56,19,良,231.9333,10,2018-09
46,62,昌吉州,0.774,88,25,42,65,72,25,良,212.6452,12,2018-10
47,114,昌吉州,1.307,448,27,45,42,165,66,轻度污染,254.6667,13,2018-11
48,171,昌吉州,1.935,438,57,60,37,218,118,中度污染,323.0323,18,2018-12
49,227,昌吉州,2.925,246,183,50,30,319,179,重度污染,340.0000,21,2019-01
