index,aqi,city,co,max_aqi,min_aqi,no2,o3,pm10,pm2_5,quality,rank,so2,time_point
0,54,昌都,1.421,95,41,24,83,59,29,良,74.2632,10,2017-01
1,53,昌都,1.286,68,44,18,99,44,20,良,121.7500,10,2017-02
2,62,昌都,1.048,83,45,22,111,54,20,良,109.2258,11,2017-03
3,69,昌都,0.977,93,47,16,120,55,18,良,142.8000,10,2017-04
4,70,昌都,0.913,86,41,9,124,43,16,良,129.6452,7,2017-05
5,61,昌都,1.047,90,37,24,105,39,14,良,126.1000,8,2017-06
6,54,昌都,0.748,89,12,22,92,39,12,良,124.2903,8,2017-07
7,45,昌都,0.777,58,26,18,77,37,13,优,166.6000,7,2017-08
8,47,昌都,0.657,67,30,22,69,49,14,优,,8,2017-09
9,50,昌都,0.942,78,36,22,85,48,14,良,,6,2017-10
10,54,昌都,0.953,75,34,23,77,61,21,良,,6,2017-11
11,75,昌都,1.535,114,24,22,42,100,35,良,,7,2017-12
12,58,昌都,1.406,85,37,18,76,66,25,良,104.2903,5,2018-01
13,52,昌都,1.171,100,41,12,94,40,17,良,69.9286,6,2018-02
14,55,昌都,0.713,89,45,17,104,43,22,良,95.0323,5,2018-03
15,63,昌都,0.59,87,0,17,112,53,24,良,154.5333,5,2018-04
16,72,昌都,0.594,98,45,15,125,40,17,良,185.2258,6,2018-05
17,60,昌都,0.683,84,36,14,108,34,14,良,126.5833,6,2018-06
18,47,昌都,0.684,90,25,12,87,32,11,优,,6,2018-07
19,44,昌都,0.597,56,25,13,66,42,13,优,162.0000,6,2018-08
20,38,昌都,0.603,49,21,14,72,28,9,优,119.0000,3,2018-09
21,43,昌都,0.777,61,30,17,72,37,11,优,113.7500,4,2018-10
22,53,昌都,1.033,76,27,22,54,58,18,良,126.4000,4,2018-11
23,51,昌都,1.1,83,26,24,52,55,20,良,115.6000,3,2018-12
24,66,昌都,1.225,80,58,47,44,50,23,良,153.0000,4,2019-01
