index,aqi,city,co,max_aqi,min_aqi,no2,o3,pm10,pm2_5,quality,rank,so2,time_point
0,51,晋中,1.4,51,51,25,37,52,18,良,47.0000,54,2014-12
1,117,晋中,2.506,245,54,42,34,142,87,轻度污染,215.3226,157,2015-01
2,88,晋中,1.811,199,50,29,54,107,60,良,181.5357,117,2015-02
3,84,晋中,1.458,128,46,23,57,110,53,良,213.3871,63,2015-03
4,77,晋中,1.233,122,43,22,65,103,38,良,192.0000,43,2015-04
5,102,晋中,0.887,177,57,33,129,135,56,轻度污染,277.8710,62,2015-05
6,83,晋中,0.86,135,29,32,104,96,52,良,238.7333,35,2015-06
7,76,晋中,0.752,147,35,28,109,74,47,良,204.8387,28,2015-07
8,57,晋中,0.784,94,35,23,52,63,36,良,147.1935,16,2015-08
9,62,晋中,0.96,118,33,24,80,63,41,良,171.8000,30,2015-09
10,67,晋中,1.303,115,30,38,65,74,43,良,156.0645,37,2015-10
11,91,晋中,1.98,189,45,42,35,89,62,良,245.3333,101,2015-11
12,149,晋中,2.561,315,40,44,28,151,109,轻度污染,265.1935,177,2015-12
13,125,晋中,2.532,278,56,38,34,139,88,轻度污染,260.8387,147,2016-01
14,87,晋中,1.752,208,28,21,48,94,57,良,177.0000,61,2016-02
15,107,晋中,1.365,234,57,33,72,130,72,轻度污染,245.8387,80,2016-03
16,82,晋中,0.863,158,42,28,118,95,46,良,212.2333,27,2016-04
17,93,晋中,0.768,137,52,31,139,88,44,良,238.8065,41,2016-05
18,100,晋中,0.83,153,50,28,150,90,50,轻度污染,288.9333,49,2016-06
19,77,晋中,0.894,118,38,19,109,80,50,良,234.9677,19,2016-07
20,63,晋中,0.755,92,31,22,101,71,34,良,193.9677,26,2016-08
21,73,晋中,0.953,112,36,42,85,87,38,良,207.6000,57,2016-09
22,71,晋中,1.168,122,33,46,64,84,39,良,233.0000,65,2016-10
23,148,晋中,2.253,240,62,58,43,192,108,轻度污染,319.9667,222,2016-11
24,152,晋中,2.787,345,82,59,34,169,112,中度污染,283.9677,263,2016-12
25,158,晋中,2.742,320,77,55,51,124,84,中度污染,284.6774,249,2017-01
26,128,晋中,1.95,239,66,46,77,116,74,轻度污染,260.0000,200,2017-02
27,88,晋中,1.258,143,45,44,97,103,58,良,229.8065,104,2017-03
28,83,晋中,1.04,155,46,43,112,106,45,良,242.3333,50,2017-04
29,119,晋中,1.01,432,68,31,160,85,33,轻度污染,217.9677,26,2017-05
30,127,晋中,1.19,203,54,35,189,93,46,轻度污染,254.0667,31,2017-06
31,108,晋中,1.329,183,48,30,167,84,45,轻度污染,250.6452,22,2017-07
32,100,晋中,1.348,158,48,34,151,81,44,轻度污染,260.8065,30,2017-08
33,95,晋中,1.41,121,67,47,133,118,57,良,268.1333,53,2017-09
34,87,晋中,1.406,142,32,47,70,111,63,良,243.7419,44,2017-10
35,102,晋中,1.863,200,65,55,57,142,70,轻度污染,232.0333,85,2017-11
36,111,晋中,1.981,208,49,59,25,125,64,轻度污染,184.4516,117,2017-12
37,107,晋中,1.89,206,53,56,48,134,73,轻度污染,224.4839,99,2018-01
38,100,晋中,1.543,246,0,44,83,124,67,轻度污染,211.1786,79,2018-02
39,92,晋中,1.281,193,0,50,110,124,63,良,234.0323,46,2018-03
40,83,晋中,0.94,142,0,40,130,103,43,良,214.1667,28,2018-04
41,99,晋中,0.835,191,0,37,151,111,43,良,248.9355,22,2018-05
42,118,晋中,0.92,193,58,40,177,99,46,轻度污染,259.9667,20,2018-06
43,92,晋中,0.894,139,34,23,147,66,42,良,264.6774,7,2018-07
44,91,晋中,0.881,145,33,24,147,62,38,良,213.0968,7,2018-08
45,67,晋中,0.863,108,37,38,91,66,32,良,226.9333,10,2018-09
46,75,晋中,1.1,120,53,50,84,93,44,良,232.6452,18,2018-10
47,102,晋中,1.343,183,54,61,50,139,71,轻度污染,289.3333,42,2018-11
48,97,晋中,1.461,200,51,56,35,134,62,良,257.6129,56,2018-12
49,153,晋中,1.9,178,124,74,28,174,116,中度污染,291.2500,77,2019-01
