index,aqi,city,co,max_aqi,min_aqi,no2,o3,pm10,pm2_5,quality,rank,so2,time_point
0,57,晋城,0.7,57,57,15,34,63,23,良,74.0000,52,2014-12
1,118,晋城,2.368,218,43,31,28,139,88,轻度污染,220.8387,115,2015-01
2,82,晋城,1.9,122,51,22,40,110,51,良,173.7500,76,2015-02
3,75,晋城,2.068,132,44,28,49,97,44,良,174.1613,48,2015-03
4,74,晋城,1.883,114,39,24,52,99,41,良,179.5333,42,2015-04
5,83,晋城,1.948,142,42,28,78,109,53,良,214.4194,37,2015-05
6,77,晋城,1.537,207,31,34,78,94,46,良,219.2000,51,2015-06
7,84,晋城,1.632,127,55,38,86,115,55,良,253.9677,42,2015-07
8,68,晋城,1.748,112,41,32,68,85,40,良,197.0645,30,2015-08
9,62,晋城,1.08,107,38,31,63,72,35,良,177.1000,32,2015-09
10,81,晋城,1.745,211,37,50,47,98,48,良,183.1290,46,2015-10
11,106,晋城,2.263,257,50,48,39,129,76,轻度污染,264.1000,66,2015-11
12,144,晋城,1.916,285,33,48,46,188,104,轻度污染,244.0968,82,2015-12
13,144,晋城,2.203,250,51,63,46,192,104,轻度污染,275.8333,120,2016-01
14,93,晋城,1.831,150,35,43,76,119,56,良,209.1379,106,2016-02
15,151,晋城,2.213,260,60,60,116,195,108,中度污染,325.7419,139,2016-03
16,118,晋城,1.877,216,54,45,130,151,85,轻度污染,305.0667,79,2016-04
17,79,晋城,1.529,145,38,29,122,76,41,良,199.1613,48,2016-05
18,63,晋城,1.813,90,0,23,100,69,33,良,181.0667,24,2016-06
19,51,晋城,1.565,70,28,16,71,53,26,良,137.9355,15,2016-07
20,52,晋城,1.671,72,38,21,80,50,22,良,134.4516,24,2016-08
21,58,晋城,2.137,98,29,25,60,53,27,良,138.6000,33,2016-09
22,54,晋城,1.919,93,28,28,65,44,23,良,152.9032,29,2016-10
23,134,晋城,3.037,213,53,63,57,175,100,轻度污染,302.0000,113,2016-11
24,155,晋城,3.042,358,48,60,56,173,120,中度污染,255.4839,112,2016-12
25,140,晋城,2.574,295,40,52,68,112,74,轻度污染,247.4194,95,2017-01
26,124,晋城,2.854,245,50,53,104,122,75,轻度污染,247.1429,99,2017-02
27,104,晋城,1.961,217,59,46,112,127,71,轻度污染,223.9355,61,2017-03
28,95,晋城,2.177,207,50,47,128,124,53,良,259.4000,45,2017-04
29,120,晋城,1.658,199,55,44,173,87,31,轻度污染,233.2258,35,2017-05
30,150,晋城,1.763,208,73,41,213,107,52,中度污染,272.2000,28,2017-06
31,131,晋城,2.084,201,60,32,186,117,58,轻度污染,296.0968,17,2017-07
32,112,晋城,1.852,188,46,31,164,103,55,轻度污染,301.1613,22,2017-08
33,103,晋城,2.107,146,56,49,136,116,64,轻度污染,284.6333,29,2017-09
34,80,晋城,1.777,143,30,45,80,92,55,良,217.0645,23,2017-10
35,99,晋城,2.277,195,59,60,82,132,67,良,204.9667,51,2017-11
36,104,晋城,2.374,246,41,48,42,117,64,轻度污染,156.2258,66,2017-12
37,137,晋城,2.168,294,49,46,64,153,100,轻度污染,244.0645,51,2018-01
38,127,晋城,1.668,298,55,35,95,147,90,轻度污染,241.1071,48,2018-02
39,124,晋城,1.587,254,53,43,122,149,90,轻度污染,292.8387,29,2018-03
40,91,晋城,1.363,172,0,41,136,124,43,良,221.8000,24,2018-04
41,105,晋城,1.1,191,0,39,158,113,47,轻度污染,273.2903,20,2018-05
42,146,晋城,1.443,204,63,43,209,111,48,轻度污染,301.8000,23,2018-06
43,109,晋城,1.187,191,42,23,166,86,45,轻度污染,299.0645,9,2018-07
44,116,晋城,1.255,191,40,26,176,87,45,轻度污染,280.6774,13,2018-08
45,69,晋城,1.04,119,39,31,115,60,28,良,220.0667,11,2018-09
46,86,晋城,1.348,147,48,48,124,104,47,良,245.7742,18,2018-10
47,97,晋城,1.613,225,43,47,74,133,64,良,265.8333,22,2018-11
48,96,晋城,1.481,225,52,44,59,126,60,良,248.7097,31,2018-12
49,183,晋城,2.05,241,139,57,85,198,141,中度污染,299.0000,39,2019-01
