index,aqi,city,co,max_aqi,min_aqi,no2,o3,pm10,pm2_5,quality,rank,so2,time_point
0,59,普洱,0.6,59,59,13,75,67,33,良,85.0000,5,2014-12
1,55,普洱,0.629,81,27,14,79,61,32,良,74.9032,6,2015-01
2,75,普洱,0.768,162,55,15,91,73,53,良,152.5000,13,2015-02
3,92,普洱,0.59,203,54,24,136,88,62,良,223.3548,13,2015-03
4,60,普洱,0.327,80,38,16,108,50,26,良,118.0000,10,2015-04
5,60,普洱,0.474,108,26,15,108,52,25,良,136.1935,33,2015-05
6,30,普洱,0.437,58,18,10,58,22,8,优,33.8667,8,2015-06
7,27,普洱,0.432,55,16,11,49,21,10,优,20.8065,14,2015-07
8,23,普洱,0.368,47,15,8,46,16,6,优,8.4839,9,2015-08
9,24,普洱,0.497,39,16,7,48,18,7,优,6.3000,9,2015-09
10,34,普洱,0.49,48,20,10,63,25,17,优,27.9032,12,2015-10
11,37,普洱,0.517,51,23,13,56,35,23,优,44.1667,6,2015-11
12,43,普洱,0.606,61,22,16,63,43,26,优,53.3871,8,2015-12
13,45,普洱,1.026,59,32,17,71,43,24,优,58.6774,6,2016-01
14,53,普洱,0.7,105,18,16,79,53,30,良,96.6207,8,2016-02
15,66,普洱,0.684,98,33,27,94,79,44,良,130.3226,8,2016-03
16,67,普洱,0.517,95,36,26,105,81,41,良,161.8333,9,2016-04
17,44,普洱,0.313,70,0,15,73,44,22,优,62.5806,7,2016-05
18,29,普洱,0.157,46,17,8,52,26,12,优,27.1667,5,2016-06
19,22,普洱,0.132,41,0,8,40,19,11,优,12.8065,7,2016-07
20,31,普洱,0.181,49,0,10,61,23,12,优,30.7742,8,2016-08
21,34,普洱,0.343,54,19,18,60,30,19,优,31.6667,13,2016-09
22,33,普洱,0.584,47,22,13,60,30,21,优,39.1935,4,2016-10
23,33,普洱,0.413,51,14,13,53,31,19,优,33.4000,4,2016-11
24,47,普洱,0.526,59,26,17,61,48,28,优,46.4194,4,2016-12
25,49,普洱,0.594,109,32,15,68,41,31,优,53.6774,4,2017-01
26,58,普洱,0.754,75,41,17,99,59,38,良,129.5357,5,2017-02
27,82,普洱,0.826,117,51,23,124,88,58,良,228.4516,4,2017-03
28,74,普洱,0.573,139,49,20,110,82,52,良,212.1333,6,2017-04
29,62,普洱,0.497,93,31,18,108,64,38,良,192.4839,6,2017-05
30,36,普洱,0.48,61,16,12,70,32,12,优,88.3000,6,2017-06
31,28,普洱,0.516,54,16,12,48,23,16,优,94.1290,7,2017-07
32,28,普洱,0.561,36,19,9,46,16,20,优,122.3871,5,2017-08
33,24,普洱,0.473,33,15,12,44,19,15,优,72.5333,7,2017-09
34,29,普洱,0.706,42,18,17,52,23,17,优,91.0000,6,2017-10
35,40,普洱,0.723,58,17,25,58,36,22,优,88.5000,7,2017-11
36,44,普洱,0.648,63,22,20,48,40,24,优,64.0323,6,2017-12
37,40,普洱,0.59,53,17,20,71,38,19,优,42.4194,5,2018-01
38,57,普洱,0.718,104,23,17,100,49,29,良,107.8214,5,2018-02
39,83,普洱,0.729,113,43,24,137,77,47,良,214.0000,6,2018-03
40,80,普洱,0.627,112,45,21,136,64,34,良,208.2333,7,2018-04
41,55,普洱,0.348,77,25,19,101,47,25,良,115.6129,7,2018-05
42,32,普洱,0.503,65,18,14,58,26,12,优,29.7333,7,2018-06
43,27,普洱,0.561,49,17,15,53,17,7,优,32.7097,7,2018-07
44,26,普洱,0.742,44,16,16,50,19,8,优,52.8065,6,2018-08
45,25,普洱,0.533,38,18,14,47,15,6,优,43.1667,6,2018-09
46,29,普洱,0.571,45,18,15,56,20,9,优,29.1290,5,2018-10
47,34,普洱,0.597,44,23,20,62,32,13,优,32.8000,5,2018-11
48,32,普洱,0.571,55,18,20,58,28,12,优,51.5806,4,2018-12
49,28,普洱,0.675,33,20,13,54,18,9,优,14.0000,2,2019-01
