index,aqi,city,co,max_aqi,min_aqi,no2,o3,pm10,pm2_5,quality,rank,so2,time_point
0,56,景德镇,0.7,56,56,27,72,63,29,良,70.0000,19,2014-12
1,90,景德镇,1.094,201,23,31,44,100,66,良,151.6774,13,2015-01
2,81,景德镇,0.782,150,23,15,51,85,60,良,147.1429,10,2015-02
3,62,景德镇,0.632,101,30,17,48,65,44,良,127.1935,10,2015-03
4,66,景德镇,0.707,100,26,22,73,76,47,良,136.8333,14,2015-04
5,66,景德镇,0.716,127,29,16,68,75,47,良,142.7742,10,2015-05
6,47,景德镇,0.65,65,28,13,59,49,28,优,104.0000,9,2015-06
7,49,景德镇,0.655,88,26,13,63,52,29,优,107.1935,9,2015-07
8,56,景德镇,0.7,92,25,15,76,62,37,良,141.0645,9,2015-08
9,57,景德镇,0.667,97,25,17,90,58,37,良,148.7000,9,2015-09
10,58,景德镇,0.674,97,23,22,90,63,39,良,115.6774,10,2015-10
11,47,景德镇,0.83,77,22,21,35,47,30,优,79.4000,7,2015-11
12,77,景德镇,0.719,142,27,24,41,83,55,良,152.9677,8,2015-12
13,68,景德镇,0.81,182,35,22,47,76,48,良,131.8065,6,2016-01
14,91,景德镇,0.71,237,50,17,81,107,66,良,225.0000,10,2016-02
15,79,景德镇,0.797,119,33,23,97,90,56,良,177.2258,9,2016-03
16,62,景德镇,0.8,123,33,16,97,59,36,良,123.7667,6,2016-04
17,60,景德镇,0.819,110,28,11,105,50,31,良,122.0323,8,2016-05
18,58,景德镇,0.727,103,25,9,96,52,33,良,144.1667,7,2016-06
19,52,景德镇,0.645,85,30,7,76,58,34,良,143.8710,6,2016-07
20,60,景德镇,0.881,106,37,8,94,60,34,良,174.8065,7,2016-08
21,62,景德镇,0.867,95,26,11,101,61,35,良,153.6667,8,2016-09
22,46,景德镇,0.713,68,20,13,62,48,28,优,110.3226,8,2016-10
23,57,景德镇,0.663,112,16,21,46,65,38,良,104.3667,10,2016-11
24,91,景德镇,0.752,210,37,35,60,105,66,良,161.6774,12,2016-12
25,85,景德镇,0.903,240,31,25,63,74,51,良,160.1290,11,2017-01
26,75,景德镇,0.814,103,31,26,89,81,54,良,187.4286,9,2017-02
27,62,景德镇,0.835,103,32,28,83,68,40,良,147.9355,10,2017-03
28,74,景德镇,0.88,112,38,22,114,86,46,良,210.5667,15,2017-04
29,84,景德镇,0.916,142,45,20,133,72,42,良,226.1290,14,2017-05
30,49,景德镇,1.063,109,25,11,85,42,27,优,130.6000,7,2017-06
31,60,景德镇,0.935,115,31,8,96,61,33,良,241.2581,10,2017-07
32,48,景德镇,0.99,75,30,8,90,43,25,优,143.0000,9,2017-08
33,56,景德镇,0.957,106,25,12,94,51,29,良,151.2333,10,2017-09
34,51,景德镇,0.906,95,23,16,84,53,32,良,143.0323,10,2017-10
35,63,景德镇,0.95,95,26,23,61,71,44,良,145.3000,12,2017-11
36,75,景德镇,0.894,127,20,30,32,87,54,良,152.4839,17,2017-12
37,63,景德镇,0.89,135,18,25,44,68,43,良,107.6774,13,2018-01
38,65,景德镇,0.732,163,23,16,73,71,42,良,111.1786,10,2018-02
39,56,景德镇,0.781,97,23,24,88,60,34,良,88.7097,15,2018-03
40,67,景德镇,0.797,113,21,21,106,75,37,良,140.5333,13,2018-04
41,60,景德镇,0.848,97,28,13,103,55,29,良,127.8387,14,2018-05
42,63,景德镇,0.877,122,26,10,106,49,26,良,126.5667,14,2018-06
43,49,景德镇,0.91,71,22,8,85,46,24,优,157.2258,11,2018-07
44,53,景德镇,0.897,100,24,8,95,44,26,良,186.6129,9,2018-08
45,51,景德镇,0.74,97,24,10,90,46,24,良,187.6667,11,2018-09
46,60,景德镇,0.713,107,19,18,94,58,30,良,178.3548,14,2018-10
47,43,景德镇,0.837,80,18,18,48,47,25,优,62.2333,14,2018-11
48,43,景德镇,0.806,92,15,17,36,44,28,优,73.0323,9,2018-12
49,34,景德镇,0.725,40,30,15,18,30,22,优,35.7500,7,2019-01
