index,aqi,city,co,max_aqi,min_aqi,no2,o3,pm10,pm2_5,quality,rank,so2,time_point
0,65,朝阳,2.1,65,65,9,38,79,14,良,110.0000,20,2014-12
1,87,朝阳,1.878,166,38,26,33,98,63,良,133.8519,73,2015-01
2,69,朝阳,2.681,104,44,17,58,89,31,良,129.9048,18,2015-04
3,66,朝阳,1.148,110,36,16,70,82,27,良,142.6774,14,2015-05
4,56,朝阳,0.987,113,25,14,78,46,26,良,134.8667,9,2015-06
5,50,朝阳,1.216,109,23,13,75,46,29,优,100.9677,6,2015-07
6,51,朝阳,1.635,96,36,13,65,55,25,良,117.1935,10,2015-08
7,59,朝阳,1.773,142,36,15,69,62,28,良,149.9333,14,2015-09
8,68,朝阳,2.129,152,39,18,60,79,36,良,143.1613,15,2015-10
9,93,朝阳,2.56,212,46,26,43,81,60,良,220.8667,52,2015-11
10,102,朝阳,2.455,314,26,32,32,101,70,轻度污染,186.1613,67,2015-12
11,71,朝阳,1.81,253,40,26,44,58,37,良,134.2258,74,2016-01
12,52,朝阳,1.728,124,26,19,52,44,31,良,69.0690,43,2016-02
13,77,朝阳,1.752,230,32,25,62,88,47,良,131.8065,33,2016-03
14,72,朝阳,1.877,144,42,18,73,93,34,良,164.1000,17,2016-04
15,65,朝阳,2.106,110,47,18,94,68,31,良,145.3871,15,2016-05
16,66,朝阳,2.443,97,54,16,94,57,34,良,186.0000,15,2016-06
17,66,朝阳,2.155,104,40,15,101,67,36,良,210.4516,14,2016-07
18,58,朝阳,1.845,88,28,17,100,53,27,良,169.3871,19,2016-08
19,52,朝阳,1.703,119,33,18,90,32,19,良,106.5333,23,2016-09
20,62,朝阳,1.565,159,35,22,58,61,37,良,179.7419,23,2016-10
21,90,朝阳,1.307,182,41,33,47,102,63,良,217.4333,62,2016-11
22,108,朝阳,1.587,269,42,32,47,115,77,轻度污染,183.2258,75,2016-12
23,113,朝阳,1.619,257,42,31,57,120,82,轻度污染,201.9677,81,2017-01
24,90,朝阳,1.232,242,41,27,78,89,59,良,178.5357,53,2017-02
25,69,朝阳,0.958,142,50,26,94,80,42,良,169.0323,41,2017-03
26,75,朝阳,0.89,159,47,20,114,86,33,良,207.2000,16,2017-04
27,113,朝阳,0.906,500,37,16,142,74,28,轻度污染,197.8065,13,2017-05
28,89,朝阳,0.773,149,31,18,145,58,29,良,205.6667,12,2017-06
29,102,朝阳,0.865,189,59,16,161,56,29,轻度污染,212.9032,8,2017-07
30,64,朝阳,0.829,115,32,16,114,48,23,良,177.5484,9,2017-08
31,77,朝阳,0.98,148,38,24,124,66,36,良,213.7667,16,2017-09
32,67,朝阳,1.197,178,33,29,83,67,41,良,197.4516,19,2017-10
33,62,朝阳,1.063,138,33,28,65,65,34,良,124.1000,36,2017-11
34,77,朝阳,1.526,183,15,32,30,83,52,良,114.7419,70,2017-12
35,70,朝阳,1.271,134,46,28,64,79,41,良,139.8710,63,2018-01
36,77,朝阳,1.257,132,40,26,88,88,52,良,163.7857,61,2018-02
37,66,朝阳,1.077,186,0,25,106,70,43,良,148.7742,33,2018-03
38,71,朝阳,0.91,149,0,19,117,84,34,良,159.5667,16,2018-04
39,86,朝阳,0.916,183,0,19,145,74,36,良,211.2581,15,2018-05
40,104,朝阳,1.043,172,51,18,162,57,33,轻度污染,237.4000,13,2018-06
41,77,朝阳,0.768,131,24,13,129,46,28,良,229.4516,8,2018-07
42,65,朝阳,0.716,154,34,18,112,44,22,良,172.1935,14,2018-08
43,61,朝阳,0.83,119,28,20,104,48,24,良,188.6667,12,2018-09
44,59,朝阳,0.942,103,26,26,79,64,31,良,158.9032,15,2018-10
45,88,朝阳,1.363,203,28,35,56,107,59,良,245.7333,35,2018-11
46,73,朝阳,1.187,139,38,29,53,88,44,良,182.7097,30,2018-12
47,104,朝阳,1.65,172,79,36,50,114,78,轻度污染,249.5000,43,2019-01
