index,aqi,city,co,max_aqi,min_aqi,no2,o3,pm10,pm2_5,quality,rank,so2,time_point
0,93,本溪,2.4,93,93,36,27,137,26,良,39.0000,51,2013-12
1,98,本溪,2.648,193,46,45,27,107,71,良,62.6452,93,2014-01
2,104,本溪,3.293,246,43,37,46,120,76,轻度污染,103.6071,75,2014-02
3,91,本溪,3.148,242,48,35,61,103,66,良,89.1290,54,2014-03
4,79,本溪,2.05,136,52,34,87,93,53,良,77.9000,35,2014-04
5,66,本溪,1.874,114,42,31,113,70,36,良,53.2258,23,2014-05
6,68,本溪,1.65,130,40,37,105,71,41,良,74.5667,18,2014-06
7,69,本溪,2.342,161,50,25,100,75,44,良,80.7419,15,2014-07
8,70,本溪,1.823,132,43,30,106,77,42,良,98.4194,12,2014-08
9,65,本溪,1.897,85,34,35,84,78,35,良,95.9000,21,2014-09
10,104,本溪,1.787,443,51,50,87,128,75,轻度污染,99.5161,29,2014-10
11,116,本溪,2.677,457,56,54,61,146,86,轻度污染,121.2667,64,2014-11
12,94,本溪,2.89,145,59,60,42,102,65,良,102.4516,93,2014-12
13,107,本溪,2.545,241,45,71,37,117,80,轻度污染,190.2258,108,2015-01
14,95,本溪,2.515,260,37,64,46,110,68,良,191.3333,91,2015-02
15,75,本溪,1.823,123,49,43,68,95,49,良,184.5161,49,2015-03
16,75,本溪,1.62,108,40,36,94,93,45,良,185.4333,26,2015-04
17,75,本溪,1.152,137,39,30,119,74,31,良,175.2258,20,2015-05
18,71,本溪,1.087,110,46,28,123,58,33,良,209.0000,13,2015-06
19,65,本溪,1.035,137,39,26,109,56,34,良,170.6129,9,2015-07
20,63,本溪,1.048,95,29,23,108,56,33,良,172.3226,10,2015-08
21,61,本溪,1.04,97,41,35,94,65,32,良,176.8000,18,2015-09
22,73,本溪,1.155,166,37,37,82,82,48,良,167.1613,25,2015-10
23,139,本溪,1.667,500,54,45,50,143,112,轻度污染,282.0333,51,2015-11
24,116,本溪,1.848,298,40,50,37,121,87,轻度污染,208.5484,89,2015-12
25,102,本溪,1.848,208,56,44,42,114,76,轻度污染,239.4194,90,2016-01
26,74,本溪,1.572,132,49,37,58,78,51,良,172.3448,67,2016-02
27,82,本溪,1.358,213,39,35,98,102,51,良,172.6774,50,2016-03
28,76,本溪,1.3,95,52,30,120,80,36,良,204.1333,27,2016-04
29,84,本溪,1.358,123,47,31,138,63,31,良,216.3226,23,2016-05
30,69,本溪,1.407,100,40,29,118,52,32,良,191.9000,16,2016-06
31,59,本溪,1.403,91,33,23,100,50,33,良,174.0968,10,2016-07
32,55,本溪,1.374,119,28,24,93,48,27,良,139.8387,10,2016-08
33,50,本溪,1.423,72,29,28,81,47,28,优,99.5000,16,2016-09
34,59,本溪,1.235,128,30,38,62,60,39,良,173.7419,19,2016-10
35,80,本溪,1.257,207,36,38,45,84,57,良,175.3000,39,2016-11
36,102,本溪,1.565,243,41,43,38,109,74,轻度污染,181.7419,55,2016-12
37,102,本溪,1.719,294,45,46,47,113,76,轻度污染,193.3871,73,2017-01
38,78,本溪,1.582,128,36,39,65,82,55,良,161.1071,56,2017-02
39,86,本溪,1.374,145,39,40,86,98,62,良,218.1935,40,2017-03
40,68,本溪,1.233,122,41,30,96,81,39,良,176.2000,19,2017-04
41,69,本溪,1.055,120,37,25,108,67,28,良,141.1935,12,2017-05
42,60,本溪,1.107,121,36,27,105,56,28,良,160.8333,11,2017-06
43,61,本溪,1.139,117,38,21,106,46,25,良,155.2581,8,2017-07
44,44,本溪,1.297,94,25,22,80,39,18,优,117.6129,9,2017-08
45,51,本溪,1.307,87,29,25,91,51,25,良,128.4333,12,2017-09
46,60,本溪,1.381,103,27,34,69,64,37,良,180.0000,17,2017-10
47,61,本溪,1.223,151,35,30,57,66,36,良,114.7333,28,2017-11
48,87,本溪,1.977,185,45,40,23,94,54,良,146.0968,43,2017-12
49,74,本溪,1.629,127,51,41,48,90,50,良,151.8710,42,2018-01
50,71,本溪,1.432,152,51,34,71,85,46,良,149.3214,37,2018-02
51,71,本溪,1.287,140,44,32,100,74,46,良,163.9032,27,2018-03
52,77,本溪,1.033,114,50,27,118,79,34,良,183.7667,15,2018-04
53,71,本溪,1.132,110,35,26,120,65,28,良,165.0323,14,2018-05
54,75,本溪,1.2,155,36,23,127,47,25,良,163.5667,14,2018-06
55,49,本溪,1.087,138,20,17,84,38,20,优,106.1613,11,2018-07
56,51,本溪,1.113,98,25,23,86,42,19,良,137.1290,11,2018-08
57,42,本溪,1.16,57,32,26,63,41,19,优,150.8333,13,2018-09
58,55,本溪,1.197,102,26,32,58,59,33,良,138.7419,15,2018-10
59,68,本溪,1.433,119,32,37,44,76,45,良,194.0000,24,2018-11
60,68,本溪,1.552,128,34,36,44,78,43,良,181.6129,25,2018-12
61,86,本溪,1.825,107,60,42,41,106,62,良,199.5000,29,2019-01
