index,aqi,city,co,max_aqi,min_aqi,no2,o3,pm10,pm2_5,quality,rank,so2,time_point
0,163,来宾,1.8,163,163,60,108,154,124,中度污染,344.0000,27,2014-12
1,119,来宾,1.171,263,37,42,62,112,90,轻度污染,218.7742,31,2015-01
2,93,来宾,1.146,238,28,42,51,83,69,良,178.7857,22,2015-02
3,67,来宾,0.965,133,24,27,51,60,47,良,142.1935,13,2015-03
4,70,来宾,0.837,107,37,28,99,68,50,良,156.6667,27,2015-04
5,55,来宾,0.787,99,33,22,91,48,35,良,100.1290,17,2015-05
6,40,来宾,0.78,72,23,13,64,38,26,优,64.9667,22,2015-06
7,52,来宾,0.897,95,24,13,73,49,33,良,117.7419,17,2015-07
8,66,来宾,0.881,130,31,16,98,67,38,良,184.9677,22,2015-08
9,55,来宾,0.923,100,26,15,69,58,34,良,147.4000,20,2015-09
10,74,来宾,1.142,127,30,25,102,84,50,良,182.6774,21,2015-10
11,40,来宾,1.307,64,26,21,49,32,23,优,49.6333,20,2015-11
12,43,来宾,1.232,85,22,24,43,38,24,优,38.7742,18,2015-12
13,61,来宾,1.416,112,29,27,44,61,43,良,111.5161,19,2016-01
14,66,来宾,1.152,211,27,26,82,65,43,良,133.6552,29,2016-02
15,71,来宾,1.21,144,33,28,66,67,49,良,143.5484,30,2016-03
16,58,来宾,1.033,92,36,18,87,52,34,良,111.7000,18,2016-04
17,57,来宾,0.894,111,33,18,89,52,33,良,106.9677,18,2016-05
18,41,来宾,0.717,61,28,13,69,35,21,优,67.9333,30,2016-06
19,43,来宾,0.645,77,21,12,73,39,24,优,94.8710,33,2016-07
20,54,来宾,0.768,111,26,14,95,47,31,良,132.8065,20,2016-08
21,76,来宾,0.847,146,23,19,117,65,47,良,215.5333,17,2016-09
22,63,来宾,0.942,95,30,20,91,61,42,良,207.8710,17,2016-10
23,56,来宾,1.0,107,20,20,55,55,39,良,97.1000,18,2016-11
24,110,来宾,1.313,217,32,36,81,113,82,轻度污染,208.8710,26,2016-12
25,136,来宾,1.435,368,29,29,84,127,104,轻度污染,237.0000,21,2017-01
26,98,来宾,1.171,207,48,26,80,97,73,良,220.5714,19,2017-02
27,67,来宾,1.181,147,25,23,61,69,47,良,163.3548,19,2017-03
28,66,来宾,0.88,93,41,15,93,68,43,良,172.4000,24,2017-04
29,68,来宾,0.79,130,40,20,109,59,37,良,166.5806,20,2017-05
30,43,来宾,0.643,79,20,16,76,38,22,优,93.8000,13,2017-06
31,48,来宾,0.565,113,24,14,80,45,28,优,137.4516,15,2017-07
32,47,来宾,0.648,102,26,14,83,43,25,优,140.6129,15,2017-08
33,58,来宾,0.663,100,32,16,100,53,31,良,177.3667,14,2017-09
34,68,来宾,0.781,134,26,19,112,66,42,良,167.6129,15,2017-10
35,76,来宾,1.107,149,22,27,80,78,54,良,175.3667,15,2017-11
36,100,来宾,1.084,183,28,30,53,98,73,良,198.7097,22,2017-12
37,103,来宾,1.342,200,25,31,64,105,75,轻度污染,199.9032,20,2018-01
38,92,来宾,1.089,192,27,24,76,98,67,良,200.6786,17,2018-02
39,73,来宾,0.845,129,36,22,82,77,51,良,174.0645,16,2018-03
40,66,来宾,0.81,112,38,19,86,76,40,良,144.9667,14,2018-04
41,51,来宾,0.668,101,38,15,91,46,26,良,90.8065,12,2018-05
42,55,来宾,0.687,100,26,15,96,43,25,良,100.3000,12,2018-06
43,46,来宾,0.652,108,28,12,83,41,21,优,131.0968,11,2018-07
44,63,来宾,0.874,119,24,14,110,50,28,良,181.3871,12,2018-08
45,56,来宾,0.72,106,26,14,99,48,28,良,167.3000,13,2018-09
46,64,来宾,0.842,131,22,22,97,58,33,良,169.3548,13,2018-10
47,61,来宾,1.0,104,20,28,73,66,40,良,158.6333,13,2018-11
48,59,来宾,0.968,119,20,26,39,61,40,良,128.1290,12,2018-12
49,39,来宾,0.825,48,33,20,38,31,26,优,60.0000,6,2019-01
