index,aqi,city,co,max_aqi,min_aqi,no2,o3,pm10,pm2_5,quality,rank,so2,time_point
0,179,杭州,1.623,413,33,79,43,192,142,中度污染,68.9667,45,2013-12
1,136,杭州,1.155,265,53,61,49,142,103,轻度污染,94.2258,33,2014-01
2,81,杭州,0.879,252,20,39,55,71,60,良,71.2500,19,2014-02
3,82,杭州,0.826,139,46,50,86,95,59,良,75.2581,23,2014-03
4,83,杭州,0.77,140,37,51,90,96,60,良,89.7333,22,2014-04
5,91,杭州,0.823,151,46,46,128,115,59,良,101.3548,19,2014-05
6,89,杭州,0.813,181,36,40,130,88,54,良,104.5667,13,2014-06
7,84,杭州,0.768,150,36,34,129,72,44,良,105.1935,10,2014-07
8,75,杭州,0.903,120,27,35,118,70,45,良,104.3871,12,2014-08
9,74,杭州,0.813,162,28,34,118,70,46,良,104.4667,15,2014-09
10,88,杭州,0.848,146,49,47,128,98,59,良,101.0968,21,2014-10
11,101,杭州,1.05,164,41,59,67,107,75,轻度污染,112.9333,22,2014-11
12,100,杭州,1.006,145,57,61,49,117,72,良,118.7742,32,2014-12
13,118,杭州,1.223,236,31,62,48,120,89,轻度污染,216.0323,25,2015-01
14,88,杭州,0.95,179,30,39,73,87,65,良,167.7857,13,2015-02
15,76,杭州,0.839,138,45,47,82,81,53,良,179.6452,15,2015-03
16,82,杭州,0.847,136,35,48,118,89,54,良,209.3333,17,2015-04
17,94,杭州,0.758,169,40,41,138,82,54,良,243.0323,15,2015-05
18,68,杭州,0.737,104,36,36,106,61,40,良,191.8000,9,2015-06
19,64,杭州,0.706,115,21,31,106,49,31,良,166.8387,10,2015-07
20,81,杭州,0.797,138,27,34,131,61,39,良,229.9355,13,2015-08
21,91,杭州,0.837,172,31,43,137,67,43,良,262.9333,16,2015-09
22,83,杭州,0.861,143,48,53,115,90,56,良,223.9677,18,2015-10
23,80,杭州,1.107,147,39,57,38,77,52,良,227.7333,15,2015-11
24,123,杭州,1.19,283,56,65,40,135,90,轻度污染,244.6452,20,2015-12
25,111,杭州,1.061,222,56,63,48,119,80,轻度污染,236.2258,17,2016-01
26,89,杭州,0.848,162,38,41,84,101,64,良,209.9655,14,2016-02
27,99,杭州,0.832,217,40,58,103,123,72,良,221.1613,16,2016-03
28,83,杭州,0.81,143,46,50,115,82,46,良,226.9333,11,2016-04
29,85,杭州,0.829,128,52,43,123,77,46,良,230.4839,9,2016-05
30,74,杭州,0.75,152,34,36,117,58,36,良,207.0667,8,2016-06
31,81,杭州,0.723,173,25,32,129,55,32,良,241.1613,8,2016-07
32,93,杭州,0.626,144,23,20,149,41,25,良,284.0000,9,2016-08
33,75,杭州,0.697,141,27,30,118,50,33,良,200.9667,10,2016-09
34,60,杭州,0.797,87,38,45,65,54,32,良,202.3226,12,2016-10
35,79,杭州,0.973,139,35,56,49,85,52,良,194.6000,13,2016-11
36,98,杭州,1.123,158,44,63,50,110,69,良,191.2581,15,2016-12
37,90,杭州,1.087,210,38,50,53,90,63,良,168.6129,14,2017-01
38,91,杭州,0.964,175,37,51,83,92,67,良,175.8571,14,2017-02
39,79,杭州,0.874,157,42,54,90,86,54,良,185.4516,13,2017-03
40,90,杭州,0.93,140,41,49,137,82,47,良,191.5333,13,2017-04
41,105,杭州,0.855,195,43,45,154,72,41,轻度污染,170.5161,11,2017-05
42,73,杭州,0.84,194,37,34,115,45,30,良,151.3667,8,2017-06
43,89,杭州,0.723,201,38,28,144,47,27,良,163.7419,8,2017-07
44,77,杭州,0.745,132,33,28,129,38,23,良,125.1290,7,2017-08
45,82,杭州,0.957,177,33,38,118,51,32,良,125.9667,9,2017-09
46,62,杭州,0.881,140,33,42,91,58,32,良,154.7742,11,2017-10
47,77,杭州,1.02,112,35,58,61,84,48,良,146.6000,12,2017-11
48,104,杭州,1.281,236,62,67,26,118,73,轻度污染,183.0645,14,2017-12
49,97,杭州,1.042,186,44,60,42,95,66,良,198.9677,14,2018-01
50,81,杭州,0.957,176,29,43,69,86,58,良,175.2857,11,2018-02
51,73,杭州,0.916,128,43,51,90,73,45,良,166.5484,9,2018-03
52,90,杭州,0.86,174,43,50,122,91,45,良,228.4667,10,2018-04
53,86,杭州,0.877,149,33,40,132,66,38,良,211.5484,9,2018-05
54,93,杭州,0.793,171,37,33,148,50,30,良,72.7000,8,2018-06
55,79,杭州,0.723,189,30,24,127,41,23,良,183.0323,7,2018-07
56,79,杭州,0.865,158,33,22,130,39,22,良,123.3871,7,2018-08
57,77,杭州,0.897,178,30,33,120,50,25,良,181.0667,9,2018-09
58,70,杭州,0.877,115,47,44,107,65,33,良,165.0645,10,2018-10
59,66,杭州,0.987,138,38,51,49,70,39,良,180.2000,9,2018-11
60,77,杭州,1.084,153,37,52,30,81,49,良,189.9677,9,2018-12
61,98,杭州,1.2,138,77,55,19,98,73,良,232.2500,9,2019-01
