index,aqi,city,co,max_aqi,min_aqi,no2,o3,pm10,pm2_5,quality,rank,so2,time_point
0,47,林芝,0.432,54,40,9,88,42,13,优,48.3158,4,2017-01
1,51,林芝,0.439,69,40,8,98,42,15,良,54.8929,4,2017-02
2,58,林芝,0.31,96,43,9,106,43,14,良,55.4839,4,2017-03
3,63,林芝,0.38,104,41,9,114,36,13,良,39.8667,3,2017-04
4,59,林芝,0.455,75,43,10,111,36,15,良,51.2258,3,2017-05
5,49,林芝,0.32,89,18,9,93,26,9,优,62.2333,3,2017-06
6,34,林芝,0.287,63,17,9,63,28,7,优,82.7419,4,2017-07
7,31,林芝,0.352,44,20,8,61,23,6,优,47.4667,4,2017-08
8,32,林芝,0.363,62,17,9,64,20,6,优,,4,2017-09
9,38,林芝,0.371,54,18,9,76,22,7,优,,4,2017-10
10,42,林芝,0.473,51,25,12,82,31,11,优,,4,2017-11
11,36,林芝,0.419,54,15,15,48,32,14,优,,4,2017-12
12,49,林芝,0.41,92,38,9,90,34,12,优,74.4839,4,2018-01
13,52,林芝,0.375,69,0,6,102,27,12,良,79.2500,4,2018-02
14,62,林芝,0.381,85,42,8,113,24,12,良,129.4194,4,2018-03
15,72,林芝,0.447,90,51,8,126,29,12,良,173.9667,4,2018-04
16,67,林芝,0.406,94,43,7,119,26,9,良,162.7097,4,2018-05
17,52,林芝,0.493,99,24,7,97,20,8,良,102.0417,4,2018-06
18,30,林芝,0.468,50,20,7,59,15,6,优,,4,2018-07
19,31,林芝,0.455,49,21,5,61,11,6,优,45.0000,3,2018-08
20,32,林芝,0.42,44,15,4,64,7,4,优,100.5000,4,2018-09
21,44,林芝,0.435,55,31,5,87,11,6,优,81.5000,4,2018-10
22,39,林芝,0.42,50,28,6,79,17,8,优,67.1667,4,2018-11
23,38,林芝,0.465,44,32,6,75,16,8,优,62.8000,3,2018-12
24,43,林芝,0.525,49,34,7,86,17,9,优,63.6667,3,2019-01
