index,aqi,city,co,max_aqi,min_aqi,no2,o3,pm10,pm2_5,quality,rank,so2,time_point
0,76,果洛州,0.5,76,76,14,92,101,43,良,146.0000,18,2014-12
1,74,果洛州,0.573,137,53,15,90,94,44,良,119.5667,25,2015-01
2,77,果洛州,0.457,100,55,12,92,103,41,良,161.1071,27,2015-02
3,90,果洛州,0.457,191,58,10,109,125,51,良,225.7667,19,2015-03
4,82,果洛州,0.473,118,68,18,128,99,48,良,222.4667,24,2015-04
5,82,果洛州,0.545,109,55,22,130,73,43,良,234.5484,22,2015-05
6,81,果洛州,0.447,114,55,25,134,64,39,良,254.3000,21,2015-06
7,78,果洛州,0.8,102,44,30,128,68,30,良,239.5161,21,2015-07
8,73,果洛州,0.59,97,54,35,120,83,39,良,224.3667,21,2015-08
9,61,果洛州,0.869,82,43,32,100,63,16,良,176.0000,25,2015-09
10,83,果洛州,0.697,131,49,33,98,115,45,良,227.9677,32,2015-10
11,85,果洛州,0.853,131,58,27,90,116,54,良,243.4000,40,2015-11
12,73,果洛州,0.845,101,54,18,86,89,50,良,158.0323,41,2015-12
13,77,果洛州,0.761,196,48,10,91,96,45,良,164.0000,36,2016-01
14,71,果洛州,0.666,117,53,10,101,86,44,良,164.4138,29,2016-02
15,76,果洛州,0.713,108,56,15,109,87,52,良,162.0645,28,2016-03
16,74,果洛州,0.643,125,54,17,117,84,42,良,196.4667,23,2016-04
17,71,果洛州,0.545,95,0,17,116,69,39,良,188.6452,19,2016-05
18,74,果洛州,0.517,108,0,15,122,65,38,良,223.3000,17,2016-06
19,72,果洛州,0.51,100,40,17,111,70,41,良,233.3548,14,2016-07
20,67,果洛州,0.558,99,0,21,113,55,26,良,221.1290,11,2016-08
21,63,果洛州,0.507,80,47,18,115,36,15,良,175.8000,13,2016-09
22,63,果洛州,0.952,112,43,21,105,66,27,良,207.4516,23,2016-10
23,70,果洛州,0.987,94,50,19,94,89,33,良,166.9000,33,2016-11
24,71,果洛州,1.042,118,0,18,86,93,35,良,130.2903,43,2016-12
25,67,果洛州,1.377,122,47,18,94,84,35,良,126.1935,44,2017-01
26,78,果洛州,1.175,255,48,15,100,99,35,良,141.7857,39,2017-02
27,68,果洛州,1.123,93,53,14,120,58,26,良,112.4839,34,2017-03
28,75,果洛州,1.067,107,55,14,127,70,25,良,130.2333,29,2017-04
29,83,果洛州,0.926,112,58,14,138,51,22,良,119.2581,22,2017-05
30,85,果洛州,1.01,152,60,13,139,36,19,良,150.8333,16,2017-06
31,71,果洛州,1.123,98,48,15,126,34,22,良,170.5161,18,2017-07
32,59,果洛州,1.145,91,39,13,109,32,28,良,192.9032,14,2017-08
33,57,果洛州,0.97,82,41,15,106,29,22,良,107.9333,16,2017-09
34,54,果洛州,0.9,90,33,17,104,39,24,良,133.8387,16,2017-10
35,55,果洛州,1.023,72,36,21,100,54,28,良,94.8667,31,2017-11
36,67,果洛州,1.087,211,26,25,69,76,36,良,105.4839,39,2017-12
37,73,果洛州,0.877,179,55,21,118,81,32,良,160.7097,46,2018-01
38,83,果洛州,1.089,208,55,19,138,65,26,良,179.2857,44,2018-02
39,80,果洛州,0.661,208,52,20,133,56,27,良,183.6129,41,2018-03
40,71,果洛州,0.563,122,0,19,118,56,31,良,168.5667,29,2018-04
41,72,果洛州,0.487,143,0,16,130,58,29,良,190.3871,12,2018-05
42,68,果洛州,0.453,90,47,22,121,30,19,良,137.0667,7,2018-06
43,70,果洛州,0.403,99,38,11,123,28,17,良,202.9032,8,2018-07
44,57,果洛州,0.423,113,39,12,106,23,17,良,92.8387,9,2018-08
45,51,果洛州,0.347,66,36,10,98,19,10,良,87.4667,8,2018-09
46,50,果洛州,0.326,60,40,12,99,21,12,良,49.0968,13,2018-10
47,51,果洛州,0.517,202,32,15,95,28,15,良,99.8000,21,2018-11
48,52,果洛州,0.677,78,32,15,96,39,17,良,129.7097,27,2018-12
49,94,果洛州,0.575,122,65,15,151,38,20,良,174.7500,33,2019-01
