index,aqi,city,co,max_aqi,min_aqi,no2,o3,pm10,pm2_5,quality,rank,so2,time_point
0,140,柳州,1.22,217,46,50,106,138,106,轻度污染,63.9667,56,2013-12
1,178,柳州,1.435,299,56,55,105,171,138,中度污染,131.8710,46,2014-01
2,91,柳州,1.186,225,31,29,65,80,68,良,92.0000,25,2014-02
3,90,柳州,1.242,193,32,32,62,88,66,良,89.5161,34,2014-03
4,77,柳州,1.07,202,38,25,80,80,56,良,75.8333,27,2014-04
5,84,柳州,1.061,124,44,27,110,86,57,良,92.7419,30,2014-05
6,80,柳州,0.98,151,43,25,122,75,53,良,91.8000,27,2014-06
7,63,柳州,0.855,126,38,22,108,62,36,良,70.4839,25,2014-07
8,66,柳州,0.855,144,32,22,110,62,38,良,79.0645,24,2014-08
9,72,柳州,0.93,117,36,23,117,78,47,良,110.1000,31,2014-09
10,127,柳州,1.187,219,69,35,160,140,95,轻度污染,149.5161,42,2014-10
11,88,柳州,1.207,221,34,28,83,93,65,良,85.7333,43,2014-11
12,104,柳州,1.145,187,41,34,93,108,77,轻度污染,111.1290,50,2014-12
13,120,柳州,1.332,242,32,39,90,120,90,轻度污染,219.0000,36,2015-01
14,115,柳州,1.307,271,38,31,78,107,87,轻度污染,214.0000,24,2015-02
15,69,柳州,1.184,136,23,24,62,64,51,良,150.7419,17,2015-03
16,77,柳州,0.977,118,36,23,125,74,49,良,189.3667,22,2015-04
17,63,柳州,0.903,95,39,19,109,55,36,良,141.5484,19,2015-05
18,53,柳州,0.87,78,35,14,99,40,23,良,136.1667,15,2015-06
19,59,柳州,0.948,159,26,17,102,53,34,良,144.8710,18,2015-07
20,64,柳州,0.948,112,34,19,103,65,41,良,174.7097,24,2015-08
21,61,柳州,1.01,107,32,20,94,64,41,良,170.9333,24,2015-09
22,81,柳州,1.094,133,42,29,113,93,58,良,208.3871,34,2015-10
23,54,柳州,1.24,124,32,24,58,55,36,良,113.0667,26,2015-11
24,64,柳州,1.119,147,30,24,56,62,45,良,107.7742,31,2015-12
25,66,柳州,1.332,129,32,27,55,66,47,良,122.1935,28,2016-01
26,89,柳州,1.166,244,39,26,84,90,65,良,205.8621,29,2016-02
27,88,柳州,1.155,170,31,33,72,90,65,良,192.6774,24,2016-03
28,59,柳州,1.073,110,32,22,82,59,39,良,121.2667,19,2016-04
29,58,柳州,0.994,104,33,22,89,58,35,良,110.5484,18,2016-05
30,46,柳州,0.843,80,29,18,86,39,22,优,90.6000,13,2016-06
31,51,柳州,0.881,94,25,16,94,47,26,良,132.8710,12,2016-07
32,61,柳州,1.023,120,34,20,101,58,34,良,170.7419,19,2016-08
33,70,柳州,0.91,111,32,21,110,76,48,良,198.1333,27,2016-09
34,59,柳州,0.965,92,25,20,87,61,39,良,190.6774,21,2016-10
35,54,柳州,1.033,122,25,26,59,60,37,良,89.3000,20,2016-11
36,97,柳州,1.2,178,33,38,70,107,72,良,182.0968,27,2016-12
37,105,柳州,1.303,234,30,30,74,102,79,轻度污染,194.4194,21,2017-01
38,79,柳州,1.125,182,30,30,77,83,60,良,175.0357,20,2017-02
39,61,柳州,1.152,140,27,29,55,66,43,良,134.0323,19,2017-03
40,65,柳州,0.953,111,37,27,93,69,43,良,182.7333,14,2017-04
41,68,柳州,0.997,125,35,28,108,67,42,良,197.5161,17,2017-05
42,42,柳州,1.013,58,24,21,72,38,24,优,132.4667,10,2017-06
43,48,柳州,0.929,110,23,22,82,45,26,优,143.0968,11,2017-07
44,45,柳州,0.906,115,25,21,81,41,25,优,147.4516,11,2017-08
45,55,柳州,1.047,117,29,24,95,55,34,良,182.2333,15,2017-09
46,59,柳州,1.065,122,26,21,96,60,40,良,158.8710,23,2017-10
47,74,柳州,1.187,145,27,29,67,75,53,良,167.4333,30,2017-11
48,93,柳州,1.265,160,30,35,46,95,69,良,174.8065,34,2017-12
49,91,柳州,1.226,195,30,33,52,84,67,良,180.0968,27,2018-01
50,90,柳州,0.993,220,24,24,75,86,66,良,196.3214,17,2018-02
51,73,柳州,0.965,132,30,30,79,74,52,良,170.2258,13,2018-03
52,67,柳州,0.91,127,33,25,84,73,43,良,149.2667,12,2018-04
53,52,柳州,0.784,79,37,18,92,42,27,良,98.2581,8,2018-05
54,50,柳州,0.883,91,30,16,91,39,24,优,84.7667,10,2018-06
55,49,柳州,0.79,120,31,17,91,42,23,优,130.9677,8,2018-07
56,57,柳州,1.006,100,28,20,96,54,34,良,205.4839,13,2018-08
57,54,柳州,0.95,85,25,18,90,51,33,良,192.4000,13,2018-09
58,57,柳州,0.968,117,22,22,83,58,35,良,157.1935,17,2018-10
59,60,柳州,1.103,109,23,30,63,69,42,良,145.0333,20,2018-11
60,56,柳州,1.194,137,25,25,35,55,38,良,111.4516,18,2018-12
61,32,柳州,1.05,45,26,19,38,29,20,优,34.2500,15,2019-01
