index,aqi,city,co,max_aqi,min_aqi,no2,o3,pm10,pm2_5,quality,rank,so2,time_point
0,199,桂林,2.3,199,199,97,99,244,149,中度污染,179.0000,52,2013-12
1,185,桂林,1.581,372,55,50,99,182,145,中度污染,131.8710,52,2014-01
2,75,桂林,1.257,163,20,24,64,51,55,良,70.6429,21,2014-02
3,82,桂林,1.258,158,18,27,55,71,61,良,79.4194,19,2014-03
4,71,桂林,1.043,151,35,26,67,68,52,良,65.3667,18,2014-04
5,77,桂林,1.119,130,38,24,75,82,55,良,78.2258,16,2014-05
6,76,桂林,1.08,156,29,17,103,73,55,良,77.8667,17,2014-06
7,53,桂林,0.848,98,27,18,77,53,34,良,53.2903,20,2014-07
8,54,桂林,0.868,88,37,16,86,52,35,良,59.6129,19,2014-08
9,67,桂林,1.003,110,36,17,102,62,46,良,93.8667,23,2014-09
10,115,桂林,1.181,176,59,28,142,112,85,轻度污染,138.8065,33,2014-10
11,87,桂林,1.24,200,31,26,81,83,63,良,82.6000,32,2014-11
12,85,桂林,1.019,164,30,35,89,85,62,良,85.6129,39,2014-12
13,109,桂林,1.045,232,17,39,83,108,82,轻度污染,196.3226,30,2015-01
14,109,桂林,1.414,292,24,28,59,105,82,轻度污染,189.7857,16,2015-02
15,65,桂林,1.148,157,25,24,61,63,47,良,134.2581,16,2015-03
16,72,桂林,1.103,109,36,23,106,76,49,良,170.9333,19,2015-04
17,60,桂林,0.961,85,35,19,93,55,38,良,122.0645,16,2015-05
18,43,桂林,0.82,67,29,15,75,39,25,优,82.4000,15,2015-06
19,55,桂林,0.887,95,27,14,95,49,33,良,133.5161,18,2015-07
20,60,桂林,0.897,110,29,20,97,54,35,良,157.2258,21,2015-08
21,73,桂林,1.05,123,23,21,99,69,51,良,217.0667,23,2015-09
22,88,桂林,0.99,131,25,27,129,78,59,良,231.1935,29,2015-10
23,59,桂林,1.333,160,26,29,50,55,39,良,115.7000,21,2015-11
24,71,桂林,1.1,147,27,29,57,67,51,良,128.4839,21,2015-12
25,77,桂林,1.526,201,34,32,55,76,55,良,144.8710,18,2016-01
26,93,桂林,1.1,271,36,31,90,96,69,良,218.6552,17,2016-02
27,91,桂林,1.258,188,30,39,75,93,66,良,205.4516,22,2016-03
28,65,桂林,1.06,165,37,30,77,63,44,良,140.1333,19,2016-04
29,67,桂林,0.952,107,35,28,91,64,43,良,160.9032,19,2016-05
30,47,桂林,0.777,76,30,18,85,40,26,优,94.5333,12,2016-06
31,46,桂林,0.7,97,23,18,81,40,24,优,101.3548,14,2016-07
32,64,桂林,0.91,150,27,22,108,55,36,良,177.3548,18,2016-08
33,87,桂林,0.837,128,37,20,135,68,52,良,258.2000,20,2016-09
34,57,桂林,0.877,90,22,19,82,53,39,良,176.4839,15,2016-10
35,57,桂林,1.02,144,17,28,60,58,39,良,97.6667,14,2016-11
36,95,桂林,1.106,170,28,38,78,92,70,良,174.6452,19,2016-12
37,104,桂林,1.3,285,28,33,75,95,78,轻度污染,190.3871,16,2017-01
38,78,桂林,1.089,151,32,31,77,73,58,良,157.3929,12,2017-02
39,56,桂林,0.945,133,26,29,63,53,39,良,137.4516,14,2017-03
40,67,桂林,0.837,127,30,27,90,64,43,良,171.4000,14,2017-04
41,71,桂林,0.794,116,32,24,113,57,39,良,159.4194,15,2017-05
42,41,桂林,0.74,62,27,21,67,35,23,优,111.8333,10,2017-06
43,44,桂林,0.594,99,22,16,78,39,23,优,114.4839,11,2017-07
44,45,桂林,0.716,100,25,17,78,38,22,优,134.8387,10,2017-08
45,66,桂林,0.83,139,32,17,114,59,38,良,184.6667,15,2017-09
46,64,桂林,0.739,111,32,18,109,55,39,良,168.1613,15,2017-10
47,76,桂林,0.88,149,27,32,83,70,54,良,148.0333,19,2017-11
48,99,桂林,0.968,178,28,38,53,87,72,良,184.0645,27,2017-12
49,93,桂林,1.074,202,25,33,59,81,68,良,164.6774,22,2018-01
50,90,桂林,0.886,245,25,28,77,84,66,良,174.6429,14,2018-02
51,62,桂林,0.832,127,22,31,82,57,41,良,121.4194,11,2018-03
52,67,桂林,0.833,115,32,25,88,71,40,良,147.5000,11,2018-04
53,52,桂林,0.9,88,34,20,88,47,29,良,91.0645,9,2018-05
54,52,桂林,0.717,103,29,16,95,36,22,良,86.4333,10,2018-06
55,50,桂林,0.681,108,28,17,92,36,22,良,137.5484,11,2018-07
56,59,桂林,0.748,99,26,16,104,41,27,良,134.0323,12,2018-08
57,57,桂林,0.647,98,20,15,100,44,30,良,167.3000,11,2018-09
58,65,桂林,0.719,133,24,21,103,50,33,良,132.1935,12,2018-10
59,56,桂林,0.843,103,20,28,75,54,36,良,129.1000,11,2018-11
60,51,桂林,0.939,115,18,25,44,47,35,良,100.1613,10,2018-12
61,37,桂林,0.975,40,29,18,42,29,24,优,56.5000,8,2019-01
