index,aqi,city,co,max_aqi,min_aqi,no2,o3,pm10,pm2_5,quality,rank,so2,time_point
0,90,梅州,2.0,90,90,66,78,124,67,良,34.0000,21,2013-12
1,96,梅州,1.49,183,40,41,98,102,71,良,59.3226,17,2014-01
2,50,梅州,0.882,78,12,22,73,44,33,优,35.9286,9,2014-02
3,59,梅州,1.016,105,20,29,77,62,39,良,36.9032,13,2014-03
4,69,梅州,1.02,105,37,21,113,64,41,良,64.7333,18,2014-04
5,46,梅州,0.965,93,31,17,79,39,21,优,26.8710,15,2014-05
6,52,梅州,0.893,116,31,14,90,47,25,良,39.4667,15,2014-06
7,51,梅州,0.881,89,34,14,90,47,26,良,47.4194,12,2014-07
8,55,梅州,0.884,105,30,15,99,44,24,良,62.6129,14,2014-08
9,55,梅州,1.007,84,30,16,98,51,29,良,66.0667,17,2014-09
10,83,梅州,1.11,110,56,28,128,93,59,良,90.1613,23,2014-10
11,70,梅州,1.19,110,25,28,79,74,51,良,69.3000,19,2014-11
12,63,梅州,1.1,88,31,34,70,63,45,良,45.2903,21,2014-12
13,71,梅州,1.123,105,31,38,72,74,51,良,106.0968,12,2015-01
14,70,梅州,1.079,125,30,23,83,67,51,良,126.7857,10,2015-02
15,51,梅州,1.019,97,16,20,72,48,35,良,85.1290,9,2015-03
16,62,梅州,0.867,121,14,21,94,58,40,良,117.6667,7,2015-04
17,42,梅州,0.916,89,29,16,71,36,22,优,50.4839,6,2015-05
18,39,梅州,0.733,83,26,13,73,33,19,优,61.8667,7,2015-06
19,46,梅州,0.755,83,26,14,79,42,25,优,90.1290,6,2015-07
20,52,梅州,0.797,102,25,17,93,43,26,良,118.0000,7,2015-08
21,56,梅州,0.97,87,27,19,96,51,35,良,148.7000,9,2015-09
22,59,梅州,0.871,104,26,28,89,61,40,良,119.1935,11,2015-10
23,57,梅州,1.027,79,21,27,64,62,37,良,137.3333,12,2015-11
24,49,梅州,1.142,84,19,25,42,48,33,优,65.8710,7,2015-12
25,47,梅州,1.032,93,26,26,45,41,29,优,49.9032,6,2016-01
26,50,梅州,0.941,155,24,20,63,46,33,良,64.5517,6,2016-02
27,59,梅州,1.003,104,21,31,74,56,36,良,96.3548,7,2016-03
28,55,梅州,0.943,104,33,25,84,49,31,良,90.9000,7,2016-04
29,49,梅州,0.832,85,28,22,85,47,26,优,66.8065,7,2016-05
30,41,梅州,0.68,77,27,17,76,36,16,优,69.8000,6,2016-06
31,49,梅州,0.755,108,30,18,84,42,22,优,115.9677,7,2016-07
32,43,梅州,0.777,79,23,17,81,38,22,优,79.3871,7,2016-08
33,48,梅州,0.87,87,20,21,83,47,28,优,92.3333,6,2016-09
34,39,梅州,0.906,64,23,23,58,39,22,优,78.1613,8,2016-10
35,53,梅州,1.01,97,20,31,59,55,33,良,86.0333,9,2016-11
36,64,梅州,1.174,104,34,41,69,74,44,良,87.3548,10,2016-12
37,62,梅州,1.248,194,31,31,68,60,43,良,91.6452,9,2017-01
38,55,梅州,1.064,89,22,27,90,47,36,良,86.0357,9,2017-02
39,51,梅州,1.158,77,28,34,76,51,29,良,101.2581,9,2017-03
40,56,梅州,1.073,114,26,29,92,52,29,良,100.8333,10,2017-04
41,59,梅州,1.029,119,32,27,101,50,30,良,105.5484,7,2017-05
42,34,梅州,0.87,48,22,19,60,31,16,优,78.7333,6,2017-06
43,41,梅州,0.803,78,20,18,68,36,18,优,90.7742,7,2017-07
44,48,梅州,0.806,99,19,20,87,41,21,优,133.3871,7,2017-08
45,53,梅州,0.957,85,32,26,92,54,29,良,149.5667,8,2017-09
46,53,梅州,0.984,94,25,31,87,52,33,良,158.0645,10,2017-10
47,54,梅州,1.11,81,21,32,61,54,36,良,116.2667,8,2017-11
48,64,梅州,1.029,102,23,41,41,71,45,良,107.1935,7,2017-12
49,61,梅州,1.074,114,26,39,62,61,40,良,107.5484,7,2018-01
50,65,梅州,0.993,292,30,23,74,54,46,良,100.9643,5,2018-02
51,64,梅州,0.926,95,35,33,101,56,37,良,133.5484,6,2018-03
52,63,梅州,0.96,100,29,33,96,66,40,良,133.5333,6,2018-04
53,57,梅州,0.774,89,36,24,100,49,26,良,117.7742,6,2018-05
54,45,梅州,0.82,74,23,20,83,34,19,优,67.0000,5,2018-06
55,43,梅州,0.858,88,22,19,78,38,19,优,103.7742,6,2018-07
56,47,梅州,0.903,72,22,20,90,32,18,优,76.2258,7,2018-08
57,43,梅州,0.887,76,20,21,76,38,20,优,126.9333,7,2018-09
58,58,梅州,0.932,92,23,34,95,56,31,良,163.8710,10,2018-10
59,48,梅州,0.99,64,28,30,58,49,28,优,105.2667,9,2018-11
60,43,梅州,1.013,77,20,29,39,44,27,优,77.9677,8,2018-12
61,37,梅州,1.075,57,29,24,19,33,25,优,26.2500,8,2019-01
