index,aqi,city,co,max_aqi,min_aqi,no2,o3,pm10,pm2_5,quality,rank,so2,time_point
0,41,楚雄州,0.9,41,41,15,61,41,22,优,20.0000,19,2014-12
1,46,楚雄州,0.968,63,15,24,41,47,27,优,44.0323,31,2015-01
2,46,楚雄州,0.711,56,27,17,47,47,29,优,51.5000,21,2015-02
3,51,楚雄州,0.71,96,26,18,65,52,33,良,79.0968,19,2015-03
4,42,楚雄州,0.59,63,27,15,62,41,23,优,40.2667,17,2015-04
5,46,楚雄州,0.616,61,29,15,81,40,24,优,57.4516,22,2015-05
6,30,楚雄州,0.547,43,17,8,54,24,11,优,25.9667,14,2015-06
7,45,楚雄州,0.635,93,21,18,82,35,20,优,83.2258,19,2015-07
8,35,楚雄州,0.729,67,19,19,60,31,17,优,46.9677,25,2015-08
9,32,楚雄州,0.72,57,18,16,54,28,15,优,31.1667,20,2015-09
10,41,楚雄州,0.726,55,30,23,74,34,20,优,48.3226,28,2015-10
11,38,楚雄州,0.84,51,21,24,65,33,19,优,51.4667,29,2015-11
12,45,楚雄州,0.897,59,24,28,68,43,28,优,59.6774,31,2015-12
13,47,楚雄州,0.794,58,27,29,79,45,28,优,67.1290,28,2016-01
14,50,楚雄州,0.807,80,26,20,87,44,30,良,78.1034,25,2016-02
15,59,楚雄州,0.706,81,39,26,107,53,33,良,95.1613,25,2016-03
16,61,楚雄州,0.743,77,44,27,112,49,28,良,123.7000,26,2016-04
17,48,楚雄州,0.694,72,29,18,94,34,20,优,67.0323,19,2016-05
18,32,楚雄州,0.67,60,17,13,64,18,9,优,29.9333,15,2016-06
19,26,楚雄州,0.668,41,15,13,49,20,9,优,21.1613,15,2016-07
20,47,楚雄州,0.777,70,28,22,89,34,21,优,107.5806,23,2016-08
21,38,楚雄州,0.707,69,20,19,66,31,21,优,50.4000,21,2016-09
22,36,楚雄州,0.903,69,23,19,64,30,19,优,56.8065,24,2016-10
23,37,楚雄州,1.047,69,22,22,58,32,19,优,44.3667,24,2016-11
24,46,楚雄州,1.197,72,25,24,55,45,29,优,44.6129,28,2016-12
25,43,楚雄州,1.106,71,30,25,62,41,25,优,39.6774,21,2017-01
26,51,楚雄州,1.021,70,34,24,95,45,31,良,70.0000,21,2017-02
27,66,楚雄州,1.013,90,41,26,118,51,33,良,106.9677,24,2017-03
28,61,楚雄州,0.867,110,35,20,108,44,27,良,102.9000,16,2017-04
29,47,楚雄州,0.948,62,23,20,90,39,23,优,85.0000,16,2017-05
30,40,楚雄州,0.79,84,21,13,77,25,11,优,51.4000,16,2017-06
31,39,楚雄州,0.816,64,21,20,67,37,16,优,112.7742,21,2017-07
32,34,楚雄州,0.884,66,21,17,64,29,14,优,106.8710,18,2017-08
33,31,楚雄州,0.8,65,20,15,55,28,15,优,75.9333,16,2017-09
34,34,楚雄州,0.9,57,20,16,59,32,17,优,99.0000,15,2017-10
35,47,楚雄州,1.027,80,27,27,70,48,25,优,119.8667,23,2017-11
36,60,楚雄州,1.094,89,42,30,47,60,34,良,119.0323,23,2017-12
37,50,楚雄州,0.89,77,29,29,73,52,28,优,80.0323,21,2018-01
38,53,楚雄州,0.846,72,30,24,86,52,33,良,79.9643,17,2018-02
39,69,楚雄州,0.929,92,50,36,118,71,43,良,169.1290,20,2018-03
40,69,楚雄州,0.727,90,52,23,120,63,35,良,162.5000,15,2018-04
41,56,楚雄州,0.497,78,21,13,104,43,21,良,120.4194,12,2018-05
42,39,楚雄州,0.553,92,19,12,69,31,15,优,49.6000,11,2018-06
43,37,楚雄州,0.642,75,23,15,71,25,14,优,79.2258,12,2018-07
44,48,楚雄州,0.829,80,19,19,86,34,27,优,166.4194,13,2018-08
45,29,楚雄州,0.837,48,21,13,55,22,15,优,79.6333,12,2018-09
46,31,楚雄州,0.658,40,18,13,58,23,15,优,58.0000,14,2018-10
47,43,楚雄州,0.807,53,34,24,73,41,25,优,72.0333,22,2018-11
48,37,楚雄州,0.871,64,21,19,62,34,20,优,70.4516,17,2018-12
49,30,楚雄州,0.825,39,26,9,55,21,12,优,8.0000,10,2019-01
