index,aqi,city,co,max_aqi,min_aqi,no2,o3,pm10,pm2_5,quality,rank,so2,time_point
0,225,武汉,1.94,351,77,93,46,218,179,重度污染,93.2333,77,2013-12
1,229,武汉,2.026,337,93,80,51,195,183,重度污染,152.2903,68,2014-01
2,122,武汉,1.304,279,37,46,53,82,93,轻度污染,114.7778,33,2014-02
3,110,武汉,1.219,151,64,60,81,122,83,轻度污染,129.0000,40,2014-03
4,87,武汉,1.097,184,37,53,101,96,63,良,94.2000,29,2014-04
5,112,武汉,1.035,281,43,56,109,143,75,轻度污染,124.0323,28,2014-05
6,119,武汉,1.087,274,32,44,154,127,83,轻度污染,138.0333,24,2014-06
7,81,武汉,0.884,182,30,39,127,82,44,良,101.1290,19,2014-07
8,78,武汉,0.971,127,47,36,124,73,44,良,110.4516,18,2014-08
9,74,武汉,1.003,125,21,37,111,76,46,良,109.5667,22,2014-09
10,123,武汉,1.223,229,31,60,119,140,91,轻度污染,136.9355,30,2014-10
11,105,武汉,1.287,285,44,58,61,94,77,轻度污染,113.7333,32,2014-11
12,114,武汉,1.271,250,73,63,54,126,84,轻度污染,133.9677,42,2014-12
13,161,武汉,1.58,285,46,74,47,138,123,中度污染,289.5000,36,2015-01
14,142,武汉,1.457,223,31,56,62,117,108,轻度污染,284.7857,27,2015-02
15,94,武汉,1.135,204,33,49,74,98,68,良,236.9677,24,2015-03
16,87,武汉,1.067,133,36,52,103,110,59,良,230.4667,20,2015-04
17,101,武汉,1.023,174,45,45,137,112,65,轻度污染,269.5484,15,2015-05
18,73,武汉,0.91,116,33,40,118,78,41,良,215.0000,13,2015-06
19,76,武汉,0.768,143,43,33,126,68,36,良,209.7419,10,2015-07
20,90,武汉,0.784,158,23,37,144,85,41,良,261.5484,14,2015-08
21,92,武汉,0.927,146,46,41,143,88,47,良,288.0000,19,2015-09
22,101,武汉,1.135,153,40,65,119,131,71,轻度污染,264.2903,23,2015-10
23,78,武汉,1.243,129,30,46,37,80,57,良,210.9000,18,2015-11
24,146,武汉,1.297,334,55,58,36,157,109,轻度污染,264.9677,21,2015-12
25,144,武汉,1.352,249,80,51,40,141,107,轻度污染,297.7097,21,2016-01
26,113,武汉,1.083,228,43,46,86,123,80,轻度污染,268.8966,20,2016-02
27,115,武汉,1.055,202,39,58,94,136,84,轻度污染,264.9355,19,2016-03
28,76,武汉,1.007,111,42,50,102,89,47,良,194.8333,11,2016-04
29,76,武汉,0.819,122,42,41,109,86,44,良,197.6452,8,2016-05
30,69,武汉,0.753,114,33,38,110,64,31,良,195.9000,6,2016-06
31,70,武汉,0.668,128,29,31,115,57,24,良,210.8387,5,2016-07
32,86,武汉,0.839,137,27,34,137,78,34,良,268.9032,7,2016-08
33,94,武汉,0.807,163,34,45,145,99,45,良,270.9000,12,2016-09
34,60,武汉,1.058,113,32,41,56,59,35,良,179.0968,8,2016-10
35,84,武汉,1.233,182,28,52,42,93,61,良,198.8000,11,2016-11
36,123,武汉,1.416,186,62,67,43,123,93,轻度污染,254.9355,14,2016-12
37,119,武汉,1.39,232,45,54,53,106,85,轻度污染,239.0323,14,2017-01
38,101,武汉,1.304,219,54,57,69,96,73,轻度污染,205.8214,14,2017-02
39,93,武汉,1.135,272,43,58,77,96,64,良,222.3871,12,2017-03
40,80,武汉,1.09,106,36,54,101,94,44,良,205.0333,11,2017-04
41,104,武汉,1.0,500,33,50,129,89,39,轻度污染,241.0323,8,2017-05
42,75,武汉,0.983,122,32,38,119,61,32,良,188.1667,5,2017-06
43,63,武汉,0.781,125,31,29,110,57,23,良,184.9355,4,2017-07
44,65,武汉,0.948,100,30,32,113,51,24,良,177.2903,6,2017-08
45,74,武汉,1.103,130,34,45,101,61,30,良,159.1333,8,2017-09
46,62,武汉,1.032,133,23,46,75,64,34,良,133.5806,9,2017-10
47,105,武汉,1.233,191,51,70,63,115,76,轻度污染,234.2333,13,2017-11
48,130,武汉,1.306,270,60,71,25,126,95,轻度污染,238.8387,16,2017-12
49,116,武汉,1.2,226,52,53,48,87,86,轻度污染,244.4839,11,2018-01
50,89,武汉,1.104,169,0,54,68,87,63,良,214.2143,12,2018-02
51,78,武汉,1.029,120,35,57,80,83,50,良,200.4839,9,2018-03
52,65,武汉,0.977,127,0,49,107,82,39,良,163.6333,8,2018-04
53,63,武汉,0.897,119,0,40,108,61,30,良,153.4839,6,2018-05
54,96,武汉,0.96,196,40,38,148,60,33,良,67.3333,7,2018-06
55,66,武汉,0.877,112,24,31,114,48,25,良,188.3226,7,2018-07
56,82,武汉,0.955,160,38,30,136,45,26,良,157.6774,6,2018-08
57,68,武汉,0.97,125,38,41,115,54,29,良,198.2000,9,2018-09
58,80,武汉,0.987,130,53,55,105,72,42,良,227.4516,11,2018-10
59,88,武汉,1.183,252,29,53,60,80,63,良,233.3667,10,2018-11
60,98,武汉,1.174,210,28,45,33,85,72,良,233.0968,9,2018-12
61,90,武汉,1.125,122,62,51,28,71,67,良,185.2500,8,2019-01
