index,aqi,city,co,max_aqi,min_aqi,no2,o3,pm10,pm2_5,quality,rank,so2,time_point
0,182,毕节,1.9,182,182,91,50,209,137,中度污染,351.0000,67,2014-12
1,79,毕节,1.471,159,16,32,53,78,59,良,121.1290,26,2015-01
2,69,毕节,1.2,149,20,25,67,67,50,良,116.8929,20,2015-02
3,59,毕节,1.158,103,22,22,89,55,38,良,113.0645,19,2015-03
4,54,毕节,1.01,96,32,22,99,49,29,良,79.3333,16,2015-04
5,52,毕节,0.929,77,31,20,93,47,28,良,89.5161,14,2015-05
6,44,毕节,0.9,65,29,18,82,31,19,优,86.3333,11,2015-06
7,55,毕节,0.871,79,30,24,96,40,25,良,131.0968,13,2015-07
8,41,毕节,0.939,59,25,25,66,32,21,优,67.2581,11,2015-08
9,38,毕节,0.903,69,25,23,61,28,19,优,52.0000,11,2015-09
10,49,毕节,1.077,74,25,25,77,47,31,优,74.8065,13,2015-10
11,47,毕节,1.227,87,28,27,56,46,31,优,87.9000,17,2015-11
12,49,毕节,1.042,102,25,28,41,44,31,优,65.6774,19,2015-12
13,51,毕节,1.242,92,28,27,48,49,32,良,80.1290,15,2016-01
14,63,毕节,1.148,139,27,23,73,63,44,良,115.7241,15,2016-02
15,57,毕节,0.784,113,32,28,84,55,36,良,82.2581,18,2016-03
16,47,毕节,0.71,75,29,23,84,38,24,优,58.3667,16,2016-04
17,53,毕节,0.784,80,27,22,97,42,26,良,85.5161,15,2016-05
18,45,毕节,0.837,80,28,21,80,29,17,优,85.0667,16,2016-06
19,42,毕节,0.903,63,28,23,79,29,17,优,93.9677,15,2016-07
20,42,毕节,0.935,65,24,22,78,31,20,优,75.7097,13,2016-08
21,46,毕节,1.01,78,27,26,79,37,25,优,87.6000,13,2016-09
22,42,毕节,0.923,69,23,24,61,34,23,优,89.3226,14,2016-10
23,54,毕节,0.757,109,23,28,55,48,36,良,97.9333,11,2016-11
24,66,毕节,0.99,138,28,34,46,58,47,良,96.1935,16,2016-12
25,63,毕节,1.29,149,23,27,42,52,45,良,93.0645,15,2017-01
26,52,毕节,1.271,98,23,23,55,43,36,良,85.0000,13,2017-02
27,41,毕节,1.097,82,26,23,60,31,23,优,42.2258,16,2017-03
28,60,毕节,1.143,110,30,23,103,48,32,良,103.6000,19,2017-04
29,69,毕节,0.89,106,39,20,122,41,26,良,110.4516,11,2017-05
30,53,毕节,0.957,97,33,18,96,34,19,良,116.3000,8,2017-06
31,55,毕节,0.9,97,25,20,94,50,23,良,191.0000,8,2017-07
32,57,毕节,0.752,80,33,19,101,60,27,良,231.8065,12,2017-08
33,56,毕节,0.833,94,30,17,92,54,30,良,162.7000,11,2017-09
34,43,毕节,0.852,103,22,18,68,43,25,优,88.9677,11,2017-10
35,65,毕节,0.987,138,24,24,71,76,46,良,132.8000,10,2017-11
36,83,毕节,1.21,228,25,33,49,94,59,良,140.6774,15,2017-12
37,67,毕节,1.297,140,30,28,59,74,47,良,122.4516,15,2018-01
38,74,毕节,1.039,149,32,17,85,77,53,良,162.1786,11,2018-02
39,73,毕节,1.019,112,32,23,106,84,48,良,184.4516,12,2018-03
40,74,毕节,0.92,118,36,21,120,82,41,良,182.9667,15,2018-04
41,69,毕节,0.855,105,34,19,114,67,32,良,173.9032,16,2018-05
42,54,毕节,0.74,95,28,17,94,42,23,良,102.1333,8,2018-06
43,50,毕节,0.823,74,31,14,92,39,22,优,149.9032,9,2018-07
44,59,毕节,0.968,122,31,17,102,47,28,良,208.0968,11,2018-08
45,38,毕节,0.923,63,27,13,70,29,16,优,114.3667,9,2018-09
46,34,毕节,0.91,63,20,17,51,29,17,优,59.9355,11,2018-10
47,49,毕节,0.793,112,15,20,61,51,31,优,95.6667,10,2018-11
48,43,毕节,1.026,108,20,23,39,40,27,优,69.5161,13,2018-12
49,42,毕节,1.0,53,30,28,26,36,26,优,52.7500,15,2019-01
