index,aqi,city,co,max_aqi,min_aqi,no2,o3,pm10,pm2_5,quality,rank,so2,time_point
0,107,汉中,2.7,107,107,55,75,111,81,轻度污染,262.0000,35,2014-12
1,176,汉中,2.497,315,40,40,46,162,137,中度污染,293.8065,29,2015-01
2,109,汉中,1.775,190,42,29,74,111,81,轻度污染,234.3929,17,2015-02
3,78,汉中,1.281,152,34,27,80,88,55,良,178.0968,16,2015-03
4,65,汉中,1.02,117,37,22,105,62,34,良,127.4333,12,2015-04
5,73,汉中,1.132,124,36,20,112,72,46,良,179.1290,10,2015-05
6,57,汉中,1.16,85,26,18,100,47,31,良,150.3000,9,2015-06
7,74,汉中,0.939,104,43,16,126,52,35,良,217.9032,10,2015-07
8,60,汉中,1.287,127,32,19,103,49,30,良,156.0000,9,2015-08
9,55,汉中,1.057,85,36,23,88,46,33,良,143.7000,8,2015-09
10,65,汉中,1.139,100,30,32,69,70,43,良,141.1290,10,2015-10
11,62,汉中,1.76,133,34,32,35,60,39,良,137.6333,12,2015-11
12,123,汉中,2.268,236,55,49,35,127,93,轻度污染,249.1290,22,2015-12
13,154,汉中,2.316,238,47,51,51,146,116,中度污染,295.5806,24,2016-01
14,112,汉中,2.5,225,52,38,71,119,80,轻度污染,264.3103,21,2016-02
15,82,汉中,1.765,130,49,39,98,98,55,良,179.7742,15,2016-03
16,64,汉中,1.133,90,36,33,96,64,34,良,146.5333,12,2016-04
17,74,汉中,0.877,111,32,25,122,64,35,良,191.1935,9,2016-05
18,73,汉中,0.887,101,37,24,126,56,29,良,217.7000,10,2016-06
19,61,汉中,0.961,89,35,19,106,47,22,良,182.9677,6,2016-07
20,59,汉中,0.713,91,32,20,105,56,26,良,170.5484,7,2016-08
21,65,汉中,0.903,94,36,26,101,65,37,良,178.1000,14,2016-09
22,51,汉中,0.903,90,27,27,58,52,31,良,127.8387,11,2016-10
23,95,汉中,1.573,186,30,39,34,122,68,良,222.5333,18,2016-11
24,153,汉中,2.039,242,66,48,33,171,116,中度污染,294.7419,22,2016-12
25,141,汉中,2.126,282,43,41,48,161,109,轻度污染,265.1290,18,2017-01
26,110,汉中,1.707,224,35,37,70,123,83,轻度污染,242.2143,17,2017-02
27,73,汉中,1.081,133,41,37,92,85,45,良,196.8710,13,2017-03
28,71,汉中,1.06,104,43,35,102,76,38,良,182.7667,18,2017-04
29,89,汉中,1.045,132,53,29,131,81,46,良,235.1613,17,2017-05
30,86,汉中,0.977,129,34,24,140,52,32,良,189.0667,15,2017-06
31,80,汉中,0.955,142,45,21,136,46,23,良,190.0000,13,2017-07
32,69,汉中,1.09,121,33,19,120,45,22,良,164.1935,11,2017-08
33,51,汉中,0.977,80,24,22,82,47,24,良,131.3000,7,2017-09
34,47,汉中,0.987,86,21,24,49,46,28,优,106.2258,8,2017-10
35,95,汉中,1.48,214,36,40,36,105,70,良,226.6000,16,2017-11
36,157,汉中,2.103,262,84,56,31,149,110,中度污染,295.3226,22,2017-12
37,130,汉中,1.839,330,43,42,64,128,99,轻度污染,245.8710,17,2018-01
38,110,汉中,1.554,257,0,36,83,115,82,轻度污染,256.2143,14,2018-02
39,70,汉中,1.135,107,36,36,88,81,48,良,168.1613,11,2018-03
40,72,汉中,0.913,121,0,32,115,81,37,良,170.1333,14,2018-04
41,75,汉中,0.71,120,0,24,112,80,38,良,194.0000,11,2018-05
42,71,汉中,0.85,132,33,21,119,58,30,良,159.0667,11,2018-06
43,54,汉中,0.771,94,30,18,99,44,23,良,159.0323,8,2018-07
44,73,汉中,0.684,103,35,17,127,46,25,良,166.2903,7,2018-08
45,46,汉中,0.69,70,23,19,78,39,20,优,151.4000,6,2018-09
46,59,汉中,0.797,79,39,28,70,65,38,良,212.3548,11,2018-10
47,76,汉中,1.167,145,24,34,41,82,54,良,203.6000,12,2018-11
48,114,汉中,1.206,242,50,33,36,123,79,轻度污染,275.1613,10,2018-12
49,136,汉中,1.625,169,89,38,24,113,102,轻度污染,268.0000,10,2019-01
