index,aqi,city,co,max_aqi,min_aqi,no2,o3,pm10,pm2_5,quality,rank,so2,time_point
0,117,江门,1.63,204,20,72,79,129,88,轻度污染,50.6000,45,2013-12
1,101,江门,1.574,165,56,66,87,116,76,轻度污染,68.6452,33,2014-01
2,63,江门,1.293,207,16,39,52,72,45,良,47.2143,21,2014-02
3,72,江门,1.1,154,34,40,51,77,50,良,60.4516,30,2014-03
4,67,江门,0.933,145,44,33,88,64,40,良,53.4667,22,2014-04
5,46,江门,0.819,99,26,22,52,49,25,优,26.0645,16,2014-05
6,56,江门,0.733,169,25,21,81,50,28,良,42.1333,16,2014-06
7,50,江门,0.745,115,26,17,81,40,24,良,47.0323,12,2014-07
8,40,江门,0.848,93,22,15,70,32,17,优,30.4516,13,2014-08
9,66,江门,1.0,174,22,21,109,46,29,良,77.9333,17,2014-09
10,100,江门,0.997,160,49,27,145,76,61,轻度污染,120.0968,24,2014-10
11,80,江门,1.217,150,31,35,77,77,58,良,81.7333,26,2014-11
12,96,江门,1.4,175,23,64,56,102,70,良,110.5484,33,2014-12
13,90,江门,1.271,153,27,55,92,89,67,良,168.8710,27,2015-01
14,81,江门,0.964,157,31,42,81,81,59,良,153.5714,17,2015-02
15,59,江门,1.048,142,26,41,46,57,40,良,107.5484,19,2015-03
16,54,江门,0.743,110,25,27,83,47,29,良,92.4333,14,2015-04
17,30,江门,0.684,58,19,21,43,29,16,优,13.5161,9,2015-05
18,25,江门,0.553,40,16,15,40,22,13,优,9.3333,9,2015-06
19,41,江门,0.755,112,19,16,74,32,20,优,66.3548,10,2015-07
20,60,江门,0.919,136,22,17,96,43,27,良,149.2581,15,2015-08
21,70,江门,0.917,139,25,20,111,47,32,良,189.5333,16,2015-09
22,69,江门,1.074,171,21,34,108,66,40,良,153.5161,21,2015-10
23,63,江门,1.147,98,28,45,66,64,36,良,159.4000,20,2015-11
24,60,江门,1.023,94,33,45,38,59,33,良,99.5484,15,2015-12
25,56,江门,1.081,102,26,41,33,50,30,良,89.7742,11,2016-01
26,51,江门,0.959,87,24,29,62,52,29,良,75.5862,8,2016-02
27,66,江门,0.987,110,35,42,70,66,31,良,121.6774,15,2016-03
28,56,江门,0.8,102,35,31,65,53,31,良,95.6333,11,2016-04
29,66,江门,0.761,181,23,22,99,47,28,良,117.3226,11,2016-05
30,41,江门,0.67,96,24,20,72,34,18,优,63.1000,9,2016-06
31,58,江门,0.613,207,22,18,92,40,21,良,120.8065,8,2016-07
32,77,江门,0.839,170,28,26,122,52,32,良,217.1290,11,2016-08
33,75,江门,0.813,182,31,32,112,61,37,良,195.9667,13,2016-09
34,72,江门,0.871,119,33,34,109,58,35,良,230.8065,11,2016-10
35,79,江门,0.973,206,39,49,88,74,47,良,185.0333,14,2016-11
36,92,江门,1.065,138,45,70,91,99,63,良,176.9355,18,2016-12
37,85,江门,1.168,202,38,49,95,80,58,良,154.9032,11,2017-01
38,71,江门,0.939,156,43,38,106,61,40,良,93.6429,12,2017-02
39,71,江门,1.081,105,44,50,66,75,41,良,156.2903,13,2017-03
40,75,江门,0.853,177,35,37,97,57,33,良,114.9333,11,2017-04
41,100,江门,0.865,210,24,31,147,58,35,良,127.0000,11,2017-05
42,35,江门,0.603,59,26,16,62,30,15,优,75.7667,7,2017-06
43,58,江门,0.626,202,23,25,90,36,21,良,84.3548,9,2017-07
44,59,江门,0.529,200,22,22,97,36,19,良,99.1613,8,2017-08
45,100,江门,0.87,202,25,30,147,52,31,轻度污染,134.6333,12,2017-09
46,100,江门,0.965,200,33,41,151,61,37,良,158.4194,12,2017-10
47,79,江门,1.067,151,43,52,87,77,49,良,160.4000,15,2017-11
48,92,江门,1.032,176,40,68,54,97,64,良,147.8387,19,2017-12
49,86,江门,1.055,176,36,63,76,86,57,良,176.3871,13,2018-01
50,64,江门,0.732,100,25,34,82,59,42,良,121.6071,9,2018-02
51,74,江门,0.735,133,34,34,115,56,33,良,164.4516,11,2018-03
52,68,江门,0.743,140,30,32,94,67,33,良,140.7333,11,2018-04
53,51,江门,0.632,118,29,20,88,36,18,良,88.7097,9,2018-05
54,69,江门,0.67,203,27,21,108,36,18,良,32.4667,8,2018-06
55,47,江门,0.606,141,28,20,79,32,15,优,119.4516,7,2018-07
56,76,江门,0.887,204,34,26,118,43,23,良,141.3548,7,2018-08
57,68,江门,0.71,140,28,22,113,43,22,良,134.0000,7,2018-09
58,92,江门,0.855,176,44,40,133,65,33,良,192.5484,11,2018-10
59,78,江门,0.977,154,47,52,90,75,39,良,228.5667,10,2018-11
60,58,江门,0.942,90,35,42,55,56,31,良,134.8387,7,2018-12
61,57,江门,1.125,75,40,39,16,60,39,良,109.2500,6,2019-01
