index,aqi,city,co,max_aqi,min_aqi,no2,o3,pm10,pm2_5,quality,rank,so2,time_point
0,143,江阴,1.4,143,143,95,68,146,110,轻度污染,126.0000,91,2013-12
1,143,江阴,1.323,273,55,67,58,85,110,轻度污染,99.4839,58,2014-01
2,97,江阴,1.141,244,34,38,64,66,72,良,86.9259,41,2014-02
3,104,江阴,1.174,217,43,50,83,89,78,轻度污染,112.4839,46,2014-03
4,94,江阴,1.117,193,48,52,97,84,70,良,112.3667,51,2014-04
5,114,江阴,1.216,198,56,62,147,135,79,轻度污染,132.3871,58,2014-05
6,112,江阴,1.14,214,45,38,148,94,76,轻度污染,133.3333,51,2014-06
7,99,江阴,1.152,197,48,40,134,93,59,良,125.4194,44,2014-07
8,83,江阴,1.074,200,42,42,109,86,51,良,111.9032,33,2014-08
9,68,江阴,1.003,127,42,42,106,75,41,良,98.0667,38,2014-09
10,82,江阴,0.961,155,60,50,112,93,54,良,85.3871,41,2014-10
11,114,江阴,1.107,262,64,53,77,112,86,轻度污染,128.3000,44,2014-11
12,124,江阴,1.135,205,60,59,41,137,93,轻度污染,147.4839,51,2014-12
13,136,江阴,1.158,238,46,56,43,151,103,轻度污染,246.1613,44,2015-01
14,105,江阴,1.014,241,38,35,58,118,78,轻度污染,211.4286,32,2015-02
15,97,江阴,0.968,191,52,38,66,108,69,良,241.0323,33,2015-03
16,97,江阴,0.983,208,49,48,91,118,70,良,260.4333,38,2015-04
17,83,江阴,1.039,174,44,39,102,99,57,良,221.0323,35,2015-05
18,84,江阴,0.987,142,35,38,103,95,56,良,246.6667,29,2015-06
19,82,江阴,0.965,183,28,39,103,83,56,良,221.5161,28,2015-07
20,78,江阴,1.19,149,29,34,117,79,45,良,216.1290,26,2015-08
21,73,江阴,0.923,155,49,34,118,71,43,良,218.4000,23,2015-09
22,101,江阴,0.987,205,48,50,109,121,74,轻度污染,266.6774,35,2015-10
23,93,江阴,1.053,210,33,42,59,98,69,良,243.7000,30,2015-11
24,136,江阴,1.168,260,59,51,46,147,102,轻度污染,264.5161,34,2015-12
25,115,江阴,1.074,238,47,50,64,123,84,轻度污染,239.3226,38,2016-01
26,103,江阴,1.093,203,36,45,84,116,76,轻度污染,254.3448,36,2016-02
27,112,江阴,1.087,213,43,65,82,130,82,轻度污染,259.4516,28,2016-03
28,100,江阴,1.013,166,54,58,114,112,71,良,272.2000,25,2016-04
29,102,江阴,1.016,202,41,48,121,112,66,轻度污染,258.4516,21,2016-05
30,80,江阴,0.957,130,41,45,106,80,52,良,233.0000,23,2016-06
31,88,江阴,0.945,172,39,44,114,79,50,良,265.8065,27,2016-07
32,71,江阴,0.797,144,30,33,116,58,28,良,203.5806,25,2016-08
33,79,江阴,0.86,154,24,42,115,75,45,良,209.0333,24,2016-09
34,57,江阴,0.806,110,32,39,67,57,35,良,174.0968,20,2016-10
35,92,江阴,0.937,189,34,54,54,100,66,良,218.1000,21,2016-11
36,113,江阴,1.01,213,37,59,58,120,84,轻度污染,206.9677,24,2016-12
37,94,江阴,0.971,252,38,42,61,99,69,良,172.3226,16,2017-01
38,100,江阴,0.971,189,44,45,80,104,74,轻度污染,224.7143,20,2017-02
39,88,江阴,0.9,142,48,52,93,99,64,良,252.1613,20,2017-03
40,103,江阴,0.903,157,51,51,130,109,63,轻度污染,294.7000,26,2017-04
41,107,江阴,0.755,192,44,47,148,96,53,轻度污染,241.7419,18,2017-05
42,101,江阴,0.867,189,40,43,146,78,56,轻度污染,253.6333,16,2017-06
43,80,江阴,0.9,185,33,43,122,61,41,良,216.2903,16,2017-07
44,81,江阴,0.955,156,40,35,128,53,38,良,239.5806,13,2017-08
45,69,江阴,0.867,138,38,41,106,57,39,良,196.2667,12,2017-09
46,62,江阴,0.784,115,35,42,96,62,38,良,190.5161,11,2017-10
47,93,江阴,0.91,163,41,66,73,106,62,良,243.0000,15,2017-11
48,119,江阴,1.126,326,55,76,30,130,86,轻度污染,242.7419,17,2017-12
49,120,江阴,1.148,274,36,55,55,122,90,轻度污染,230.8387,18,2018-01
50,92,江阴,1.046,223,39,44,75,102,65,良,210.1429,16,2018-02
51,87,江阴,1.097,140,43,54,90,94,62,良,217.9000,14,2018-03
52,98,江阴,1.013,158,52,58,124,120,59,良,243.3333,18,2018-04
53,94,江阴,1.052,202,37,50,117,93,57,良,228.7000,13,2018-05
54,100,江阴,0.88,185,40,35,154,67,43,良,230.1333,14,2018-06
55,86,江阴,0.913,207,25,32,134,51,32,良,249.8710,13,2018-07
56,69,江阴,0.935,151,30,25,116,40,24,良,181.9355,15,2018-08
57,71,江阴,0.97,158,39,35,118,54,34,良,227.8519,16,2018-09
58,71,江阴,0.813,134,43,43,110,72,43,良,213.4839,15,2018-10
59,87,江阴,0.963,240,39,54,71,87,62,良,207.5333,13,2018-11
60,77,江阴,0.881,160,29,43,45,80,52,良,188.6400,12,2018-12
61,86,江阴,0.875,120,57,37,45,81,63,良,208.6667,13,2019-01
