index,aqi,city,co,max_aqi,min_aqi,no2,o3,pm10,pm2_5,quality,rank,so2,time_point
0,83,池州,0.4,83,83,27,42,117,48,良,173.0000,12,2014-12
1,82,池州,1.048,196,25,40,49,81,60,良,123.3871,23,2015-01
2,56,池州,0.9,102,23,20,52,52,40,良,79.9286,22,2015-02
3,40,池州,0.823,75,19,19,49,40,25,优,35.1935,20,2015-03
4,44,池州,0.787,82,26,23,61,44,27,优,35.4000,20,2015-04
5,74,池州,0.813,224,28,28,86,78,52,良,132.8710,28,2015-05
6,53,池州,0.707,111,27,21,86,53,30,良,129.5333,15,2015-06
7,33,池州,0.59,59,22,15,56,31,18,优,35.6129,12,2015-07
8,50,池州,0.619,95,20,15,85,41,23,优,103.2903,10,2015-08
9,50,池州,0.77,74,28,17,93,44,24,良,110.6000,11,2015-09
10,56,池州,0.777,84,23,22,75,64,35,良,109.7097,18,2015-10
11,45,池州,0.94,71,25,26,42,45,27,优,67.5000,17,2015-11
12,81,池州,1.11,317,27,38,28,84,52,良,131.3226,22,2015-12
13,124,池州,1.035,334,39,39,35,132,91,轻度污染,240.2581,25,2016-01
14,59,池州,1.024,134,25,31,52,56,38,良,93.2759,20,2016-02
15,81,池州,1.213,188,39,31,72,99,56,良,165.6774,22,2016-03
16,74,池州,1.08,130,38,32,113,63,39,良,185.7333,23,2016-04
17,58,池州,0.797,119,36,30,92,52,30,良,103.7742,21,2016-05
18,45,池州,0.7,64,32,29,79,32,20,优,82.9333,21,2016-06
19,50,池州,0.606,120,28,24,89,22,14,优,123.7097,19,2016-07
20,70,池州,0.677,131,28,23,120,21,11,良,203.1935,19,2016-08
21,59,池州,0.677,100,25,27,91,46,32,良,142.1667,14,2016-09
22,58,池州,0.852,107,33,33,43,57,39,良,178.3226,19,2016-10
23,89,池州,0.927,160,33,42,47,94,65,良,215.0333,20,2016-11
24,126,池州,1.113,206,48,54,42,131,95,轻度污染,254.5161,23,2016-12
25,136,池州,1.19,294,47,39,43,139,106,轻度污染,267.7419,24,2017-01
26,115,池州,1.018,170,68,35,63,111,87,轻度污染,247.8214,22,2017-02
27,92,池州,0.926,144,50,40,82,96,69,良,231.5484,18,2017-03
28,84,池州,0.887,117,51,36,111,90,57,良,233.2333,18,2017-04
29,97,池州,0.661,145,41,27,144,70,48,良,232.8387,12,2017-05
30,73,池州,0.647,152,35,21,118,56,42,良,200.0667,18,2017-06
31,63,池州,0.555,164,30,20,110,52,32,良,167.7097,18,2017-07
32,58,池州,0.719,118,30,23,97,55,32,良,201.9677,15,2017-08
33,62,池州,0.907,89,34,30,84,71,38,良,198.9667,14,2017-09
34,75,池州,0.9,123,38,42,77,91,51,良,225.6452,19,2017-10
35,92,池州,0.95,158,52,49,78,109,65,良,205.3000,16,2017-11
36,116,池州,1.097,255,44,58,39,123,87,轻度污染,197.9355,15,2017-12
37,118,池州,1.065,258,0,53,63,115,89,轻度污染,215.1935,16,2018-01
38,100,池州,0.939,219,40,44,69,103,72,轻度污染,218.4286,16,2018-02
39,71,池州,0.848,103,35,45,95,70,46,良,171.9032,12,2018-03
40,67,池州,0.847,127,0,34,113,73,36,良,154.7667,8,2018-04
41,68,池州,0.748,124,37,26,111,55,33,良,152.7097,10,2018-05
42,84,池州,0.753,151,33,20,138,42,28,良,187.9667,8,2018-06
43,70,池州,0.606,122,38,20,122,35,20,良,181.9032,8,2018-07
44,71,池州,0.648,147,25,23,120,41,26,良,119.8710,14,2018-08
45,61,池州,0.647,111,27,24,104,47,27,良,170.6333,13,2018-09
46,66,池州,0.668,113,38,32,99,65,39,良,202.6452,11,2018-10
47,64,池州,0.817,208,27,39,61,59,42,良,150.3667,9,2018-11
48,88,池州,0.81,224,32,46,39,80,60,良,204.4194,15,2018-12
49,100,池州,1.1,115,85,42,24,86,75,良,224.2500,18,2019-01
