index,aqi,city,co,max_aqi,min_aqi,no2,o3,pm10,pm2_5,quality,rank,so2,time_point
0,151,沈阳,1.713,339,57,63,27,165,116,中度污染,59.2667,180,2013-12
1,118,沈阳,1.242,227,50,56,39,132,86,轻度污染,83.0968,154,2014-01
2,129,沈阳,1.332,301,51,56,58,143,96,轻度污染,127.1429,162,2014-02
3,109,沈阳,1.052,230,49,53,79,130,78,轻度污染,109.2903,92,2014-03
4,96,沈阳,0.95,170,54,49,110,130,65,良,116.4667,39,2014-04
5,85,沈阳,0.858,171,45,44,130,96,48,良,87.3548,28,2014-05
6,86,沈阳,0.83,153,44,41,137,79,48,良,105.7667,22,2014-06
7,95,沈阳,0.923,182,49,34,147,92,53,良,128.6452,22,2014-07
8,93,沈阳,1.013,158,50,39,144,90,49,良,134.5161,26,2014-08
9,74,沈阳,0.917,129,38,50,110,84,43,良,111.3000,29,2014-09
10,128,沈阳,1.087,251,47,55,95,149,94,轻度污染,129.3333,39,2014-10
11,144,沈阳,1.357,371,59,64,49,174,107,轻度污染,144.2000,117,2014-11
12,119,沈阳,1.21,251,60,56,35,133,82,轻度污染,125.2258,152,2014-12
13,144,沈阳,1.571,342,50,65,36,156,110,轻度污染,235.4516,182,2015-01
14,133,沈阳,1.33,418,48,55,48,144,100,轻度污染,251.1852,148,2015-02
15,103,沈阳,0.948,187,45,47,71,126,72,轻度污染,249.4516,73,2015-03
16,102,沈阳,0.9,136,73,44,106,129,66,轻度污染,285.5417,26,2015-04
17,97,沈阳,0.713,173,40,35,141,92,43,良,241.5806,20,2015-05
18,85,沈阳,0.833,128,46,37,141,63,37,良,248.9333,15,2015-06
19,79,沈阳,0.745,158,31,35,129,65,37,良,222.1935,11,2015-07
20,77,沈阳,0.758,141,38,35,127,58,32,良,217.8065,13,2015-08
21,70,沈阳,0.803,105,39,46,104,72,37,良,213.9667,20,2015-09
22,97,沈阳,0.935,305,41,48,79,104,69,良,217.9032,28,2015-10
23,167,沈阳,1.34,500,58,58,53,175,146,中度污染,324.1333,92,2015-11
24,143,沈阳,1.468,298,52,57,36,145,107,轻度污染,255.3548,130,2015-12
25,105,沈阳,1.116,173,57,51,53,119,77,轻度污染,242.2903,112,2016-01
26,82,沈阳,0.886,149,52,40,74,91,54,良,206.1034,87,2016-02
27,109,沈阳,0.916,280,41,43,105,146,66,轻度污染,232.6129,57,2016-03
28,87,沈阳,0.717,172,64,35,119,108,45,良,241.8667,20,2016-04
29,90,沈阳,0.745,146,50,37,140,89,39,良,238.7419,20,2016-05
30,79,沈阳,0.807,127,40,37,131,65,36,良,228.5667,17,2016-06
31,87,沈阳,0.829,146,32,28,139,62,38,良,259.4839,13,2016-07
32,75,沈阳,0.781,140,23,29,124,55,31,良,225.4194,17,2016-08
33,64,沈阳,0.927,104,29,37,101,64,38,良,164.8000,21,2016-09
34,76,沈阳,0.942,206,30,44,67,83,52,良,218.9677,28,2016-10
35,100,沈阳,1.007,271,38,49,47,107,74,良,224.6000,71,2016-11
36,128,沈阳,1.442,273,42,57,40,134,96,轻度污染,229.4516,96,2016-12
37,123,沈阳,1.377,273,53,55,51,123,87,轻度污染,219.7742,104,2017-01
38,94,沈阳,1.079,215,45,46,77,96,66,良,198.0714,74,2017-02
39,115,沈阳,1.026,207,41,54,112,125,84,轻度污染,258.1613,55,2017-03
40,83,沈阳,0.767,129,49,36,121,93,45,良,250.8333,24,2017-04
41,105,沈阳,0.629,216,55,29,146,70,30,轻度污染,204.0323,14,2017-05
42,101,沈阳,0.767,204,44,33,158,64,34,轻度污染,210.1333,18,2017-06
43,99,沈阳,0.742,178,50,28,158,52,31,良,172.5806,12,2017-07
44,63,沈阳,0.832,117,35,30,109,45,25,良,167.5484,15,2017-08
45,64,沈阳,0.937,101,39,38,106,62,32,良,198.5667,23,2017-09
46,80,沈阳,1.103,173,37,48,74,89,52,良,226.1613,25,2017-10
47,67,沈阳,0.847,150,38,38,54,76,40,良,153.3000,30,2017-11
48,94,沈阳,1.352,196,44,50,21,103,66,良,176.9355,49,2017-12
49,80,沈阳,1.177,153,39,49,46,84,55,良,157.1290,45,2018-01
50,87,沈阳,1.125,162,48,42,74,88,59,良,188.8571,41,2018-02
51,92,沈阳,1.116,205,41,42,106,92,62,良,213.2258,30,2018-03
52,71,沈阳,0.867,122,0,33,123,85,38,良,172.8000,20,2018-04
53,77,沈阳,0.858,163,0,34,137,72,32,良,190.7097,20,2018-05
54,99,沈阳,0.993,205,42,30,156,55,29,良,88.3333,20,2018-06
55,68,沈阳,0.845,175,30,26,112,43,23,良,159.3226,14,2018-07
56,66,沈阳,0.839,139,34,33,104,42,20,良,145.4194,14,2018-08
57,52,沈阳,0.873,85,32,37,79,47,23,良,190.7000,21,2018-09
58,64,沈阳,1.058,128,29,42,68,72,39,良,198.4194,23,2018-10
59,76,沈阳,1.117,156,43,48,42,86,50,良,218.0667,29,2018-11
60,76,沈阳,1.213,159,38,43,41,83,49,良,196.8710,30,2018-12
61,90,沈阳,1.563,115,51,51,38,99,63,良,214.2500,35,2019-01
