index,aqi,city,co,max_aqi,min_aqi,no2,o3,pm10,pm2_5,quality,rank,so2,time_point
0,170,沧州,2.652,363,22,52,40,162,133,中度污染,62.8276,103,2013-12
1,176,沧州,2.319,356,67,47,38,194,139,中度污染,119.4516,87,2014-01
2,142,沧州,1.95,308,42,27,66,139,109,轻度污染,127.1071,55,2014-02
3,136,沧州,1.432,223,62,32,86,153,101,轻度污染,136.9677,54,2014-03
4,113,沧州,0.923,200,63,26,129,130,78,轻度污染,141.7000,30,2014-04
5,121,沧州,0.894,245,63,28,164,126,69,轻度污染,137.5806,36,2014-05
6,116,沧州,0.71,182,66,24,164,90,63,轻度污染,151.7333,27,2014-06
7,119,沧州,0.719,226,48,26,143,120,83,轻度污染,151.3226,24,2014-07
8,97,沧州,0.757,132,50,16,143,115,55,良,143.3214,18,2014-08
9,87,沧州,1.113,179,43,36,109,103,53,良,133.1333,20,2014-09
10,133,沧州,1.023,241,62,56,93,170,96,轻度污染,133.2903,35,2014-10
11,145,沧州,1.597,408,62,50,51,181,110,轻度污染,141.4667,43,2014-11
12,135,沧州,2.116,273,61,66,36,175,99,轻度污染,143.2903,92,2014-12
13,124,沧州,2.165,319,46,64,36,160,93,轻度污染,219.4516,89,2015-01
14,111,沧州,1.618,262,47,49,64,146,80,轻度污染,229.5714,65,2015-02
15,112,沧州,1.052,316,57,45,91,161,69,轻度污染,275.9677,43,2015-03
16,97,沧州,0.71,159,54,34,119,132,61,良,267.4667,26,2015-04
17,103,沧州,0.655,170,54,35,156,118,54,轻度污染,273.4194,27,2015-05
18,98,沧州,0.797,145,39,30,151,102,58,良,282.7000,27,2015-06
19,79,沧州,0.477,134,43,21,113,77,53,良,233.0645,18,2015-07
20,94,沧州,0.755,144,35,32,142,77,52,良,268.2581,20,2015-08
21,68,沧州,0.903,120,27,39,103,65,36,良,191.6667,31,2015-09
22,82,沧州,1.068,163,25,41,73,97,53,良,182.0000,31,2015-10
23,121,沧州,1.787,421,40,51,51,126,92,轻度污染,269.3667,46,2015-11
24,176,沧州,2.684,417,47,53,28,197,138,中度污染,275.4516,57,2015-12
25,115,沧州,2.032,346,43,59,43,123,85,轻度污染,215.0645,57,2016-01
26,83,沧州,1.645,210,36,44,74,92,56,良,179.0690,50,2016-02
27,101,沧州,1.229,210,52,55,98,128,67,轻度污染,231.6774,45,2016-03
28,93,沧州,1.01,190,49,43,122,116,57,良,245.4000,29,2016-04
29,95,沧州,0.768,158,56,42,146,96,46,良,256.4516,30,2016-05
30,106,沧州,0.773,181,0,32,162,81,47,轻度污染,302.4333,25,2016-06
31,96,沧州,0.758,151,48,23,146,75,56,良,297.7742,18,2016-07
32,73,沧州,0.768,126,37,28,114,61,41,良,224.8710,14,2016-08
33,105,沧州,0.833,161,45,43,158,76,44,轻度污染,296.5667,25,2016-09
34,102,沧州,0.939,198,54,56,85,106,73,轻度污染,302.9677,30,2016-10
35,136,沧州,1.64,254,48,62,48,153,103,轻度污染,297.8333,43,2016-11
36,183,沧州,2.539,363,69,78,32,201,142,中度污染,299.7742,67,2016-12
37,150,沧州,2.235,298,42,60,45,168,117,中度污染,247.7097,57,2017-01
38,125,沧州,1.625,285,44,58,80,133,94,轻度污染,233.0714,57,2017-02
39,95,沧州,0.939,206,48,51,107,107,68,良,227.5484,38,2017-03
40,90,沧州,0.8,138,54,43,120,105,56,良,243.8000,32,2017-04
41,145,沧州,0.723,500,67,34,175,98,44,轻度污染,229.6129,26,2017-05
42,136,沧州,0.69,200,59,35,196,84,51,轻度污染,262.8000,22,2017-06
43,99,沧州,0.735,182,40,28,152,68,48,良,234.6774,16,2017-07
44,93,沧州,0.732,146,45,33,149,62,39,良,242.5484,16,2017-08
45,105,沧州,0.727,158,43,44,163,87,49,轻度污染,242.1333,23,2017-09
46,93,沧州,0.958,255,37,56,83,98,64,良,235.1935,20,2017-10
47,91,沧州,1.047,194,52,57,57,109,63,良,195.0667,29,2017-11
48,125,沧州,1.619,325,43,63,25,137,90,轻度污染,211.0000,39,2017-12
49,113,沧州,1.358,338,47,59,50,129,84,轻度污染,215.0000,41,2018-01
50,111,沧州,1.121,242,0,43,83,122,80,轻度污染,211.1429,39,2018-02
51,107,沧州,0.861,208,0,47,116,123,75,轻度污染,262.2581,27,2018-03
52,99,沧州,0.657,193,0,33,147,114,51,良,246.6333,23,2018-04
53,102,沧州,0.623,153,58,32,158,96,44,轻度污染,268.6129,21,2018-05
54,141,沧州,0.617,201,60,28,204,84,42,轻度污染,113.8000,20,2018-06
55,96,沧州,0.458,186,37,25,150,64,38,良,280.2581,13,2018-07
56,100,沧州,0.69,201,28,30,154,58,33,良,219.5161,15,2018-08
57,70,沧州,0.563,115,44,39,109,64,36,良,221.3667,16,2018-09
58,81,沧州,0.732,152,41,51,96,91,51,良,231.7097,19,2018-10
59,125,沧州,1.18,285,59,58,59,151,91,轻度污染,312.2333,20,2018-11
60,102,沧州,1.252,244,52,54,48,127,72,轻度污染,265.4194,28,2018-12
61,156,沧州,1.9,206,122,73,42,172,118,中度污染,311.5000,47,2019-01
