index,aqi,city,co,max_aqi,min_aqi,no2,o3,pm10,pm2_5,quality,rank,so2,time_point
0,98,河池,1.2,98,98,42,89,102,73,良,224.0000,25,2014-12
1,93,河池,1.442,153,24,27,55,89,69,良,165.6774,22,2015-01
2,88,河池,1.525,186,23,24,39,85,65,良,173.5000,13,2015-02
3,72,河池,1.245,163,19,16,54,70,53,良,152.1613,16,2015-03
4,73,河池,1.017,139,36,16,116,71,45,良,164.3000,16,2015-04
5,55,河池,1.161,75,36,12,90,50,33,良,98.6129,16,2015-05
6,40,河池,1.047,53,26,12,63,38,24,优,62.6667,6,2015-06
7,54,河池,1.155,88,26,15,86,52,34,良,128.2903,21,2015-07
8,63,河池,1.123,128,32,18,88,63,38,良,172.4839,42,2015-08
9,59,河池,1.263,110,29,24,62,63,38,良,164.2333,29,2015-09
10,76,河池,1.626,120,30,31,89,84,54,良,191.3226,43,2015-10
11,56,河池,1.607,97,32,25,50,55,35,良,127.7000,30,2015-11
12,60,河池,1.4,130,31,29,52,59,39,良,94.1613,24,2015-12
13,58,河池,1.394,118,28,27,55,55,38,良,92.6129,23,2016-01
14,80,河池,1.131,214,36,28,98,77,57,良,182.0000,24,2016-02
15,67,河池,1.106,104,38,32,74,66,45,良,125.7419,10,2016-03
16,52,河池,1.043,94,32,28,63,54,30,良,83.3333,8,2016-04
17,47,河池,0.997,72,25,25,58,49,27,优,57.6452,6,2016-05
18,41,河池,0.723,57,27,21,77,34,16,优,64.7000,7,2016-06
19,43,河池,0.635,85,23,22,77,37,18,优,92.0645,7,2016-07
20,48,河池,0.635,110,24,21,87,42,22,优,99.8387,9,2016-08
21,64,河池,0.837,99,25,30,105,63,38,良,173.2333,14,2016-09
22,54,河池,0.906,86,26,27,91,54,29,良,158.8387,13,2016-10
23,49,河池,0.957,99,20,24,61,53,29,优,73.8667,11,2016-11
24,87,河池,1.039,172,28,35,74,93,63,良,155.0645,17,2016-12
25,87,河池,1.135,206,24,26,62,79,64,良,161.2258,10,2017-01
26,73,河池,0.904,164,31,25,75,69,53,良,154.6071,6,2017-02
27,56,河池,0.923,137,20,24,54,52,38,良,126.2258,6,2017-03
28,56,河池,0.773,81,32,23,87,57,34,良,147.3333,7,2017-04
29,58,河池,0.774,116,30,26,87,55,30,良,139.7419,10,2017-05
30,41,河池,0.747,59,26,19,68,41,20,优,137.8333,9,2017-06
31,42,河池,0.771,74,24,21,70,43,20,优,138.9032,9,2017-07
32,41,河池,0.732,62,24,19,71,40,17,优,163.4194,6,2017-08
33,48,河池,0.877,68,33,22,76,50,22,优,163.7667,11,2017-09
34,57,河池,0.932,100,25,26,90,59,30,良,169.7097,12,2017-10
35,65,河池,0.973,109,28,30,62,76,41,良,136.6333,10,2017-11
36,76,河池,1.074,124,27,36,41,100,53,良,152.6452,13,2017-12
37,76,河池,1.232,133,25,30,44,89,51,良,153.0323,11,2018-01
38,84,河池,1.129,276,28,26,74,107,58,良,176.7143,11,2018-02
39,63,河池,0.913,99,22,27,71,76,38,良,138.8710,9,2018-03
40,66,河池,0.883,123,32,24,79,72,31,良,143.0667,7,2018-04
41,45,河池,0.997,56,28,20,81,42,20,优,71.3548,7,2018-05
42,44,河池,1.237,67,24,18,77,38,17,优,58.8000,8,2018-06
43,41,河池,0.726,74,25,17,74,37,18,优,109.5806,7,2018-07
44,45,河池,0.794,75,23,16,78,39,20,优,135.0000,8,2018-08
45,44,河池,0.807,67,21,18,69,41,22,优,146.0333,5,2018-09
46,48,河池,0.916,79,20,22,70,48,26,优,126.6774,7,2018-10
47,51,河池,0.903,93,20,26,55,57,31,良,107.7000,8,2018-11
48,48,河池,0.971,109,15,19,38,46,31,优,84.8387,6,2018-12
49,42,河池,0.7,64,28,16,41,26,28,优,65.0000,6,2019-01
