index,aqi,city,co,max_aqi,min_aqi,no2,o3,pm10,pm2_5,quality,rank,so2,time_point
0,88,河源,1.183,166,15,38,93,98,64,良,29.7000,32,2013-12
1,96,河源,1.352,166,44,38,106,100,71,良,59.5484,24,2014-01
2,52,河源,1.432,100,16,22,72,47,36,良,39.1786,11,2014-02
3,57,河源,1.361,98,18,25,70,58,39,良,34.3226,15,2014-03
4,63,河源,0.993,111,38,27,96,58,41,良,50.5000,15,2014-04
5,46,河源,0.945,101,25,29,80,37,25,优,23.5161,11,2014-05
6,56,河源,0.86,116,30,24,97,47,31,良,48.5333,14,2014-06
7,67,河源,0.861,149,32,22,109,50,35,良,77.3871,15,2014-07
8,59,河源,0.777,110,21,21,104,42,29,良,71.1935,12,2014-08
9,54,河源,0.783,107,25,21,94,48,31,良,61.1333,12,2014-09
10,88,河源,0.932,133,55,33,134,88,57,良,100.7097,18,2014-10
11,65,河源,1.023,95,25,33,87,63,44,良,58.0333,16,2014-11
12,69,河源,0.952,119,33,40,78,75,46,良,56.4516,23,2014-12
13,73,河源,1.023,110,27,41,87,78,53,良,114.7097,17,2015-01
14,72,河源,1.029,141,30,31,88,67,51,良,129.1786,10,2015-02
15,44,河源,0.994,78,14,26,66,39,29,优,48.4194,7,2015-03
16,67,河源,0.871,144,27,26,103,55,39,良,125.2500,11,2015-04
17,41,河源,0.952,68,27,25,72,32,23,优,45.8710,7,2015-05
18,53,河源,0.777,89,27,21,97,35,22,良,133.9000,8,2015-06
19,48,河源,0.735,95,20,14,88,37,25,优,98.0323,7,2015-07
20,58,河源,0.81,133,23,16,103,45,29,良,144.1613,9,2015-08
21,67,河源,0.94,130,25,18,114,56,37,良,192.4333,9,2015-09
22,62,河源,0.932,96,26,21,105,58,37,良,131.9355,13,2015-10
23,50,河源,0.983,82,25,22,63,51,33,良,100.1667,11,2015-11
24,51,河源,0.994,92,23,24,51,49,34,良,73.6452,10,2015-12
25,44,河源,1.003,83,22,21,50,37,26,优,42.8710,7,2016-01
26,51,河源,0.828,124,21,18,72,45,34,良,72.7586,6,2016-02
27,57,河源,1.042,118,25,27,72,52,37,良,84.9677,7,2016-03
28,53,河源,0.947,113,26,20,81,45,32,良,78.8333,7,2016-04
29,51,河源,0.848,82,29,14,90,46,31,良,75.2258,8,2016-05
30,48,河源,0.707,109,0,12,87,33,20,优,107.6667,7,2016-06
31,56,河源,0.681,130,0,13,97,43,28,良,152.3226,7,2016-07
32,54,河源,0.742,123,26,14,94,45,31,良,123.1613,6,2016-08
33,50,河源,0.8,87,27,14,91,45,31,良,105.7667,7,2016-09
34,45,河源,0.906,63,26,14,67,43,29,优,109.1290,7,2016-10
35,51,河源,0.937,97,20,25,67,53,33,良,77.0667,8,2016-11
36,63,河源,1.013,89,28,33,84,68,44,良,82.7742,9,2016-12
37,61,河源,1.087,149,27,25,78,58,43,良,94.2258,6,2017-01
38,58,河源,1.089,100,27,24,95,50,37,良,88.2143,6,2017-02
39,49,河源,0.974,71,28,27,70,47,27,优,81.9032,6,2017-03
40,62,河源,0.87,138,31,26,100,53,29,良,78.9333,7,2017-04
41,62,河源,0.842,110,30,21,110,51,27,良,102.0645,7,2017-05
42,43,河源,0.833,80,20,17,80,33,17,优,66.5000,5,2017-06
43,40,河源,0.81,80,24,18,74,34,18,优,89.0000,6,2017-07
44,59,河源,0.81,144,19,20,106,39,21,良,123.5806,6,2017-08
45,50,河源,0.93,77,27,21,86,46,26,优,115.3000,7,2017-09
46,56,河源,0.952,96,24,19,95,49,30,良,135.0645,9,2017-10
47,55,河源,0.957,103,25,26,78,52,34,良,104.4667,9,2017-11
48,65,河源,0.952,101,24,33,54,66,44,良,97.8065,13,2017-12
49,59,河源,1.077,112,20,29,76,57,39,良,99.4194,9,2018-01
50,59,河源,0.875,179,23,17,84,51,39,良,87.8929,7,2018-02
51,60,河源,0.842,106,31,22,103,45,28,良,114.5806,8,2018-03
52,70,河源,0.803,144,32,21,114,58,33,良,150.3667,9,2018-04
53,80,河源,0.781,142,32,18,134,41,30,良,198.4839,8,2018-05
54,56,河源,0.833,101,20,13,99,33,25,良,102.6333,8,2018-06
55,50,河源,0.8,111,25,14,91,37,23,良,131.4194,9,2018-07
56,48,河源,0.929,89,20,17,91,33,19,优,98.1613,8,2018-08
57,45,河源,0.767,89,20,17,82,38,23,优,120.1000,7,2018-09
58,57,河源,0.823,79,23,23,95,50,29,良,134.8065,10,2018-10
59,47,河源,0.883,74,23,24,74,45,28,优,93.4333,9,2018-11
60,42,河源,0.942,74,23,26,49,41,26,优,69.4516,7,2018-12
61,35,河源,0.95,43,25,22,28,30,24,优,36.0000,7,2019-01
