index,aqi,city,co,max_aqi,min_aqi,no2,o3,pm10,pm2_5,quality,rank,so2,time_point
0,177,泸州,0.9,177,177,55,30,163,134,中度污染,169.0000,33,2013-12
1,212,泸州,1.358,359,104,55,45,210,168,重度污染,149.1935,54,2014-01
2,131,泸州,0.979,269,32,39,53,123,100,轻度污染,112.8571,35,2014-02
3,90,泸州,1.01,169,39,40,90,98,64,良,87.2258,44,2014-03
4,74,泸州,0.95,104,47,29,104,76,50,良,75.3333,20,2014-04
5,94,泸州,0.842,130,45,27,116,100,64,良,105.2258,22,2014-05
6,68,泸州,0.763,150,38,26,94,62,44,良,72.7667,13,2014-06
7,73,泸州,0.552,142,38,24,117,55,36,良,92.5484,13,2014-07
8,71,泸州,0.484,135,32,25,113,57,38,良,95.5161,10,2014-08
9,57,泸州,0.547,96,25,25,78,57,39,良,68.2333,9,2014-09
10,79,泸州,0.629,181,38,29,71,84,57,良,68.2258,13,2014-10
11,56,泸州,0.577,85,24,32,35,58,39,良,38.7667,19,2014-11
12,101,泸州,0.684,190,52,40,32,119,74,轻度污染,104.3548,28,2014-12
13,164,泸州,0.903,310,41,43,37,175,127,中度污染,270.9032,37,2015-01
14,127,泸州,0.775,256,32,31,54,137,96,轻度污染,254.5000,26,2015-02
15,89,泸州,0.968,132,46,28,85,100,66,良,222.3548,25,2015-03
16,78,泸州,0.713,155,28,27,103,83,54,良,180.5333,20,2015-04
17,81,泸州,0.639,129,50,27,107,83,54,良,214.1290,17,2015-05
18,66,泸州,0.687,98,35,23,82,63,47,良,190.0333,14,2015-06
19,63,泸州,0.61,109,31,27,103,57,37,良,166.5161,23,2015-07
20,74,泸州,0.626,145,25,27,104,65,47,良,211.6774,17,2015-08
21,55,泸州,0.497,142,30,27,73,52,34,良,120.5000,15,2015-09
22,82,泸州,0.506,160,29,34,74,89,57,良,202.3226,20,2015-10
23,73,泸州,0.68,105,36,35,34,75,52,良,199.6000,19,2015-11
24,80,泸州,0.5,168,33,39,29,83,58,良,149.2581,25,2015-12
25,98,泸州,0.519,202,27,35,40,101,72,良,193.8387,18,2016-01
26,112,泸州,0.652,314,46,33,73,114,84,轻度污染,266.2414,17,2016-02
27,107,泸州,0.652,192,32,33,95,107,79,轻度污染,233.4194,26,2016-03
28,75,泸州,0.587,135,40,26,92,68,51,良,188.1667,15,2016-04
29,92,泸州,0.574,198,30,24,127,80,60,良,234.3226,14,2016-05
30,87,泸州,0.547,153,37,23,125,63,51,良,247.8667,12,2016-06
31,79,泸州,0.458,144,32,25,126,51,39,良,245.8710,12,2016-07
32,86,泸州,0.465,156,42,22,123,65,55,良,272.6774,20,2016-08
33,90,泸州,0.547,179,54,29,82,80,67,良,266.2333,20,2016-09
34,77,泸州,0.548,138,37,28,70,90,53,良,229.4194,18,2016-10
35,95,泸州,0.567,172,28,32,50,110,70,良,225.8333,22,2016-11
36,117,泸州,0.461,196,53,37,34,126,87,轻度污染,228.7742,24,2016-12
37,146,泸州,0.703,258,40,40,36,152,113,轻度污染,267.8065,27,2017-01
38,104,泸州,0.604,177,47,37,57,108,78,轻度污染,223.0714,23,2017-02
39,83,泸州,0.635,148,31,38,64,90,61,良,210.8065,22,2017-03
40,67,泸州,0.487,116,26,32,94,76,43,良,192.2333,19,2017-04
41,81,泸州,0.581,136,45,35,112,88,48,良,235.8387,18,2017-05
42,66,泸州,0.547,106,27,30,98,63,33,良,228.9000,15,2017-06
43,88,泸州,0.439,161,39,27,143,46,27,良,178.0000,14,2017-07
44,74,泸州,0.426,121,24,24,125,43,27,良,210.0645,9,2017-08
45,57,泸州,0.473,105,23,29,81,49,32,良,188.3667,12,2017-09
46,48,泸州,0.552,96,22,34,43,43,30,优,138.4194,12,2017-10
47,82,泸州,0.793,134,40,45,57,91,60,良,218.5667,17,2017-11
48,115,泸州,1.042,233,53,52,17,106,75,轻度污染,224.9355,20,2017-12
49,98,泸州,0.765,201,35,49,29,99,70,良,194.6129,21,2018-01
50,92,泸州,0.679,179,43,34,65,98,67,良,208.3214,15,2018-02
51,67,泸州,0.526,122,35,38,86,69,45,良,152.5484,17,2018-03
52,67,泸州,0.453,109,27,37,112,68,37,良,148.6333,16,2018-04
53,71,泸州,0.368,163,0,30,113,61,32,良,169.9677,17,2018-05
54,68,泸州,0.447,184,29,27,112,40,22,良,143.3333,13,2018-06
55,73,泸州,0.452,145,34,28,122,35,19,良,192.8387,13,2018-07
56,82,泸州,0.503,138,45,28,138,38,23,良,184.8387,12,2018-08
57,44,泸州,0.417,87,28,29,64,29,18,优,137.3667,12,2018-09
58,47,泸州,0.5,97,30,35,39,38,26,优,101.2581,12,2018-10
59,66,泸州,0.727,113,22,34,44,64,47,良,166.5667,16,2018-11
60,69,泸州,0.823,166,28,35,24,65,48,良,156.1613,15,2018-12
61,79,泸州,0.85,84,74,37,23,74,58,良,180.2500,18,2019-01
