index,aqi,city,co,max_aqi,min_aqi,no2,o3,pm10,pm2_5,quality,rank,so2,time_point
0,264,洛阳,812.805,500,93,26,0,71,0,重度污染,,27,2013-05
1,155,洛阳,84.337,500,60,54,0,106,0,中度污染,,69,2013-06
2,178,洛阳,2.303,500,62,55,0,71,0,中度污染,,51,2013-07
3,203,洛阳,24.1,500,59,41,256,62,0,重度污染,,42,2013-08
4,143,洛阳,4.197,216,36,45,152,96,0,轻度污染,,45,2013-09
5,97,洛阳,3.161,140,52,66,113,126,0,良,,62,2013-10
6,154,洛阳,0.997,352,38,58,65,142,115,中度污染,,78,2013-11
7,196,洛阳,3.494,500,52,65,87,186,153,中度污染,20.0000,77,2013-12
8,180,洛阳,3.142,406,58,53,47,194,140,中度污染,120.7742,59,2014-01
9,162,洛阳,2.318,345,56,40,56,157,122,中度污染,148.0357,57,2014-02
10,107,洛阳,1.958,259,54,46,73,132,75,轻度污染,103.9677,52,2014-03
11,115,洛阳,2.427,204,70,46,111,87,84,轻度污染,140.0667,37,2014-04
12,106,洛阳,1.813,173,65,42,147,85,51,轻度污染,127.4516,35,2014-05
13,91,洛阳,1.97,224,34,38,104,83,58,良,103.3667,28,2014-06
14,71,洛阳,1.477,199,29,30,103,62,39,良,82.0000,20,2014-07
15,71,洛阳,1.503,120,34,35,105,66,42,良,96.4839,23,2014-08
16,69,洛阳,1.51,119,35,35,84,71,41,良,93.0333,24,2014-09
17,98,洛阳,1.4,192,39,43,38,108,70,良,94.4839,45,2014-10
18,133,洛阳,1.987,278,54,48,34,136,96,轻度污染,141.5667,61,2014-11
19,93,洛阳,1.668,160,54,42,31,78,59,良,72.6452,117,2014-12
20,151,洛阳,2.677,294,63,63,32,187,114,中度污染,262.2903,98,2015-01
21,132,洛阳,1.875,220,63,45,52,171,95,轻度污染,265.3214,69,2015-02
22,124,洛阳,1.539,281,68,49,67,161,87,轻度污染,292.1935,43,2015-03
23,97,洛阳,1.493,170,41,38,87,122,65,良,242.7000,35,2015-04
24,111,洛阳,1.426,204,55,32,125,127,75,轻度污染,290.3871,38,2015-05
25,90,洛阳,1.63,140,40,28,121,106,60,良,267.2333,24,2015-06
26,87,洛阳,1.577,156,55,23,128,94,56,良,257.5806,16,2015-07
27,78,洛阳,1.539,141,43,25,104,90,52,良,221.3871,24,2015-08
28,66,洛阳,1.73,113,41,34,94,75,42,良,190.6333,25,2015-09
29,82,洛阳,1.7,208,32,45,65,87,52,良,180.5484,36,2015-10
30,95,洛阳,2.453,205,35,55,43,100,66,良,239.6000,45,2015-11
31,149,洛阳,2.855,405,34,69,46,186,102,轻度污染,256.5484,75,2015-12
32,215,洛阳,3.006,492,56,68,45,244,174,重度污染,321.3871,76,2016-01
33,113,洛阳,2.452,255,52,44,66,132,80,轻度污染,253.5517,66,2016-02
34,103,洛阳,2.065,183,53,58,100,144,66,轻度污染,240.1613,58,2016-03
35,110,洛阳,1.87,180,45,47,125,148,76,轻度污染,291.1667,40,2016-04
36,107,洛阳,1.6,173,43,41,161,83,47,轻度污染,285.0645,33,2016-05
37,113,洛阳,1.71,166,67,33,172,70,39,轻度污染,312.4333,22,2016-06
38,86,洛阳,1.568,152,54,22,132,72,39,良,267.1290,11,2016-07
39,83,洛阳,1.797,126,44,24,136,56,31,良,273.2258,14,2016-08
40,106,洛阳,2.23,204,56,41,153,89,49,轻度污染,300.8667,29,2016-09
41,79,洛阳,1.729,152,47,46,78,93,53,良,269.2258,26,2016-10
42,147,洛阳,2.01,284,46,57,50,193,110,轻度污染,307.6667,36,2016-11
43,185,洛阳,1.987,499,69,63,41,221,146,中度污染,301.2258,41,2016-12
44,134,洛阳,1.974,386,0,60,36,152,105,轻度污染,307.2581,40,2017-01
45,128,洛阳,1.521,408,0,49,67,142,99,轻度污染,272.6786,42,2017-02
46,102,洛阳,1.187,225,0,50,83,118,74,轻度污染,251.3871,31,2017-03
47,85,洛阳,1.243,169,0,40,116,98,57,良,253.8333,27,2017-04
48,82,洛阳,1.187,168,0,33,166,69,36,良,238.6452,24,2017-05
49,118,洛阳,1.273,190,0,28,185,101,57,轻度污染,281.6667,17,2017-06
50,122,洛阳,1.397,193,59,22,180,92,51,轻度污染,261.7097,11,2017-07
51,110,洛阳,1.413,174,30,29,160,90,51,轻度污染,277.7419,17,2017-08
52,83,洛阳,1.473,144,53,40,115,95,46,良,245.8667,19,2017-09
53,79,洛阳,1.506,148,26,43,52,98,55,良,231.6129,17,2017-10
54,64,洛阳,1.313,149,0,56,53,85,42,良,239.9000,26,2017-11
55,99,洛阳,1.513,269,0,55,51,120,66,良,187.7097,30,2017-12
