index,aqi,city,co,max_aqi,min_aqi,no2,o3,pm10,pm2_5,quality,rank,so2,time_point
0,195,济南,1.653,395,79,82,33,259,149,中度污染,74.6000,127,2013-12
1,184,济南,1.9,489,61,67,45,247,138,中度污染,130.3103,117,2014-01
2,152,济南,1.879,289,60,62,56,190,115,中度污染,145.3929,123,2014-02
3,135,济南,1.11,309,76,58,100,197,88,轻度污染,142.3548,75,2014-03
4,137,济南,1.073,229,61,51,122,190,91,轻度污染,157.1333,70,2014-04
5,119,济南,0.816,177,55,42,162,171,66,轻度污染,145.8710,47,2014-05
6,126,济南,1.037,195,65,41,175,135,76,轻度污染,158.6333,48,2014-06
7,117,济南,0.9,190,63,40,164,125,71,轻度污染,151.0968,37,2014-07
8,114,济南,1.055,157,71,48,161,134,72,轻度污染,163.5806,49,2014-08
9,114,济南,1.213,231,57,52,125,145,80,轻度污染,169.3667,46,2014-09
10,116,济南,1.039,202,63,59,107,167,81,轻度污染,135.0000,48,2014-10
11,139,济南,1.24,368,66,65,48,188,101,轻度污染,146.9667,67,2014-11
12,123,济南,1.3,229,62,66,39,180,84,轻度污染,141.4516,97,2014-12
13,153,济南,1.952,322,60,73,37,210,113,中度污染,267.6129,92,2015-01
14,131,济南,1.607,238,61,53,62,172,95,轻度污染,270.5000,79,2015-02
15,124,济南,1.333,190,63,55,85,185,81,轻度污染,306.8667,63,2015-03
16,115,济南,1.197,215,59,43,114,158,77,轻度污染,298.4667,39,2015-04
17,113,济南,1.213,182,53,41,143,155,74,轻度污染,303.6452,37,2015-05
18,117,济南,1.063,186,68,33,168,139,73,轻度污染,324.3667,27,2015-06
19,123,济南,1.032,182,74,38,168,133,75,轻度污染,335.1290,28,2015-07
20,92,济南,0.939,140,39,39,141,98,57,良,276.9677,22,2015-08
21,99,济南,1.133,158,50,52,125,128,69,良,296.5667,27,2015-09
22,128,济南,1.313,243,64,61,96,174,91,轻度污染,310.6129,34,2015-10
23,147,济南,1.89,337,42,59,41,158,114,轻度污染,287.4333,43,2015-11
24,199,济南,2.11,496,56,70,34,232,158,中度污染,306.3226,71,2015-12
25,164,济南,2.003,436,63,68,39,193,126,中度污染,306.2258,80,2016-01
26,112,济南,1.362,241,37,44,74,140,81,轻度污染,247.2414,57,2016-02
27,123,济南,1.11,237,71,48,101,185,80,轻度污染,300.6452,51,2016-03
28,128,济南,1.09,211,72,45,128,202,82,轻度污染,325.9000,40,2016-04
29,110,济南,0.906,295,63,38,143,129,58,轻度污染,285.5484,28,2016-05
30,118,济南,0.933,171,77,33,178,103,51,轻度污染,327.6000,24,2016-06
31,100,济南,0.99,170,37,35,143,109,61,轻度污染,291.0323,21,2016-07
32,81,济南,1.029,148,51,35,119,88,42,良,260.9677,23,2016-08
33,109,济南,1.107,173,59,56,155,132,60,轻度污染,311.8667,27,2016-09
34,88,济南,1.158,160,50,53,70,118,58,良,294.9677,22,2016-10
35,111,济南,1.33,226,34,57,46,151,79,轻度污染,270.7000,31,2016-11
36,164,济南,1.877,500,62,63,41,203,126,中度污染,281.0323,46,2016-12
37,172,济南,2.139,416,58,61,46,209,130,中度污染,279.6774,49,2017-01
38,114,济南,1.286,236,55,50,81,148,83,轻度污染,251.5714,44,2017-02
39,100,济南,1.071,149,60,54,93,141,68,良,262.1613,31,2017-03
40,99,济南,1.017,207,72,47,108,134,60,良,263.7000,22,2017-04
41,125,济南,0.826,222,69,35,168,98,42,轻度污染,259.9355,21,2017-05
42,130,济南,0.887,202,49,37,190,108,54,轻度污染,274.5000,21,2017-06
43,99,济南,0.974,207,51,35,136,98,51,良,249.5161,13,2017-07
44,93,济南,0.858,152,42,39,145,75,37,良,249.8065,12,2017-08
45,99,济南,0.803,169,58,46,156,93,39,良,253.8000,14,2017-09
46,86,济南,1.113,157,28,54,84,111,56,良,236.0968,16,2017-10
47,93,济南,0.99,155,41,54,67,133,55,良,222.5333,23,2017-11
48,125,济南,1.435,310,52,63,27,163,88,轻度污染,212.6129,35,2017-12
49,122,济南,1.413,262,50,63,52,151,87,轻度污染,230.4516,37,2018-01
50,102,济南,1.136,195,63,41,84,126,65,轻度污染,222.3571,31,2018-02
51,99,济南,0.926,230,57,42,114,123,61,良,261.7097,24,2018-03
52,96,济南,0.75,169,0,36,141,116,43,良,248.7667,19,2018-04
53,107,济南,0.758,176,0,39,165,104,42,轻度污染,262.7097,14,2018-05
54,142,济南,0.54,198,70,29,204,83,35,轻度污染,111.9000,9,2018-06
55,110,济南,0.655,204,54,31,166,71,35,轻度污染,279.8710,8,2018-07
56,105,济南,0.777,203,28,36,158,72,36,轻度污染,245.0968,10,2018-08
57,78,济南,0.69,110,47,46,114,81,33,良,282.7667,9,2018-09
58,84,济南,0.684,136,54,59,99,105,39,良,265.7097,11,2018-10
59,118,济南,1.083,260,43,60,62,159,82,轻度污染,305.4000,13,2018-11
60,112,济南,1.103,299,51,62,41,151,75,轻度污染,274.8710,24,2018-12
61,186,济南,1.775,217,137,90,41,234,142,中度污染,317.2500,49,2019-01
