index,aqi,city,co,max_aqi,min_aqi,no2,o3,pm10,pm2_5,quality,rank,so2,time_point
0,229,济宁,1.623,436,95,67,27,284,185,重度污染,87.5667,162,2013-12
1,199,济宁,1.839,417,76,65,36,260,152,中度污染,141.6774,132,2014-01
2,145,济宁,1.461,384,61,49,63,173,111,轻度污染,139.1786,92,2014-02
3,133,济宁,1.194,326,75,49,100,183,93,轻度污染,139.9677,79,2014-03
4,119,济宁,1.137,221,68,45,121,166,83,轻度污染,143.5333,62,2014-04
5,113,济宁,0.845,190,63,33,159,149,68,轻度污染,139.0968,55,2014-05
6,134,济宁,1.09,377,67,34,176,128,88,轻度污染,160.6333,55,2014-06
7,110,济宁,1.029,155,67,31,163,97,65,轻度污染,147.2903,46,2014-07
8,109,济宁,1.1,172,53,37,160,95,66,轻度污染,159.1935,50,2014-08
9,91,济宁,1.18,183,34,40,116,96,64,良,137.2000,53,2014-09
10,107,济宁,1.181,204,57,50,110,136,78,轻度污染,125.8065,55,2014-10
11,135,济宁,1.65,322,73,63,54,188,99,轻度污染,150.6667,81,2014-11
12,128,济宁,1.574,201,77,64,40,187,92,轻度污染,151.0000,108,2014-12
13,139,济宁,1.823,297,64,61,42,187,104,轻度污染,251.0323,90,2015-01
14,117,济宁,1.657,186,65,47,66,157,86,轻度污染,252.4643,69,2015-02
15,109,济宁,1.361,261,61,44,84,157,73,轻度污染,272.5806,63,2015-03
16,94,济宁,1.217,166,48,37,121,120,61,良,257.6333,45,2015-04
17,105,济宁,1.135,178,58,34,152,122,65,轻度污染,288.1613,50,2015-05
18,119,济宁,1.073,213,37,29,170,130,72,轻度污染,314.1000,46,2015-06
19,91,济宁,1.048,145,46,29,138,101,53,良,267.0323,34,2015-07
20,87,济宁,0.961,133,44,35,135,85,52,良,261.8065,41,2015-08
21,88,济宁,0.953,152,53,42,130,98,57,良,274.8333,49,2015-09
22,145,济宁,1.197,279,70,56,109,161,109,轻度污染,333.6129,59,2015-10
23,134,济宁,1.44,264,48,51,41,143,101,轻度污染,307.6333,58,2015-11
24,178,济宁,1.835,494,65,66,32,220,137,中度污染,299.1613,85,2015-12
25,189,济宁,1.787,429,66,62,35,215,147,中度污染,325.6129,89,2016-01
26,129,济宁,1.3,254,47,45,75,153,97,轻度污染,293.2069,63,2016-02
27,102,济宁,1.216,185,56,51,109,140,72,轻度污染,247.8387,65,2016-03
28,99,济宁,1.093,166,62,38,128,136,63,良,280.5667,40,2016-04
29,94,济宁,0.961,174,54,30,134,98,49,良,257.2581,30,2016-05
30,104,济宁,0.96,140,70,25,163,77,39,轻度污染,300.1333,24,2016-06
31,83,济宁,0.8,158,38,19,135,69,40,良,254.7419,20,2016-07
32,78,济宁,0.981,137,47,30,123,63,38,良,251.1290,31,2016-08
33,97,济宁,1.07,163,47,46,144,90,55,良,286.2000,34,2016-09
34,64,济宁,1.045,89,39,43,67,67,41,良,216.7419,25,2016-10
35,94,济宁,1.133,172,37,55,50,108,67,良,230.6667,34,2016-11
36,164,济宁,1.761,410,79,63,41,170,127,中度污染,283.7742,49,2016-12
37,127,济宁,1.935,272,51,50,47,144,97,轻度污染,233.3871,45,2017-01
38,110,济宁,1.454,195,50,44,86,135,80,轻度污染,231.6429,44,2017-02
39,82,济宁,0.923,131,53,45,106,112,53,良,198.0323,34,2017-03
40,86,济宁,0.9,125,57,37,123,109,46,良,215.6000,24,2017-04
41,147,济宁,0.865,500,58,33,176,77,34,轻度污染,209.8065,22,2017-05
42,143,济宁,0.897,202,46,32,204,102,43,轻度污染,269.2000,19,2017-06
43,90,济宁,0.919,165,42,25,135,76,32,良,205.9355,15,2017-07
44,98,济宁,0.961,187,37,25,154,56,32,良,217.2258,18,2017-08
45,99,济宁,0.99,171,50,34,154,71,38,良,219.6333,20,2017-09
46,73,济宁,1.116,108,33,50,97,92,45,良,205.2581,21,2017-10
47,90,济宁,1.043,132,50,55,71,123,60,良,216.6667,26,2017-11
48,132,济宁,1.416,256,58,64,30,155,98,轻度污染,234.9677,31,2017-12
49,135,济宁,1.429,294,57,55,55,157,102,轻度污染,248.2581,30,2018-01
50,92,济宁,1.057,139,55,37,83,117,64,良,216.9643,27,2018-02
51,83,济宁,0.974,131,51,32,116,101,45,良,220.4839,20,2018-03
52,96,济宁,0.783,164,0,29,138,117,41,良,236.6667,23,2018-04
53,106,济宁,0.732,172,52,29,161,106,42,轻度污染,272.7097,19,2018-05
54,134,济宁,0.75,193,49,24,194,84,35,轻度污染,284.3667,13,2018-06
55,92,济宁,0.803,153,35,22,148,54,27,良,241.8710,13,2018-07
56,92,济宁,0.91,143,24,24,145,55,33,良,213.3871,13,2018-08
57,76,济宁,0.85,107,34,35,122,65,34,良,280.2667,16,2018-09
58,81,济宁,0.835,130,53,51,105,96,44,良,261.0000,21,2018-10
59,100,济宁,1.18,279,35,46,62,138,66,良,262.7667,16,2018-11
60,106,济宁,1.2,206,51,52,38,141,72,轻度污染,268.2903,20,2018-12
61,188,济宁,1.675,201,149,68,51,195,141,中度污染,310.2500,35,2019-01
